Firma Adı;Web Sitesi;E-Posta;Detay URL
Buket Yıkama Servis Ve Tekstil San. Tic. A. Ş.;http://www.buket.com.tr;"ebirol@buket.com.tr ; tolga.ulkun@buket.com.tr";https://www.antalyaosb.org.tr/tr/firma/buket-yikama-servis-ve-tekstil-san-tic-a-s/76
BURAKCAN KALIP SANAYİ VE TİCARET LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/burakcan-kalip-sanayi-ve-ticaret-ltd-sti/465
BURHAN ÇELİK AHŞAP MAMÜLLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/burhan-celik-ahsap-mamulleri-sanayi-ve-ticaret-limited-sirketi/467
Bülbül Akü Ve Malzemeleri San. Tic. A.Ş.;http://www.bulbulaku.com.tr;info@bulbulaku.com.tr;https://www.antalyaosb.org.tr/tr/firma/bulbul-aku-ve-malzemeleri-san-tic-a-s/77
Bülbül Pls. Geri Dön. Tek. Inş. Gıda Nak. Ve Tic. Ltd. Şti.;http://www.bulbulplastik.com;bülbülplastik@hotmail.com;https://www.antalyaosb.org.tr/tr/firma/bulbul-pls-geri-don-tek-ins-gida-nak-ve-tic-ltd-sti/78
CAM-SAŞ CAM DOĞRAMA MOBİLYA İMALAT İNŞAAT SANAYİ  VE TİC. A.Ş.;www.cam-sas.com.tr;info@cam-sas.com.tr;https://www.antalyaosb.org.tr/tr/firma/cam-sas-cam-dograma-mobilya-imalat-insaat-sanayi-ve-tic-a-s/292
CAMTAŞ ALÜMİNYUM SANAYİ VE TİCARET A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/camtas-aluminyum-sanayi-ve-ticaret-a-s/468
Cantek Soğutma Makinaları Turizm Sanayi Ve Tic. A. Ş.;www.cantekgroup.com;info@cantekgroup.com;https://www.antalyaosb.org.tr/tr/firma/cantek-sogutma-makinalari-turizm-sanayi-ve-tic-a-s/85
Cengiz Grup Mobilya Inş. San. Tic. Ltd. Şti.;http://www.cgm.com.tr;info@cgm.com.tr;https://www.antalyaosb.org.tr/tr/firma/cengiz-grup-mobilya-ins-san-tic-ltd-sti/86
Ceyka Plastik Kalıp Sanayi Ticaret Ltd. Şti.;http://www.ceykaplastik.com.tr;doganceylan@windowslive.com;https://www.antalyaosb.org.tr/tr/firma/ceyka-plastik-kalip-sanayi-ticaret-ltd-sti/88
Ceylan Işletme Inşaat Turizm Yatırım Nakliyat Gıda Içecek  Sa;http://www.ceysu.com.tr;info@ceysu.com.tr;https://www.antalyaosb.org.tr/tr/firma/ceylan-isletme-insaat-turizm-yatirim-nakliyat-gida-icecek-sa/89
CHEM TRADE KİMYA SANAYİ VE TİCARET A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/chem-trade-kimya-sanayi-ve-ticaret-a-s/469
CLEAN SHINE HİJYEN VE SAĞLIK ÜRÜNLERİ SAN. TİC. LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/clean-shine-hijyen-ve-saglik-urunleri-san-tic-ltd-sti/470
CLONE KİMYA TARIM SANAYİ VE TİCARET LTD. ŞTİ.;www.bioteknologie.com www.biomikrobial.com;"info@bioteknologie.com  ;  s.rukiye@bioteknologie.com";https://www.antalyaosb.org.tr/tr/firma/clone-kimya-tarim-sanayi-ve-ticaret-ltd-sti/322
Clova Madencilik Ith. Ihr. San. Ve Tic. Ltd. Şti.;http://www.clovamarble.com;"fatih@clovamarble.com;  info@clovamarble.com; muhasebe@clovamarble.com";https://www.antalyaosb.org.tr/tr/firma/clova-madencilik-ith-ihr-san-ve-tic-ltd-sti/92
CORPOFER KİMYA SANAYİ VE TİCARET A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/corpofer-kimya-sanayi-ve-ticaret-a-s/404
CORPUS ENERJİ SOLAR ÜRETİM VE TİCARET A.Ş.;https://www.corpusenerji.com/;info@corpusturkey.com;https://www.antalyaosb.org.tr/tr/firma/corpus-enerji-solar-uretim-ve-ticaret-a-s/396
COŞKUNOĞLU PLASTİK İŞ MAKİNALARI ELEKTRİK GÜZELLİK MERKEZİ GIDA;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/coskunoglu-plastik-is-makinalari-elektrik-guzellik-merkezi-gida/471
Cömertoğlu Otelcilik Ve Tic. A. Ş.;http://www.delphinhotel.com;kasimcelenk@delphinhotel.com;https://www.antalyaosb.org.tr/tr/firma/comertoglu-otelcilik-ve-tic-a-s/95
CUMBA AHŞAP SANAYİ VE TİCARET LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/cumba-ahsap-sanayi-ve-ticaret-ltd-sti/472
CW AKADEMİ EĞİTİM ARAŞTIRMA VE GELİŞTİRME A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/cw-akademi-egitim-arastirma-ve-gelistirme-a-s/473
CW ENERJİ MÜH.TİC. VE SAN. A.Ş;http://www.cw-enerji.com;"info@cw-enerji.com  ; volkan@cw-enerji.com";https://www.antalyaosb.org.tr/tr/firma/cw-enerji-muh-tic-ve-san-a-s/97
CW SOLAR CELL ENERJİ A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/cw-solar-cell-enerji-a-s/474
Çağdaş Yaşatan Reklam Matbaacılık Oluklu Karton Ve Mukavva Ta;http://www.yasatan.com.tr;info@yasatan.com.tr;https://www.antalyaosb.org.tr/tr/firma/cagdas-yasatan-reklam-matbaacilik-oluklu-karton-ve-mukavva-ta/81
Çağlayan Sera Plastik Yatırım Malz. San. Tic. Ltd. Şti.;http://www.csp.com.tr;info@csp.com.tr - csp@csp.com.tr;https://www.antalyaosb.org.tr/tr/firma/caglayan-sera-plastik-yatirim-malz-san-tic-ltd-sti/82
ÇATOM ÇEVRE ATIK TOPLAMA MERKEZİ A.Ş.;https://www.catom.com.tr/tr/iletisim;hayri.gedik@catom.com.tr;https://www.antalyaosb.org.tr/tr/firma/catom-cevre-atik-toplama-merkezi-a-s/406
ÇD OTOMOTİV SANAYİ TİCARET LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/cd-otomotiv-sanayi-ticaret-ltd-sti/477
Çiftçi Süt Ürünleri Taşımacılık Gıda Inşaat Turizm Sanayi Tic;http://www.ciftcisut.com;"ciftcisut@gmail.com ;  muhasebe@ciftcisut.com";https://www.antalyaosb.org.tr/tr/firma/ciftci-sut-urunleri-tasimacilik-gida-insaat-turizm-sanayi-tic/90
Çimsan Tarımsan Ürünler Inş. Taah. Ve San. Tic. Ltd. Şti.;http://www.cimsan.com.tr;fabrika@cimsan.com.tr;https://www.antalyaosb.org.tr/tr/firma/cimsan-tarimsan-urunler-ins-taah-ve-san-tic-ltd-sti/91
ÇNG MOBİLYA SU SPORLARI TURİZM İNŞAAT SANAYİ VE TİCARET A.Ş.;www.cngmobilya.com;info@cngmobilya.com;https://www.antalyaosb.org.tr/tr/firma/cng-mobilya-su-sporlari-turizm-insaat-sanayi-ve-ticaret-a-s/84
ÇOBAN TEKSTİL SANAYİ VE TİCARET A.Ş.;www.cobaniplik.com.tr;"canancoban@cobaniplik.com.tr; burcu@cobaniplik.com.tr; hakanay@cobaniplik.com.tr; yasargunaydin@cobaniplik.com.tr; ozlemer@cobaniplik.com.tr; mehmet38426@gmail.com";https://www.antalyaosb.org.tr/tr/firma/coban-tekstil-sanayi-ve-ticaret-a-s/323
DAMEL TÜTÜN MAMÜLLERİ SANAYİ VE TİCARET LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/damel-tutun-mamulleri-sanayi-ve-ticaret-ltd-sti/324
DANO EKMEK UNLU MAMÜLLER TURİZM GIDA SAN. VE TİC. LTD.ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/dano-ekmek-unlu-mamuller-turizm-gida-san-ve-tic-ltd-sti/478
DECUS TUR. İNŞ. VE YAPI MALZEMELERİ İTHALAT İHRACAT TİC. LTD ŞTİ;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/decus-tur-ins-ve-yapi-malzemeleri-ithalat-ihracat-tic-ltd-sti/327
Dekan Boya Ve Yapı Kim. San. Tic. Ltd. Şti.;http://www.dekanboya.com.tr;info@dekanboya.com.tr;https://www.antalyaosb.org.tr/tr/firma/dekan-boya-ve-yapi-kim-san-tic-ltd-sti/98
DEKORAYOS MİMARLIK A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/dekorayos-mimarlik-a-s/328
Dekorıum Tasarı Proje Iç Mimari Mobilya Dekorasyon Inşaat Tur;http://www.dekoriummobilya.com/tr;ahmetekelik@dekoriummobilya.com, info@dekoriummobilya.com;https://www.antalyaosb.org.tr/tr/firma/dekorium-tasari-proje-ic-mimari-mobilya-dekorasyon-insaat-tur/99
DELTA ELEKTRİK SANAYİ VE TİCARET A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/delta-elektrik-sanayi-ve-ticaret-a-s/362
Delta Tarım Kimya Ihr. Ith. Ltd. Şti.;http://www.deltatarimkimya.com.tr;drlazbey@deltatarimkimya.com.tr mayyıldız@deltatarımkimya.com.tr;https://www.antalyaosb.org.tr/tr/firma/delta-tarim-kimya-ihr-ith-ltd-sti/100
Demagro Tarım Zirai Ilaç Ambalaj Sanayi Ve Ticaret Ltd. Şti.;http://www.demagrotarim.com;demagrotarim@hotmail.com;https://www.antalyaosb.org.tr/tr/firma/demagro-tarim-zirai-ilac-ambalaj-sanayi-ve-ticaret-ltd-sti/102
Derya Madencilik San. Ve Tic. Ltd. Şti.;http://www.aragonit.com.tr;emreay@aragonit.com.tr. emreay43@gmail.com, arge@aragonit.com.tr;https://www.antalyaosb.org.tr/tr/firma/derya-madencilik-san-ve-tic-ltd-sti/104
DESAK KİMYA KOZMETİK SANAYİ LTD. ŞTİ.;www.desakkimyasal.com.tr;saydinlik@gmail.com;https://www.antalyaosb.org.tr/tr/firma/desak-kimya-kozmetik-sanayi-ltd-sti/286
Detay Mermer Perlit Yatçılık Turizm Sanayi  Ve Tic. A. Ş.;http://www.detaymarble.com;finans@detaymarble.com muhasebe@detaymarble.com dkayamarble@hotmail.com;https://www.antalyaosb.org.tr/tr/firma/detay-mermer-perlit-yatcilik-turizm-sanayi-ve-tic-a-s/105
DİKMENOĞLU YAPI YATIRIM TURİZM İNŞAAT TARIM GIDA TEKSTİL PETROL;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/dikmenoglu-yapi-yatirim-turizm-insaat-tarim-gida-tekstil-petrol/267
DİNÇER LOJİSTİK A.Ş.;https://dincerlojistik.com/;info@dincerlojistik.com;https://www.antalyaosb.org.tr/tr/firma/dincer-lojistik-a-s/356
Do Hortum Sanayi Inşaat Makine Tarım Tic. Ltd. Şti.;http://www.hortumsan.com.tr;bilgi@hortumsan.com.tr osb@hortumsan.com.tr;https://www.antalyaosb.org.tr/tr/firma/do-hortum-sanayi-insaat-makine-tarim-tic-ltd-sti/108
Doğa Tarım Ticaret Sanayi Ve Turizm Ltd. Şti.;http://www.dogatarim.com;info@dogatarim.com;https://www.antalyaosb.org.tr/tr/firma/doga-tarim-ticaret-sanayi-ve-turizm-ltd-sti/109
Doğal Kimyevi Maddeler Zirai Ilaçlar San. Tic. A. Ş.;http://www.dogaltrm.com;dogal@dogaltrm.com;https://www.antalyaosb.org.tr/tr/firma/dogal-kimyevi-maddeler-zirai-ilaclar-san-tic-a-s/110
DOĞRUSÖYLER MOBİLYA SANAYİ TAŞIMACILIK İNŞ. VE DAYANIKLI EŞYA Tİ;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/dogrusoyler-mobilya-sanayi-tasimacilik-ins-ve-dayanikli-esya-ti/480
DOKA PLASTİK GERİ DÖNÜŞÜM SİSTEMLERİ O.E.M T.T.İ.S A.Ş;http://www.dokaplast.com/tr;rasim@dokaplast.com;https://www.antalyaosb.org.tr/tr/firma/doka-plastik-geri-donusum-sistemleri-o-e-m-t-t-i-s-a-s/294
Doktor Tarsa Tarım Sanayi ve Ticaret A.Ş.;http://www.drt.com.tr;info@drt.com.tr, bilgi@drt.com.tr;https://www.antalyaosb.org.tr/tr/firma/doktor-tarsa-tarim-sanayi-ve-ticaret-a-s/111
DÜNYA ET SANAYİ TİCARET A.Ş.;www.malci.com.tr;info@malciet.com ozkanaltiparmak@hotmail.com malci.muhasebe@hotmail.com;https://www.antalyaosb.org.tr/tr/firma/dunya-et-sanayi-ticaret-a-s/177
DÜNYA MEŞRUBAT GIDA İNŞAAT TURİZM PAZARLAMA SANAYİ VE TİCARET LT;https://www.dunyalimited.com/;;https://www.antalyaosb.org.tr/tr/firma/dunya-mesrubat-gida-insaat-turizm-pazarlama-sanayi-ve-ticaret-lt/366
EBRAR PLASTİK PARK VE KENT MOBİLYALARI İNŞAAT SANAYİ VE TİCARET;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/ebrar-plastik-park-ve-kent-mobilyalari-insaat-sanayi-ve-ticaret/399
Eczacıbaşı Monrol Nükleer Ürünler San. Ve Tic. A. Ş.;http://www.monrol.com.tr;"monrol@monrol.com; elif.apak@monrol.com; erkan.ozdogan@monrol.com; erkan.ozdogan@eczacibasi.com.tr;";https://www.antalyaosb.org.tr/tr/firma/eczacibasi-monrol-nukleer-urunler-san-ve-tic-a-s/112
Ef Alüminyum Madencilik Inş. Tur. Tic. Ve San. Ltd. Şti.;http://www.efaluminyum.com;"gamze.gurgen@efaluminyum.com; fethibabayigit07@gmail.com; info@efaluminyum.com";https://www.antalyaosb.org.tr/tr/firma/ef-aluminyum-madencilik-ins-tur-tic-ve-san-ltd-sti/113
EGE DENİZ İÇECEK İNŞAAT SANAYİ VE TİCARET A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/ege-deniz-icecek-insaat-sanayi-ve-ticaret-a-s/376
Ekiciler Süt Gıda Tarım Hayvancılık San. Ve Tic. A. Ş.;http://www.ekicipeynir.com;info@ekicipeynir.com;https://www.antalyaosb.org.tr/tr/firma/ekiciler-sut-gida-tarim-hayvancilik-san-ve-tic-a-s/114
Ekin Tarım Tic. A. Ş.;http://www.ekintarim.com.tr;info@ekintarim.com.tr      muhasebe@ekintarim.com.tr;https://www.antalyaosb.org.tr/tr/firma/ekin-tarim-tic-a-s/115
Ekolojik Tarım Gıda Kim. Mad. San. Ve Tic. A. Ş.;http://www.ekolojiktarim.com.tr;info@ekolojiktarim.com.tr     ekolojiktarim@mynet.com;https://www.antalyaosb.org.tr/tr/firma/ekolojik-tarim-gida-kim-mad-san-ve-tic-a-s/116
Ekso Süt Ve Gıda Mam. San. Ve Tic. A. Ş.;http://www.eksosut.com;info@eksosut.com santral@ekicipeynir.com burcin.ekici@ekicipeynir.com;https://www.antalyaosb.org.tr/tr/firma/ekso-sut-ve-gida-mam-san-ve-tic-a-s/117
EKT AKÜ A.Ş.;www.eikto.com.tr;iletisim@eikto.com.tr;https://www.antalyaosb.org.tr/tr/firma/ekt-aku-a-s/426
Elit Tarım Tic. Ve San. Ltd. Şti.;http://www.elittarim.com.tr;sedefttan@gmail.com  aysunk713@gmail.com info@elittarim.com.tr;https://www.antalyaosb.org.tr/tr/firma/elit-tarim-tic-ve-san-ltd-sti/118
ELM TARIM KİMYA SANAYİ VE İNŞAAT TİCARET LİMİTED ŞİRKETİ;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/elm-tarim-kimya-sanayi-ve-insaat-ticaret-limited-sirketi/521
Emeksan Otomotiv Taşımacılık Endüstriyel Makine Torna Tesviye;http://www.emeksanmakina.com.tr;info@emeksanmakina.com.tr;https://www.antalyaosb.org.tr/tr/firma/emeksan-otomotiv-tasimacilik-endustriyel-makine-torna-tesviye/120
EMT ŞERİT TESTERE SANAYİ TİCARET LTD. ŞTİ.;https://emtblades.com/;info@emtblades.com;https://www.antalyaosb.org.tr/tr/firma/emt-serit-testere-sanayi-ticaret-ltd-sti/329
En-El-Sa Endüstriyel Elektronik Inş. Taahhüt San. Tic. Ltd. Ş;http://www.enelsa.com;info@enelsa.com;https://www.antalyaosb.org.tr/tr/firma/en-el-sa-endustriyel-elektronik-ins-taahhut-san-tic-ltd-s/121
ER-SA SADIKOĞLU YAPI MALZEMELERİ İNŞ. SAN. VE TİC. LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/er-sa-sadikoglu-yapi-malzemeleri-ins-san-ve-tic-ltd-sti/482
ERAY ALÜMİNYUM METAL VE İNŞAAT SANAYİ TURİZM TİC. LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/eray-aluminyum-metal-ve-insaat-sanayi-turizm-tic-ltd-sti/481
Erinci Plastik;http://www.erinciplastik.com;erinciplastik@hotmail.com;https://www.antalyaosb.org.tr/tr/firma/erinci-plastik/122
ERŞA İNŞAAT TURİZM TİCARET A.Ş.ERSANLAR KONSERVE İTH.İHR.SAN. VE;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/ersa-insaat-turizm-ticaret-a-s-ersanlar-konserve-ith-ihr-san-ve/484
ESALFA GIDA TURİZM SANAYİ VE TİCARET LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/esalfa-gida-turizm-sanayi-ve-ticaret-ltd-sti/485
ESASLI GRUP GIDA SAN. VE TİC.A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/esasli-grup-gida-san-ve-tic-a-s/486
ESKAPLAST PLASTİK SAN. VE TİC. A.Ş.;http://www.eskaplast.com/index.html;info@askaplast.com;https://www.antalyaosb.org.tr/tr/firma/eskaplast-plastik-san-ve-tic-a-s/352
Esli Endüstriyel Ürünler Paz. San. Ve Tic. Ltd. Şti.;http://www.esli.com.tr;esli@esli.com.tr  zulfu@esli.com.tr;https://www.antalyaosb.org.tr/tr/firma/esli-endustriyel-urunler-paz-san-ve-tic-ltd-sti/126
EVA MERMER SANAYİ VE TİCARET LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/eva-mermer-sanayi-ve-ticaret-ltd-sti/487
EVENTO TEKSTİL KONFEKSİYON MEFRUŞAT MOBİLYA TİCARET VE SANAYİ LT;https://www.eventotextiles.com/;zeynep@eventotextiles.com;https://www.antalyaosb.org.tr/tr/firma/evento-tekstil-konfeksiyon-mefrusat-mobilya-ticaret-ve-sanayi-lt/331
FABALGO TEKSTİL TİCARET A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/fabalgo-tekstil-ticaret-a-s/168
FALEZ ELEKTRİK ÜRETİM A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/falez-elektrik-uretim-a-s/488
FARMİNOVA BİTKİ FABRİKALARI SANAYİ VE TİCARET A.Ş.;https://www.farminova.com/;info@cantekgroup.com;https://www.antalyaosb.org.tr/tr/firma/farminova-bitki-fabrikalari-sanayi-ve-ticaret-a-s/357
FASDAT GIDA DAĞITIM SANAYİ VE TİC. A.Ş.;www.fasdat.com.tr;info@fasdat.com.tr  aerdem@fasdat.com.tr;https://www.antalyaosb.org.tr/tr/firma/fasdat-gida-dagitim-sanayi-ve-tic-a-s/364
Fasdat Sebze Dog. Pak. San. Tic. Aş.;http://www.fasdat.com.tr;"zekeriyap@fasdat.com.tr;  budak1954.hotmail.com; denizg@fasdat.com.tr";https://www.antalyaosb.org.tr/tr/firma/fasdat-sebze-dog-pak-san-tic-as/129
Fipol Deniz Araçları Ve Turizm Plastik San. Tic. A. Ş.;http://www.fipol.com.tr;info@fipol.com.tr;https://www.antalyaosb.org.tr/tr/firma/fipol-deniz-araclari-ve-turizm-plastik-san-tic-a-s/131
FKM MOBİLYA ORMAN ÜRÜNLERİ İNŞAAT TEKSTİL TURİZM VE TİCARET LTD.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/fkm-mobilya-orman-urunleri-insaat-tekstil-turizm-ve-ticaret-ltd/490
Foraks Inşaat San. Tic. A.Ş;http://www.foraksprefabrik.com;foraksinsaat@gmail.com;https://www.antalyaosb.org.tr/tr/firma/foraks-insaat-san-tic-a-s/132
FORM BASKI REKLAM TURİZM SANAYİ VE TİCARET A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/form-baski-reklam-turizm-sanayi-ve-ticaret-a-s/268
Fresenius Medikal Hizmetler A. Ş.;http://www.fresenius.com.tr;"muge.bagcaci@fmc-ag.com; esma.barutcu@fmc-ag.com";https://www.antalyaosb.org.tr/tr/firma/fresenius-medikal-hizmetler-a-s/134
FRESENİUS MEDİKAL TIBBİ CİHAZ VE SARF MALZEMELERİ ÜRETİM A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/fresenius-medikal-tibbi-cihaz-ve-sarf-malzemeleri-uretim-a-s/491
FUMART AMBALAJ TARIM KİMYA NAKLİYE SANAYİ TİC. A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/fumart-ambalaj-tarim-kimya-nakliye-sanayi-tic-a-s/492
GELİŞİM KALİTE KONTROL SİSTEMLERİ A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/gelisim-kalite-kontrol-sistemleri-a-s/493
Gen Bio Enj. San. Ürt. Ve Dağ. A. Yakıt Otom. Gıda Tarım Iml.;http://www.antalyas.com,www.genbioenergy.com;orhandede@antalyas.com;https://www.antalyaosb.org.tr/tr/firma/gen-bio-enj-san-urt-ve-dag-a-yakit-otom-gida-tarim-iml/135
GLOBAL DEPO DEKORASYON ÜRÜNLERİ MİM. MÜH. SAN. İTH. İHR. LTD. ŞT;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/global-depo-dekorasyon-urunleri-mim-muh-san-ith-ihr-ltd-st/494
Greencon Sera Sistemleri A. Ş.;antalyaosb;v.gosterisli@gmail.com;https://www.antalyaosb.org.tr/tr/firma/greencon-sera-sistemleri-a-s/137
GRK YAPI SİSTEMLERİ İNŞAAT TURİZM SANAYİ VE TİCARET LTD. ŞTİ;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/grk-yapi-sistemleri-insaat-turizm-sanayi-ve-ticaret-ltd-sti/496
GROWCHEM TARIM BOYA TURİZM İNŞAAT SANAYİ VE TİCARET A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/growchem-tarim-boya-turizm-insaat-sanayi-ve-ticaret-a-s/497
GSS ALKOLLÜ ALKOLSÜZ İÇECEK LOJ.GIDA DAĞ.PAZ.İNŞ. VE TİC.LTD.ŞTİ;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/gss-alkollu-alkolsuz-icecek-loj-gida-dag-paz-ins-ve-tic-ltd-sti/498
GÜN-LAS GÜNEY LASTİK VE MOTORLU ARAÇLAR TİCARETİ VE SERVİS HİZME;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/gun-las-guney-lastik-ve-motorlu-araclar-ticareti-ve-servis-hizme/500
GÜNDOĞDU KAĞIT PAZARLAMA SAN. VE TİC. LTD. ŞTİ.;http://gundogdukagit.com.tr/;info@gundogdukagit.com.tr;https://www.antalyaosb.org.tr/tr/firma/gundogdu-kagit-pazarlama-san-ve-tic-ltd-sti/354
GÜNDOĞDU KOMPRESÖR MOTOR MAKİNE ELEKTRİK BOBİNAJ TAŞIMACILIK İNŞ;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/gundogdu-kompresor-motor-makine-elektrik-bobinaj-tasimacilik-ins/499
Günsu Enerji Sistemleri Ve Konfor Tesisleri San. Tic. A. Ş.;http://www.gunsu.com.tr;info@gunsu.com.tr  mkaraman@gunsu.com.tr;https://www.antalyaosb.org.tr/tr/firma/gunsu-enerji-sistemleri-ve-konfor-tesisleri-san-tic-a-s/139
GÜRTAŞ AHŞAP MOBİLYA İNŞAAT SANAYİ VE TİC. A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/gurtas-ahsap-mobilya-insaat-sanayi-ve-tic-a-s/501
H. A. S. Dorse Frigorifik Kasa Üst Yapı Panel Ve Prefabrik Ya;http://www.hasfrigo.com;info@hastrailer.com keziban.kaya@hastrailer.com;https://www.antalyaosb.org.tr/tr/firma/h-a-s-dorse-frigorifik-kasa-ust-yapi-panel-ve-prefabrik-ya/140
Halim Kırtız Gıda Sanayi A. Ş.;http://www.narun.com.tr;"narun@narun.com.tr; erol@narun.com.tr; oguz@narun.com.tr; muhasebe@narun.com.tr";https://www.antalyaosb.org.tr/tr/firma/halim-kirtiz-gida-sanayi-a-s/142
HEDEFİM MOBİLYA İMALAT VE İNŞ.TİC.LTD.ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/hedefim-mobilya-imalat-ve-ins-tic-ltd-sti/502
HERMAS DAMPERLİ RÖMORK VE KAROSER SANAYİ TİC. LTD. ŞTİ;http://www.hermaskaroser.com;hermaskaroser@hotmail.com;https://www.antalyaosb.org.tr/tr/firma/hermas-damperli-romork-ve-karoser-sanayi-tic-ltd-sti/2
HİCAZHAN MADENCİLİK TARIM SANAYİ VE TİCARET LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/hicazhan-madencilik-tarim-sanayi-ve-ticaret-ltd-sti/503
HSN TASARIM MOBİLYA SANAYİ VE TİCARET LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/hsn-tasarim-mobilya-sanayi-ve-ticaret-ltd-sti/504
Hu-Ge Şem. Tente Sis Iml. Dağ. Paz. San. Tic. A. Ş.;http://www.huge.com.tr;info@huge.com.tr  evren@huge.com.tr;https://www.antalyaosb.org.tr/tr/firma/hu-ge-sem-tente-sis-iml-dag-paz-san-tic-a-s/143
HUGE DEV ŞEMSİYE VE TİCARET A.Ş.;https://www.hugedevsemsiye.com/;info@huge.com.tr;https://www.antalyaosb.org.tr/tr/firma/huge-dev-semsiye-ve-ticaret-a-s/403
HÜRÇELİK KİMYA GID.İNŞ.SAN.VE TİC.LTD.ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/hurcelik-kimya-gid-ins-san-ve-tic-ltd-sti/505
Ibrahim (Meltem Akü Ve Kimya Sanayi);http://www.meltemaku.com;info@meltemaku.com;https://www.antalyaosb.org.tr/tr/firma/ibrahim-meltem-aku-ve-kimya-sanayi/144
Ima Çelik Konsrüksiyon Damla Sulama Sistemleri Ve Makina Imal;http://www.imafiltre.com.tr;ima.muhasebe@gmail.com osmanuysal.ima@gmail.com;https://www.antalyaosb.org.tr/tr/firma/ima-celik-konsruksiyon-damla-sulama-sistemleri-ve-makina-imal/146
