OSB;FirmaAdi;WebSitesi;Domain;Email
"ASO 2.ve 3. Ankara OSB";"M.İ.K.S.T.A PASLANMAZ ÇELİK HASTANE DONANIMLARI MUTFAK MAKİNA MEDİKAL CİHAZLAR İML. İNŞ. SAN. VE TİC. LTD. ŞTİ.";"https://mixta.com.tr/";"mixta.com.tr";""
"ASO 2.ve 3. Ankara OSB";"MAKSAN ENDÜSTRİ MAKİNA İMALAT VE DIŞ TİCARET LTD. ŞTİ.";"https://maksanlift.com/tr/";"maksanlift.com";""
"ASO 2.ve 3. Ankara OSB";"MARİNERO YATCH DENİZCİLİK VE YATÇILIK A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"MASS MAKİNA SANAYİ İNŞAAT VE TİCARET A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"MBT TRAFO İMALAT SAN. VE TİC. LTD. ŞTİ.";"https://www.mbttrafo.com/tr/";"mbttrafo.com";""
"ASO 2.ve 3. Ankara OSB";"MCA CHEM METAL KİMYA SAN. A.Ş.";"https://www.mcachem.com/";"mcachem.com";""
"ASO 2.ve 3. Ankara OSB";"MED-MAR SAĞ. HİZ. GIDA İNŞ. TUR. TUZ İŞLETMECİLİĞİ NAK. VE ELEKTRİK ÜRETİMİ SAN. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"MEKSİS MEKANİK SİSTEMLER İMALAT VE MÜHENDİSLİK SAN. TİC. A.Ş.";"https://www.meksis.com.tr/";"meksis.com.tr";""
"ASO 2.ve 3. Ankara OSB";"MERA MOTOR MAK. SAN. TİC. LTD. ŞTİ.";"https://meramotorreduktor.com/";"meramotorreduktor.com";""
"ASO 2.ve 3. Ankara OSB";"METİN ÜNAL";"";"";""
"ASO 2.ve 3. Ankara OSB";"MGBLİNE DIŞ TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"MGS ENDÜSTRİYEL MAKİNE ÜRETİM SAN. VE TİC. A.Ş.";"https://mgsmakina.com/tr/";"mgsmakina.com";""
"ASO 2.ve 3. Ankara OSB";"MİGROS TİCARET A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"MİKAPEN YAPI ELEMANLARI İNŞAAT VE DIŞ TİC. LTD. ŞTİ.";"https://mikapen.net/";"mikapen.net";""
"ASO 2.ve 3. Ankara OSB";"MİTAŞ ENDÜSTRİ SAN. TİC. A.Ş. MİTAŞ KAYNAK";"";"";""
"ASO 2.ve 3. Ankara OSB";"MİTAŞ ENDÜSTRİ SAN. TİC. A.Ş. MİTAŞ SAC VE İŞLEME";"";"";""
"ASO 2.ve 3. Ankara OSB";"MİTAŞ ENDÜSTRİ SANAYİ VE TİCARET A.Ş. ENA TEST";"";"";""
"ASO 2.ve 3. Ankara OSB";"MİTAŞ ENDÜSTRİ SANAYİ VE TİCARET A.Ş. MİTAŞ BOYA VE ÖZEL KAPLAMA";"";"";""
"ASO 2.ve 3. Ankara OSB";"MİTAŞ ENDÜSTRİ SANAYİ VE TİCARET A.Ş. MİTAŞ CIVATA";"https://mitascivata.com/tr/";"mitascivata.com";""
"ASO 2.ve 3. Ankara OSB";"MİTAŞ ENDÜSTRİ SANAYİ VE TİCARET A.Ş. MİTAŞ GALVANİZ";"";"";""
"ASO 2.ve 3. Ankara OSB";"MİTAŞ ENDÜSTRİ SANAYİ VE TİCARET A.Ş. POLİGON";"";"";""
"ASO 2.ve 3. Ankara OSB";"MİTAŞ KOMPOZİT PLASTİK SAN. VE TİC. A.Ş. MİTAŞ KOMPOZİT";"https://www.mitascomposites.com/";"mitascomposites.com";""
"ASO 2.ve 3. Ankara OSB";"MNC AKÜ METAL NAKLİYE KUYUMCULUK SAN.TİC. A.Ş.";"https://www.mncaku.com.tr/";"mncaku.com.tr";""
"ASO 2.ve 3. Ankara OSB";"MNS GRUP METAL İNŞ. İÇ DIŞ SAN. VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"MODÜL GRUP ÇELİK YAPILAR A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"MOL PETROL AKARYAKIT VE DİNLENME TESİSLERİ TİC. SAN. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"MTF PROKON METAL İNŞ. TAAH. SAN. TİC. LTD. ŞTİ";"https://mtfprokon.com/tr/";"mtfprokon.com";""
"ASO 2.ve 3. Ankara OSB";"MURAT ATEŞ MAKİNA İMALAT SANAYİ VE TİCARET A.Ş.";"https://www.atesmak.com/";"atesmak.com";""
"ASO 2.ve 3. Ankara OSB";"NİVEL GRUP MAK. SAN. VE TİC. A.Ş.";"https://www.nivel.com.tr/";"nivel.com.tr";""
"ASO 2.ve 3. Ankara OSB";"NOS İNŞAAT ENERJİ DEMİRÇELİK YOL PETROL SAN. TİC. İTH. VE İHR. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"NOVA KULE VİNÇ SAN. TİC. LTD. ŞTİ.";"https://novakulevinc.com.tr/";"novakulevinc.com.tr";""
"ASO 2.ve 3. Ankara OSB";"NUPA İLERİ ÜRETİM TEKNOLOJİLERİ A.Ş.";"https://nupa.com.tr/";"nupa.com.tr";""
"ASO 2.ve 3. Ankara OSB";"OK DIŞ TİCARET VE MADENCİLİK A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"OKUMAN MEDİKAL SİST. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"OLİMPİA OTO CAMLARI SANAYİ VE TİCARET A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"OLİMPİYAT ISI VE MAKİNE SAN. TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"OMEGA SOLAR METAL TAŞIYICI SİSTEM ÇÖZÜMLERİ A.Ş.";"https://www.omegapv.com/";"omegapv.com";""
"ASO 2.ve 3. Ankara OSB";"ONUR TAAHHÜT TAŞIMACILIK İNŞAAT TİCARET VE SANAYİ A.Ş";"https://www.onurgroup.com/";"onurgroup.com";""
"ASO 2.ve 3. Ankara OSB";"ORAY PREFABRİK İNŞ. MET. TUR. OTM. VE TİC. A.Ş.";"https://orayprefabrik.com/";"orayprefabrik.com";""
"ASO 2.ve 3. Ankara OSB";"ORTANA ELEKTRONİK YAZILIM TAAHHÜT SANAYİ VE TİCARET A.Ş.";"http://www.ortana.com/new/index.php/tr/";"ortana.com";""
"ASO 2.ve 3. Ankara OSB";"OXO TRACKER ENERJİ SİSTEMLERİ A.Ş.";"https://www.oxotracker.com/";"oxotracker.com";""
"ASO 2.ve 3. Ankara OSB";"ÖZBEN SAVUNMA LTD. ŞTİ.";"https://ozbensavunma.com";"ozbensavunma.com";""
"ASO 2.ve 3. Ankara OSB";"ÖZDOĞAN İNŞAAT SANAYİ VE TİCARET LTD.ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ÖZGÜR DÖKÜM MAKİNA SANAYİ ANONİM ŞİRKETİ";"";"";""
"ASO 2.ve 3. Ankara OSB";"ÖZNUR CAM DEKORASYON İNŞAAT TAAHHÜT TURİZM SANAYİ VE TİCARET LTD. ŞTİ.";"https://oznurcam.com.tr/";"oznurcam.com.tr";""
"ASO 2.ve 3. Ankara OSB";"PARTNER ELEKTRONİK GÜÇ SİSTEMLERİ A.Ş.";"https://www.partneregs.com/";"partneregs.com";""
"ASO 2.ve 3. Ankara OSB";"PATİSFOOD GRUP GIDA SAN. TİC. A.Ş.";"https://www.patiswiss.com.tr/";"patiswiss.com.tr";""
"ASO 2.ve 3. Ankara OSB";"PCS TEST VE OTOMASYON SİSTEMLERİ SAN. VE TİC. A.Ş.";"https://pcs.com.tr/";"pcs.com.tr";""
"ASO 2.ve 3. Ankara OSB";"PEAK PV SOLAR TEKNOLOJİLERİ A.Ş.";"https://www.peakpvsolar.com/";"peakpvsolar.com";""
"ASO 2.ve 3. Ankara OSB";"PEP ENERJİ İMALAT MONTAJ VE DIŞ TİCARET A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"PEPPER MOTİON ALAGÖZ ELEKTRİKLİ ARAÇLAR VE ENERJİ DEPOLAMA SİSTEMLERİ A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"PET GARDEN AKVARYUM İTH. İHR. SAN. VE TİC. LTD. ŞTİ.";"https://petgarden.com.tr/";"petgarden.com.tr";""
"ASO 2.ve 3. Ankara OSB";"PLASTSAN AMBALAJ PLASTİK ENERJİ TEKSTİL SAN. TİC. A.Ş.";"https://plastsan.com/";"plastsan.com";""
"ASO 2.ve 3. Ankara OSB";"PLATİN ANGORA GAYRİMENKUL İNŞ. TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"POİNT PLASTİK SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"POLMAK MAKİNA İMALAT A.Ş.";"http://tr.polmaksondaj.com/";"tr.polmaksondaj.com";""
"ASO 2.ve 3. Ankara OSB";"PROMAK PROSES MAK. VE İMALAT VE TİC. LTD. ŞTİ.";"http://www.promakmakina.com";"promakmakina.com";""
"ASO 2.ve 3. Ankara OSB";"PROSİM SAĞLIK A.Ş.";"https://www.prosim.com.tr/tr";"prosim.com.tr";""
"ASO 2.ve 3. Ankara OSB";"PROTON ENERJİ SANAYİ VE TİCARET A.Ş.";"https://www.protonenerji.com.tr/";"protonenerji.com.tr";""
"ASO 2.ve 3. Ankara OSB";"QNB FİNANS FİNANSAL KİRALAMA A.Ş.finansal";"";"";""
"ASO 2.ve 3. Ankara OSB";"REKORSAN OTOMATİV SANAYİ VE TİCARET LTD. ŞTİ";"https://www.rekorsan.com.tr/";"rekorsan.com.tr";""
"ASO 2.ve 3. Ankara OSB";"REMAR ENERJİ VE İLETŞM. MALZ. PAZ. LTD. ŞTİ.";"http://www.remarenerji.com.tr/tr/";"remarenerji.com.tr";""
"ASO 2.ve 3. Ankara OSB";"ROCK YALITIM KAPLAMA A.Ş.";"https://rockkumlama.com/";"rockkumlama.com";""
"ASO 2.ve 3. Ankara OSB";"ROYAL KABLO SAN. VE TİC. A.Ş.";"https://www.royalkablo.com/";"royalkablo.com";""
"ASO 2.ve 3. Ankara OSB";"SARGIN İNŞAAT VE MAKİNA SANAYİ VE TİCARET A.Ş.";"https://sargininsaat.com/tr/";"sargininsaat.com";""
"ASO 2.ve 3. Ankara OSB";"SARIBAŞ ALÜMİNYUM SAC METAL İMALAT İNŞ. KİMYA GIDA VE TURİZM İTH. İHR. SAN. VE TİC. LTD. ŞTİ.";"https://www.saribas.com.tr/";"saribas.com.tr";""
"ASO 2.ve 3. Ankara OSB";"SEBAHATTİN ÖZÇELİK - ÖZÇELİK HİDROLİK";"https://www.ozcelikhydraulic.com/";"ozcelikhydraulic.com";""
"ASO 2.ve 3. Ankara OSB";"SELNİKEL ENERJİ ISI HAVA TEKNİKLERİ A.Ş.";"https://www.selnikel.com/";"selnikel.com";""
"ASO 2.ve 3. Ankara OSB";"SEVER MAKİNE YEDEK PARÇA SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"SİRİUS YENİLENEBİLİR ENERJİ TEKNOLOJİ ÜRETİM A.Ş.";"https://siriuspv.com/tr";"siriuspv.com";""
"ASO 2.ve 3. Ankara OSB";"SOLAR START ENERJİ SAN. VE TİC. A.Ş.";"https://solarstart.com.tr/";"solarstart.com.tr";""
"ASO 2.ve 3. Ankara OSB";"SOLİD SONDAJ SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"SOM CİVATA SOMUN SANAYİ VE TİCARET A.Ş.";"https://www.somas.com.tr/#1";"somas.com.tr";""
"ASO 2.ve 3. Ankara OSB";"SOMSAN SOMUN SANAYİ VE TİCARET LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"SONSAN SONDAJ SANAYİİ LTD.ŞTİ.";"http://www.sonsan.com.tr/";"sonsan.com.tr";""
"ASO 2.ve 3. Ankara OSB";"STANDARD TECHNOLOGY SAĞLIK A.Ş.";"https://stest.com.tr/";"stest.com.tr";""
"ASO 2.ve 3. Ankara OSB";"ŞAHİNLER METAL SANAYİ VE TİCARET A.Ş.";"https://www.sahinler.com.tr/";"sahinler.com.tr";""
"ASO 2.ve 3. Ankara OSB";"ŞİMŞEKLER ALÜMİNYUM METAL MADENCİLİK OTOM. İNŞ. SAN. TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"TARIM KREDİ TEDARİK VE ÜRETİM A.Ş.";"https://www.tktedarik.com.tr/";"tktedarik.com.tr";""
"ASO 2.ve 3. Ankara OSB";"TAYDER MÜH. MAK. SAN. VE TİC. LTD. ŞTİ.";"https://tayder.com.tr/anasayfa";"tayder.com.tr";""
"ASO 2.ve 3. Ankara OSB";"TEK TRANSFORMATÖR MAKİNA ELEKTRİK SAN. VE TİC. A.Ş";"https://tektransformator.com/";"tektransformator.com";""
"ASO 2.ve 3. Ankara OSB";"TEKİŞ ELEKTRİK MAK. İML. İNŞ. TAAH. SAN. VE TİC. A.Ş.";"https://www.tek-is.com.tr/";"tek-is.com.tr";""
"ASO 2.ve 3. Ankara OSB";"TEPE BETOPAN YAPI MALZEMELERİ SAN. VE TİC. A.Ş.";"http://www.betopan.com.tr";"betopan.com.tr";""
"ASO 2.ve 3. Ankara OSB";"TEPE PREFABRİK İNŞ. SAN. VE TİC. A.Ş.";"https://www.tepeprefabrik.com.tr/?lang=tr";"tepeprefabrik.com.tr";""
"ASO 2.ve 3. Ankara OSB";"TERA ELEKTRONİK A.Ş.";"https://teratr.com/";"teratr.com";""
"ASO 2.ve 3. Ankara OSB";"TG SAVUNMA SAN. VE ELEKTRONİK TİC. LTD. ŞTİ.";"https://tgsavunma.com/";"tgsavunma.com";""
"ASO 2.ve 3. Ankara OSB";"TİMSAN TEKNİK İNŞ. VE MAK. SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"TUNA İNŞAAT SAN. A.Ş.";"https://tunainsaat.com.tr/";"tunainsaat.com.tr";""
"ASO 2.ve 3. Ankara OSB";"TUREKSA ARAÇ ÜSTÜ EKİPMANLARI MAK. PROJELENDİRME VE İMALAT SAN. TİC. A.Ş.";"https://tureksa.com.tr/";"tureksa.com.tr";""
"ASO 2.ve 3. Ankara OSB";"TURKUAZ ENERJİ DOĞALGAZ İNŞ. İML. TİC. VE SAN. LTD. ŞTİ.";"https://www.turkuazenerji.com/";"turkuazenerji.com";""
"ASO 2.ve 3. Ankara OSB";"ULAS PASLANMAZ ÇELİK METAL SAN. VE TİC. LTD. ŞTİ.";"https://www.ulas-paslanmaz.com/";"ulas-paslanmaz.com";""
"ASO 2.ve 3. Ankara OSB";"ULUSOY TOHUMCULUK ZİRAAT SANAYİİ VE TİCARET LTD.ŞTİ.";"https://www.ulusoyseed.com.tr/";"ulusoyseed.com.tr";""
"ASO 2.ve 3. Ankara OSB";"UMS UĞUR METAL SAN. MÜH. İNŞ. NAK. İÇ VE DIŞ TİC. LTD. ŞTİ.";"https://umsmetal.com.tr/";"umsmetal.com.tr";""
"ASO 2.ve 3. Ankara OSB";"USEL ELEKTRİK TESİSLERİ TAAHHÜT VE TİCARET A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"UYGAR ASANSÖR SANAYİ VE TİCARET A.Ş.";"https://www.uygar.com.tr/";"uygar.com.tr";""
"ASO 2.ve 3. Ankara OSB";"ÜNAL AĞAÇ İŞLEME SAN. VE TİC. A.Ş.";"https://unalagac.com/";"unalagac.com";""
"ASO 2.ve 3. Ankara OSB";"ÜNALLAR METAL İNŞ. SAN. TİC. A.Ş.";"https://unallarmetal.com/";"unallarmetal.com";""
"ASO 2.ve 3. Ankara OSB";"ÜNİVERSAL JENERATÖR SAN. VE TİC. LTD. ŞTİ.";"https://www.universal.com.tr/";"universal.com.tr";""
"ASO 2.ve 3. Ankara OSB";"VA-KO VAGON KONTEYNER MAK. MÜH. PRJ. SAN. ve TİC. A.Ş.";"https://www.vako.com.tr/";"vako.com.tr";""
"ASO 2.ve 3. Ankara OSB";"VAŞAK GAZ MAK. HIRD. SAN. VE TİC. LTD. ŞTİ.";"https://www.vasakgaz.com.tr/";"vasakgaz.com.tr";""
"ASO 2.ve 3. Ankara OSB";"VMN PHARMACETICALS İLAÇ SAN. TİC. LTD. ŞTİ. (MİSTAV)";"https://www.vmnpharma.com/";"vmnpharma.com";""
"ASO 2.ve 3. Ankara OSB";"VMN PHARMACETICALS İLAÇ SAN. TİC. LTD. ŞTİ.(MİSTAV)";"https://www.vmnpharma.com/";"vmnpharma.com";""
"ASO 2.ve 3. Ankara OSB";"WELMET ENDÜSTRİ LTD. ŞTİ.";"https://welmetendustri.com/";"welmetendustri.com";""
"ASO 2.ve 3. Ankara OSB";"YAPIM BİLİŞİM BASIN YAYIN PROD. DAN. TUR. İNŞ. TAAH. MAK. MÜH. İTH. İHR. TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"YAZKAN DÖKÜM. SAN VE TİC. A.Ş.";"https://www.yazkan.com.tr/index.php";"yazkan.com.tr";""
"ASO 2.ve 3. Ankara OSB";"YILMAZER ASFALT İNŞ. TUR. MÜH. SAN. VE TİC. LTD. ŞTİ.";"https://www.yilmazerasfalt.com.tr/";"yilmazerasfalt.com.tr";""
"ASO 2.ve 3. Ankara OSB";"ZETAŞ KİMYASAL ÜRÜNLER VE SU ARITMA SİTEMLERİ İNŞ. SAN. TİC. LTD. ŞTİ.";"https://zetaskimya.com/";"zetaskimya.com";""
"ASO 2.ve 3. Ankara OSB";"ZEY GLASS CAM SAN. VE TİC. A.Ş.";"https://zeyglass.com/";"zeyglass.com";""
"ASO 2.ve 3. Ankara OSB";"ZİRVE PLASTİK KALIP MAK. İMA. İTH. İHR. SAN. TİC. LTD. ŞTİ.";"https://www.zirveplastik.com.tr/";"zirveplastik.com.tr";""
"ASO 2.ve 3. Ankara OSB";"ZK METAL SAN. A.Ş.";"";"";""
"Başkent Ankara OSB";"3DTİM ELEKTRONİK A.Ş.";"https://www.beevision.com.tr";"beevision.com.tr";""
"Başkent Ankara OSB";"3E BAŞKENT 4 METAL SANAYİ A.Ş.";"https://www.ersamobilya.com";"ersamobilya.com";""
"Başkent Ankara OSB";"5M FACTOR MÜHENDİSLİK İNŞAAT EMLAK GIDA OTOMOTİV SANAYİ VE TİCARET LTD.ŞTİ.";"";"";""
"Başkent Ankara OSB";"5S OTOMOTİV İMALAT SANAYİ VE TİCARET A.Ş.";"https://www.5sotomotiv.com";"5sotomotiv.com";""
"Başkent Ankara OSB";"A.H.M EVCİL HAYVAN VE HAYVAN ÜRÜNLERİ TEKS. KİM. İNŞ. DAN. SAN. VE TİC. .LTD. ŞTİ.";"http://www.ahmfishfood.com/";"ahmfishfood.com";""
"Başkent Ankara OSB";"A4 DOĞALTAŞ GRANİT TİCARET VE SANAYİ LTD.ŞTİ.";"http://www.a4granit.com/";"a4granit.com";""
"Başkent Ankara OSB";"ABAY GIDA TURİZM İNŞAAT VE ELEKTRONİK SANAYİ TİCARET LTD. ŞTİ.";"https://www.abaygıda.com.tr";"xn--abaygda-vfb.com.tr";""
"Başkent Ankara OSB";"ABDULKADİR ÖZCAN OTOMOTİV LASTİK SANAYİ VE TİCARET A.Ş.";"https://www.abdulkadirozcan.com.tr";"abdulkadirozcan.com.tr";""
"Başkent Ankara OSB";"ABFEN FARMA İLAÇ SANAYİ VE TİCARET A.Ş.";"https://www.abfen.com.tr";"abfen.com.tr";""
"Başkent Ankara OSB";"AC ARGE ENDÜSTRİYEL ÜRETİM SANAYİ VE TİCARET A.Ş";"https://www.acendustri.com";"acendustri.com";""
"Başkent Ankara OSB";"ACA METAL SANAYİ VE TİCARET LTD. ŞTİ";"";"";""
"Başkent Ankara OSB";"ACK AMBULANS VE SERVİS HİZMETLERİ A.Ş.";"";"";""
"Başkent Ankara OSB";"ADRİYATİK FİLTRASYON ARITMA SİS. MAK. MÜH. DAN. .İNŞ. TAAH. SAN. TİC. LTD. ŞTİ.";"https://www.adriyatikfiltre.com";"adriyatikfiltre.com";""
"Başkent Ankara OSB";"ADS METAL ELEKTRİK İTHALAT İHRACAT SANAYİ TİCARET A.Ş.";"https://adsmetal.com.tr/";"adsmetal.com.tr";""
"Başkent Ankara OSB";"AERO KOMPOZİT TEKNOLOJİLERİ VE SAVUNMA SANAYİ TİCARET A.Ş.";"https://www.aerocomposite.com.tr";"aerocomposite.com.tr";""
"Başkent Ankara OSB";"AFIT DIŞ TİCARET LTD. ŞTİ";"https://www.afit.com.tr";"afit.com.tr";""
"Başkent Ankara OSB";"AFKO METAL TARIM MAKİNALARI LTD.ŞTİ.";"https://www.afko.com.tr";"afko.com.tr";""
"Başkent Ankara OSB";"AİR-FAN HAVA TEKNİĞİ CİHAZLARI MAKİNA VE İNŞAAT SANAYİ TİCARET A.Ş.";"http://www.airfan.com.tr/";"airfan.com.tr";""
"Başkent Ankara OSB";"AKA SU TEKNOLOJİLERİ A.Ş.";"http://aquashine.com.tr";"aquashine.com.tr";""
"Başkent Ankara OSB";"AKADEMİ TOHUM GÜBRE TARIM ÜRÜNLERİ HAYV. GIDA SAN. VE TİC. LTD. ŞTİ.";"https://www.akademitohum.com";"akademitohum.com";""
"Başkent Ankara OSB";"AKANA MÜHENDİSLİK VE TİCARET A.Ş.";"https://www.akana.com.tr";"akana.com.tr";""
"Başkent Ankara OSB";"AKM OTOMOTİV AKARYAKIT ENERJİ İNŞAAT TAAHHÜT SANAYİ VE TİCARET LTD. ŞTİ.";"";"";""
"Başkent Ankara OSB";"AKMERMER DEMİR ÇELİK TİCARET VE SANAYİ LTD. ŞTİ.";"https://www.akmermerdemir.com";"akmermerdemir.com";""
"Başkent Ankara OSB";"AKSA İLERİ KOMPOZİT TEKNOLOJİLERİ VE HAVACILIK SANAYİ A.Ş.";"https://www.epsiloncomposite.com/";"epsiloncomposite.com";""
"Başkent Ankara OSB";"AKSA İLERİ KOMPOZİT TEKNOLOJİLERİ VE HAVACILIK SANAYİ A.Ş. MALIKÖY OSB 2 ŞUBESİ";"https://www.aksacomposites.com";"aksacomposites.com";""
"Başkent Ankara OSB";"AKSA İLERİ KOMPOZİT TEKNOLOJİLERİ VE HAVACILIK SANAYİ A.Ş. MALIKÖY OSB ŞUBESİ";"https://www.aksacomposites.com";"aksacomposites.com";""
"Başkent Ankara OSB";"AKSA İLERİ KOMPOZİT TEKNOLOJİLERİ VE HAVACILIK SANAYİ A.Ş. MALIKÖY ŞUBESİ";"https://www.epsiloncomposite.com";"epsiloncomposite.com";""
"Başkent Ankara OSB";"ALERMAK DANIŞMANLIK MAKİNA SANAYİ VE TİCARET A.Ş.";"https://www.alermak.com.tr";"alermak.com.tr";""
"Başkent Ankara OSB";"ALFA KESİCİ TAKIM MAKİNE İTHALAT İHRACAT SANAYİ TİCARET LTD.ŞTİ.";"https://www.alfakesicitakim.com";"alfakesicitakim.com";""
"Başkent Ankara OSB";"ALFA KRANK MAKİNA DÖKÜM SANAYİ VE TİCARET LTD. ŞTİ.";"https://www.alfakrank.com.tr";"alfakrank.com.tr";""
"Başkent Ankara OSB";"ALFA TEST EKİPMANLARI LTD.ŞTİ.";"https://www.alfatest.com.tr";"alfatest.com.tr";""
"Başkent Ankara OSB";"ALİ ERDEM";"";"";""
"Başkent Ankara OSB";"ALP GRUP DANIŞMANLIK LTD.ŞTİ.";"";"";""
"Başkent Ankara OSB";"ALTAYLAR MEDİKAL TIBBİ MALZEMELER İNŞAAT TEKSTİL GIDA İTHALAT İHRACAT SANAYİ VE TİCARET LTD. ŞTİ.";"https://www.altaylarmedikal..com";"altaylarmedikal..com";""
"Başkent Ankara OSB";"ALTAYLAR TEST ANALİZ VALİDASYON AMBALAJ VE SANAYİ TİCARET A.Ş.";"https://www.altaylarvalidasyon.com";"altaylarvalidasyon.com";""
"Başkent Ankara OSB";"AMEC ENDÜSTRİYEL VE TIBBİ CİHAZLAR MAKİNE SANAYİ VE TİCARET LTD.ŞTİ.";"https://www.amecindustries.com";"amecindustries.com";""
"Başkent Ankara OSB";"ANADOLU TRAFO İZOLASYON SANAYİ VE TİCARET A.Ş.";"http://anadolutrafoizolasyon.com/";"anadolutrafoizolasyon.com";""
"Başkent Ankara OSB";"ANCHOR ENDÜSTRİ ÇELİK KONSTRÜKSİYON İNŞAAT MAKİNA SANAYİ VE TİCARET A.Ş.";"http://www.anchorcelik.com.tr";"anchorcelik.com.tr";""
"Başkent Ankara OSB";"ANÇ MÜHENDİSLİK MAKİNA SANAYİ VE TİCARET LTD.ŞTİ.";"https://www.ancltd.com.tr";"ancltd.com.tr";""
"Başkent Ankara OSB";"ANDA KAYNAK MAKİNE SANAYİ TİCARET LTD.ŞTİ.";"";"";""
"Başkent Ankara OSB";"ANI METAL SANAYİ TİCARET A.Ş.";"https://www.animetal.com.tr";"animetal.com.tr";""
"Başkent Ankara OSB";"ANIL KAĞITÇILIK AMBALAJ İNŞAAT TURİZM SANAYİ VE TİCARET A.Ş.";"https://www.anilambalaj.com.tr";"anilambalaj.com.tr";""
"Başkent Ankara OSB";"ANKARA AKRİLİK POLİMER SANAYİ TİCARET A.Ş.";"";"";""
"Başkent Ankara OSB";"ANKARA BASINÇLI TANK VE PROSES EKİPMANLARI İMALAT VE MONTAJ SANAYİ TİCARET LTD.ŞTİ.";"";"";""
"Başkent Ankara OSB";"ANKARA RAKOR HİDROLİK MAKİNE LTD. ŞTİ.";"https://www.ankararakor.com; wwwçankararekor.com";"ankararakor.com; wwwçankararekor.com";""
"Başkent Ankara OSB";"ANKASAN MAKİNE A.Ş.";"https://www.ankasan.com";"ankasan.com";""
"Başkent Ankara OSB";"ANKATEKS TURİZM İNŞAAT TEKSTİL TEMİZLEME SANAYİ VE TİCARET A.Ş.";"https://www.ankateks.com.tr";"ankateks.com.tr";""
"Başkent Ankara OSB";"ANKOMER TOHUMCULUK VE ZİRAAT SANAYİ TİCARET LTD. ŞTİ.";"http://ankomer.com/";"ankomer.com";""
"Başkent Ankara OSB";"ANKUTSAN ANTALYA KUTU SANAYİ OLUKLU MUKAVVA KAĞIT TİCARET A.Ş.";"https://www.ankutsan.com";"ankutsan.com";""
"Başkent Ankara OSB";"ANKUTSAN ANTALYA KUTU SANAYİ OLUKLU MUKAVVA KAĞIT TİCARET A.Ş. BAŞKENT ŞUBESİ";"https://www.ankutsan.com";"ankutsan.com";""
"Başkent Ankara OSB";"ANMAK GRUP MAKİNE VE DİŞLİ SANAYİ TİCARET LTD. ŞTİ.";"http://www.anmakdisli.com/";"anmakdisli.com";""
"Başkent Ankara OSB";"ANMEKSAN İNŞAAT MAKİNA SANATİ VE TİCARET A.Ş.";"https://www.anmeksan.com";"anmeksan.com";""
"Başkent Ankara OSB";"AQUASHİNE ÇEVRE VE ENERJİ TEKNOLOJİLERİ A.Ş.";"";"";""
"Başkent Ankara OSB";"ARANGÜL PLASTİK KALIP SANAYİ VE TİCARET A.Ş.";"https://www.arangul.com";"arangul.com";""
"Başkent Ankara OSB";"ARAS KARGO YURT İÇİ VE YURT DIŞI TAŞIMACILIK A.Ş.";"";"";""
"Başkent Ankara OSB";"ARDIÇ OTOMOTİV SANAYİ VE TİCARET A.Ş.";"https://www.ardicotomotiv.com.tr/";"ardicotomotiv.com.tr";""
"Başkent Ankara OSB";"ARMA İLAÇ SANAYİ VE TİCARET A.Ş.";"https://www.armailac.com.tr";"armailac.com.tr";""
"Başkent Ankara OSB";"ARMİN BOYA TEKNOLOJİLERİ VE DANIŞMANLIK SANAYİ VE TİCARET LTD.ŞTİ. ANKARA ŞUBESİ";"";"";""
