Okul Adı;Şehir;Kategori;Telefon;Web Sitesi;Domain;Adres
ÇAĞ FEN LİSESİ;Mersin;Lise;03246513386;http://www.cag.k12.tr;cag.k12.tr;YENİCE MAH. CEMAL GÜRSEL BUL. ÇAĞ KOLEJİ SİTESİ D BLOK NO: 138/2D İÇ KAPI NO: 2 TARSUS / MERSİN
ÇAĞ FEN VE TEKNOLOJİ LİSESİ;Mersin;Lise;03246513386;http://www.cag.k12.tr;cag.k12.tr;YENİCE MAH. CEMAL GÜRSEL BUL. ÇAĞ KOLEJİ SİTESİ D BLOK NO: 138/2D İÇ KAPI NO: 1 TARSUS / MERSİN
ÇAĞ KOLEJİ;Mersin;Lise;03246513386;http://www.cag.k12.tr;cag.k12.tr;YENİCE MAH. CEMAL GÜRSEL BUL. ÇAĞ KOLEJİ SİTESİ D BLOK NO: 138/2D İÇ KAPI NO: 1 TARSUS / MERSİN
ÇAĞ ORTAOKULU;Mersin;Ortaokul;03246512054;http://www.cag.k12.tr;cag.k12.tr;YENİCE MAH. CEMAL GÜRSEL BUL. ÇAĞ KOLEJİ SİTESİ C BLOK NO: 138/2C İÇ KAPI NO: 1 TARSUS / MERSİN (DİĞER İÇ KAPILAR: 2)
ÇAĞDAŞ ÖNCÜ ANADOLU LİSESİ;Bursa;Lise;02242323400;http://www.cagdasoncuokullari.com;cagdasoncuokullari.com;19 MAYIS MAHALLESİ SİDE CADDESİ NO : 73 / 1 16320 ÖZLÜCE / BURSA
ÇAĞDAŞ ÖNCÜ FEN LİSESİ;Bursa;Lise;02242323400;http://www.cagdasoncuokullari.com;cagdasoncuokullari.com;19 MAYIS MAHALLESİ SİDE CADDESİ NO : 73 / 1 16320 ÖZLÜCE / BURSA
ÇAĞDAŞ ÖNCÜ İLKOKULU;Bursa;İlköğretim;02242323400;http://www.cagdasoncuokullari.com;cagdasoncuokullari.com;19 MAYIS MAHALLESİ SİDE CADDESİ NO : 73 / 1 16320 ÖZLÜCE / BURSA
ÇAĞDAŞ ÖNCÜ ORTAOKULU;Bursa;Ortaokul;02242323400;http://www.cagdasoncuokullari.com;cagdasoncuokullari.com;19 MAYIS MAHALLESİ SİDE CADDESİ NO : 73 / 1 16320 ÖZLÜCE / BURSA
ÇAKABEY İLKOKULU;İzmir;İlköğretim;0 232 327 31 92;http://www.cakabey.k12.tr;cakabey.k12.tr;SASALI MERKEZ MAH. 8 SK. ÇAKABEY OKULLARI SİTESİ NO: 1 ÇİĞLİ / İZMİR
ÇAKABEY ORTAOKULU;İzmir;Ortaokul;0 535 263 61 03;http://www.cakabey.k12.tr;cakabey.k12.tr;SASALI MERKEZ MAH. 8 SK. ÇAKABEY OKULLARI SİTESİ NO: 1 ÇİĞLİ / İZMİR
ÇAM AĞACI ANAOKULU;Samsun;Okul Öncesi;0 507 719 45 87;www.camagacianaokulu.k12.tr;camagacianaokulu.k12.tr;Körfez Mahallesi Atatürk Bulvarı 5. Kısım No:3/1 Atakum/Samsun
ÇAPA OĞUZKAAN KOLEJİ ANAOKULU;İstanbul;Okul Öncesi;02125344557;https://www.oguzkaankoleji.com;oguzkaankoleji.com;MOLLA GÜRANİ MAH. AŞAĞI GUREBA CAD. 34270 FATİH/İSTANBUL
ÇAPA OĞUZKAAN KOLEJİ İLKOKULU;İstanbul;İlköğretim;02125344557;https://www.oguzkaankoleji.com;oguzkaankoleji.com;MOLLA GÜRANİ MAH. AŞAĞI GUREBA CAD. 34270 FATİH/İSTANBUL
ÇAPA OĞUZKAAN KOLEJİ ORTAOKULU;İstanbul;Ortaokul;02125344557;https://www.oguzkaankoleji.com;oguzkaankoleji.com;MOLLA GÜRANİ CAD. AŞAĞI GUREBA CAD. 34270 FATİH/İSTANBUL
ÇEKMEKÖY FİNAL ANAOKULU;İstanbul;Okul Öncesi;2 163 126 56 5_;cekmekoy.finalokullari.com.t;cekmekoy.finalokullari.com.t;Kirazlıdere Mahallesi Cumhuriyet Caddesi No:2
ÇEKMEKÖY FİNAL İLKÖĞRETİM OKULU;İstanbul;İlköğretim;2 163 126 56 5_;https://cekmekoy.finalokullari.com.tr/;cekmekoy.finalokullari.com.tr;Kirazlıdere Mahallesi Cumhuriyet Caddesi No:2
ÇEKMEKÖY FİNAL LİSESİ;İstanbul;Lise;2 163 126 56 5_;https://cekmekoy.finalokullari.com.tr/;cekmekoy.finalokullari.com.tr;Kirazlıdere Mahallesi Cumhuriyet Caddesi No:2
ÇEKMEKÖY FİNAL ORTAOKULU;İstanbul;Ortaokul;2 163 126 56 5_;https://cekmekoy.finalokullari.com.tr/;cekmekoy.finalokullari.com.tr;Kirazlıdere Mahallesi Cumhuriyet Caddesi No:2
ÇEKMEKÖY OKYANUS KOLEJİ ANADOLU LİSESİ;İstanbul;Lise;02166413005;https://www.okyanuskoleji.k12.tr;okyanuskoleji.k12.tr;ÇAVUŞBAŞI CADDESİ. NURTEPE SOKAK. ÇEKMEKÖY | İSTANBUL
ÇEKMEKÖY OKYANUS KOLEJİ ANAOKULU;İstanbul;Okul Öncesi;02166413005;https://www.okyanuskoleji.k12.tr;okyanuskoleji.k12.tr;ÇAVUŞBAŞI CADDESİ. NURTEPE SOKAK. ÇEKMEKÖY | İSTANBUL
ÇEKMEKÖY OKYANUS KOLEJİ İLKOKULU;İstanbul;İlköğretim;02166413005;https://www.okyanuskoleji.k12.tr;okyanuskoleji.k12.tr;ÇAVUŞBAŞI CADDESİ. NURTEPE SOKAK. ÇEKMEKÖY | İSTANBUL
ÇEKMEKÖY OKYANUS KOLEJİ ORTAOKULU;İstanbul;Ortaokul;02166413005;https://www.okyanuskoleji.k12.tr;okyanuskoleji.k12.tr;ÇAVUŞBAŞI CADDESİ. NURTEPE SOKAK. ÇEKMEKÖY | İSTANBUL
ÇEVRE ANADOLU LİSESİ;İstanbul;Lise;2163605313;http://www.cevrekoleji.k12.tr;cevrekoleji.k12.tr;19 MAYIS MAHALLESİ.ÇEVRE SOK.NO:2 ERENKÖY/İSTANBUL
ÇEVRE BATI ATAŞEHİR ANAOKULU;İstanbul;Okul Öncesi;02162911616;http://www.cevrekoleji.k12.tr;cevrekoleji.k12.tr;BARBAROS MAH. HASGÜL SK. NO: 26 ATAŞEHİR / İSTANBUL
ÇEVRE ERENKÖY ANAOKULU;İstanbul;Okul Öncesi;02164671048;http://www.cevrekoleji.k12.tr;cevrekoleji.k12.tr;19 MAYIS MAHALLESİ.ÇEVRE SOK.NO:2 ERENKÖY/İSTANBUL
ÇEVRE İLKOKULU;İstanbul;İlköğretim;02163605313;http://www.cevrekoleji.k12.tr;cevrekoleji.k12.tr;19 MAYIS MAHALLESİ.ÇEVRE SOK.NO:2 ERENKÖY/İSTANBUL
ÇEVRE ORTAOKULU;İstanbul;Ortaokul;02163605313;http://www.cevrekoleji.k12.tr;cevrekoleji.k12.tr;19 MAYIS MAHALLESİ.ÇEVRE SOK.NO:2 ERENKÖY/İSTANBUL
ÇİĞLİ FİNAL OKULLARI;İzmir;Lise;0 232 398 20 20;;;6782/3 sokak no:1 Aydınlıkevler mahallesi
ÇİĞLİ FİNAL OKULLARI ORTAOKULU;İzmir;Ortaokul;0 232 398 20 20;;;6782/3 SOKAK NO:1 AYDINLIKEVLER MAHALLESİ ÇİĞLİ İZMİR
DADYAN ERMENİ İLKOKULU;İstanbul;İlköğretim;02125716077;http://www.dadyan.k12.tr;dadyan.k12.tr;ZEYTİNLİK MAH. ÖMER NACİ SOK. NO:18 BAKIRKÖY İSTANBUL
DADYAN ERMENİ ORTAOKULU;İstanbul;Ortaokul;02125716077;http://www.dadyan.k12.tr;dadyan.k12.tr;ZEYTİNLİK MAH. ÖMER NACİ SOK. NO:18 BAKIRKÖY İSTANBUL
DAHİ ÇOCUKLAR AKADEMİSİ TALAS ANAOKULU;Kayseri;Okul Öncesi;4 442 338 __ __;www.anadolukoleji.com;anadolukoleji.com;MEVLANA MH. VELİOĞLU CD. DUMRUL APT. ALTINO:31A
DARICA FİNAL OKULLARI ANADOLU LİSESİ;Kocaeli;Lise;2626550076;http://www.finalokullari.com.tr;finalokullari.com.tr;FEVZİ ÇAKMAK MAHALLESİ DOKTOR ZEKİ ACAR CADDESİ İSRA SOKAK NO:12 DARICA/KOCAELİ
DARICA FİNAL OKULLARI ANAOKULU;Kocaeli;Okul Öncesi;2627451223;http://www.finalokullari.com.tr;finalokullari.com.tr;CAMİ MAHALLESİ ALİ ARICAN CADDESİ NO:31/1 DARICA/KOCAELİ
DARICA FİNAL OKULLARI İLKOKULU;Kocaeli;İlköğretim;2627451223;http://www.finalokullari.com.tr;finalokullari.com.tr;CAMİ MAHALLESİ ALİ ARICAN CADDESİ NO:31/1 DARICA/KOCAELİ
DARICA FİNAL OKULLARI ORTAOKULU;Kocaeli;Ortaokul;2627451223;http://www.finalokullari.com.tr;finalokullari.com.tr;CAMİ MAHALLESİ ALİ ARICAN CADDESİ NO:31/1 DARICA/KOCAELİ
DARÜŞŞAFAKA EĞİTİM KURUMLARI LİSESİ;İstanbul;Lise;0 212 939 28 00;www.darussafaka.k12.tr;darussafaka.k12.tr;DARÜŞŞAFAKA MAH. DARÜŞŞAFAKA CAD. NO:5/9 MASLAK 34457 SARIYER / İSTANBUL
DARÜŞŞAFAKA EĞİTİM KURUMLARI ORTAOKULU;İstanbul;Ortaokul;0 212 939 28 00;www.darussafaka.k12.tr;darussafaka.k12.tr;DARÜŞŞAFAKA MAH. DARÜŞŞAFAKA CAD. NO:5/9 MASLAK 34457 SARIYER / İSTANBUL
DENGE  İLKOKULU;İzmir;İlköğretim;02323765444;http://denge.k12.tr;denge.k12.tr;MALTEPE MAH. 8110/5 SK. NO: 6 İÇ KAPI NO: 1 ÇİĞLİ / İZMİR (DİĞER İÇ KAPILAR: 2)
DENGE ANADOLU LİSESİ;İzmir;Lise;02323765444;http://denge.k12.tr;denge.k12.tr;MALTEPE MAH. 8108. SOKAK NO:27A ÇİĞLİ/İZMİR
DENGE ANAOKULU;İzmir;Okul Öncesi;02323765444;http://denge.k12.tr;denge.k12.tr;MALTEPE MAH. 8110/5 SK. NO: 6 İÇ KAPI NO: 1 ÇİĞLİ / İZMİR (DİĞER İÇ KAPILAR: 2)
DENGE ORTAOKULU;İzmir;Ortaokul;02323765444;http://denge.k12.tr;denge.k12.tr;MALTEPE MAH. 8110/5 SK. NO: 6 İÇ KAPI NO: 1 ÇİĞLİ / İZMİR (DİĞER İÇ KAPILAR: 2)
DENİZLİ İSTEK ANADOLU LİSESİ;Denizli;Lise;0 258 257 19 19;https://www.denizliistekokullari.k12.tr/;denizliistekokullari.k12.tr;Selçukbey Mah. 737 Sok. No: 13, 20030, Merkezefendi/DENİZLİ
DENİZLİ İSTEK ANAOKULU;Denizli;Okul Öncesi;0 258 257 19 19;https://www.denizliistekokullari.k12.tr/;denizliistekokullari.k12.tr;Selçukbey Mah. 737 Sok. No: 13, 20030, Merkezefendi/DENİZLİ
DENİZLİ İSTEK FEN LİSESİ OKULU;Denizli;Lise;0 258 257 19 19;https://www.denizliistekokullari.k12.tr/;denizliistekokullari.k12.tr;Selçukbey Mah. 737 Sok. No: 13, 20030, Merkezefendi/DENİZLİ
DENİZLİ İSTEK İLKÖĞRETİM OKULU;Denizli;İlköğretim;0 258 257 19 19;https://www.denizliistekokullari.k12.tr/;denizliistekokullari.k12.tr;Selçukbey Mah. 737 Sok. No: 13, 20030, Merkezefendi/DENİZLİ
DENİZLİ İSTEK ORTAOKULU;Denizli;Ortaokul;0 532 113 09 04;https://www.denizliistekokullari.k12.tr/;denizliistekokullari.k12.tr;Selçukbey Mah. 737 Sok. No: 13, 20030, Merkezefendi/DENİZLİ
DİLEK YETKİN AKADEMİ;İstanbul;Okul Öncesi;0 536 702 49 49;;;MİMAR SİNAN MAH. AKŞAM SEFASI CAD. NO:4 SİLİVRİ/İSTANBUL
DOĞAN KOLEJİ ANADOLU LİSESİ;İstanbul;Lise;02163410417;http://www.dogankoleji.com/;dogankoleji.com;BESTEKAR SELAHATTİN PINAR SK. NO:15 SALACAK
DOĞAN KOLEJİ ANAOKULU;İstanbul;Okul Öncesi;0216341041;http://www.dogankoleji.com/;dogankoleji.com;BESTEKAR SELAHATTİN PINAR SK. NO:15 SALACAK
DOĞAN KOLEJİ İLKOKUL;İstanbul;İlköğretim;02163410417;http://www.dogankoleji.com/;dogankoleji.com;BESTEKAR SELAHATTİN PINAR SK. NO:15 SALACAK
DOĞAN KOLEJİ ORTAOKUL;İstanbul;Ortaokul;02163410417;http://www.dogankoleji.com/;dogankoleji.com;BESTEKAR SELAHATTİN PINAR SK. NO:15 SALACAK
DOĞRU ÇOCUK ANAOKULU;İstanbul;Okul Öncesi;02122327813;www.dogrucocuk.com;dogrucocuk.com;KAZIM ORBAY CADDESİ NO:11 BOMONTİ-ŞİŞLİ İSTANBUL
DOKU KÜLTÜR ANAOKULU;Ankara;Okul Öncesi;05326284216;;;PROF. DR. AHMET TANER KIŞLALI MAH. SAFRANBOLU CAD. NO: 21 ÇANKAYA / ANKARA
DRAGOS ÖZEL KİLİTTAŞI (KEYSTONE) ULUSLARARASI ANAOKULU;İstanbul;Okul Öncesi;02163704921;http://www.kilittasiokullari.k12.tr;kilittasiokullari.k12.tr;ORHANTEPE MAH. KIRGÜLÜ SOK. NO:40 KARTAL/İSTANBUL
DÜŞLER ŞATOSU ANAOKULU;İstanbul;Okul Öncesi;02164563410;http://www.duslersatosu.com/;duslersatosu.com;ATATÜRK MAH.ŞENGÜN SOK NO:18-20 ATAŞEHİR İSTANBUL
EDUKENT ANADOLU LİSESİ;İstanbul;Lise;0 531 518 44 02;https://edukenttuzla.com/;edukenttuzla.com;Cami Mahallesi İstasyon Caddesi No:82 Tuzla/İstanbul
EFDAL ANAOKULU;İstanbul;Okul Öncesi;02163505025;http://www.efdal.com;efdal.com;ORAMİRAL KAYACAN SOKAK NO:22/1 GÖZTEPE / İSTANBUL
EFDAL İLKOKULU;İstanbul;İlköğretim;02163605050;http://www.efdal.com;efdal.com;YEŞİLÇEŞME SOKAK NO:16  KADIKÖY / İSTANBUL
EFDAL ORTAOKULU;İstanbul;Ortaokul;02163605050;http://www.efdal.com;efdal.com;YEŞİLÇEŞME SOKAK NO:16  KADIKÖY / İSTANBUL
EGE ANADOLU LİSESİ;İzmir;Lise;02323752828;https://www.egelisesi.k12.tr;egelisesi.k12.tr;EVKA 3 MAH. 119/1 SK. KÜLTÜR MERKEZİ BLOK NO: 3 BORNOVA / İZMİR
EGE ANAOKULU;İzmir;Okul Öncesi;;;;EVKA 3 MAH. 119/1 SK. KÜLTÜR MERKEZİ BLOK NO: 3 BORNOVA / İZMİR
EGE LİSESİ İLKOKUL;İzmir;İlköğretim;02323752828;https://www.egelisesi.k12.tr;egelisesi.k12.tr;EVKA 3 MAH. 119/1 SK. KÜLTÜR MERKEZİ BLOK NO: 3 BORNOVA / İZMİR
EGE LİSESİ ORTAOKUL;İzmir;Ortaokul;02323752828;https://www.egelisesi.k12.tr;egelisesi.k12.tr;EVKA 3 MAH. 119/1 SK. KÜLTÜR MERKEZİ BLOK NO: 3 BORNOVA / İZMİR
EGEBERK ANAOKULU;Bursa;Okul Öncesi;05323810656;http://www.egeberkanaokulu.com;egeberkanaokulu.com;ÖZLÜCE MAH. HAZAL SOK. NO:3 NİLÜFER/BURSA
EGEBİL KOLEJİ ASLAN YENİ NESİL KAMPÜSÜ FEN LİSESİ OKULLARI;Gaziantep;Lise;0 850 202 07 27;https://www.egebil.com.tr/;egebil.com.tr;15 Temmuz Mahallesi 148046 Nolu Sokak Şehitkamil / GAZİANTEP
EGEBİL KOLEJİ ASLAN YENİ NESİL KAMPÜSÜ İLKÖĞRETİM OKULU;Gaziantep;İlköğretim;0 850 202 07 27;https://www.egebil.com.tr/;egebil.com.tr;15 Temmuz Mahallesi 148046 Nolu Sokak Şehitkamil / GAZİANTEP
EGEBİL KOLEJİ ASLAN YENİ NESİL KAMPÜSÜ LİSESİ;Gaziantep;Lise;0 850 202 07 27;https://www.egebil.com.tr/;egebil.com.tr;15 Temmuz Mahallesi 148046 Nolu Sokak Şehitkamil / GAZİANTEP
EGEBİL KOLEJİ ASLAN YENİ NESİL KAMPÜSÜ ORTAOKULU;Gaziantep;Ortaokul;0 850 202 07 27;https://www.egebil.com.tr/;egebil.com.tr;15 Temmuz Mahallesi 148046 Nolu Sokak Şehitkamil / GAZİANTEP
EĞİTİMDE DÖNÜŞÜM COŞKUSU ANAOKULU;İstanbul;Okul Öncesi;02163554141;https://www.edcokullari.com/ekibimiz/;edcokullari.com;19 MAYIS MAH. SARAY SOK.  NO:20 KADIKÖY- İSTANBUL
EKİM KOLEJİ ANAOKULU;Adana;Okul Öncesi;0 322 239 19 23;https://ekim.k12.tr/;ekim.k12.tr;Huzurevleri mah. 77039 Sok. No:1 Çukurova/ Adana
EKİM KOLEJİ FEN LİSESİ;Adana;Lise;0 322 239 19 23;https://ekim.k12.tr/;ekim.k12.tr;Huzurevleri mah. 77039 Sok. No:1 Çukurova/ Adana
EKİM KOLEJİ İLKOKULU;Adana;İlköğretim;0 322 239 19 23;https://ekim.k12.tr/;ekim.k12.tr;Huzurevleri mah. 77039 Sok. No:1 Çukurova/ Adana
EKİM KOLEJİ ORTAOKULU;Adana;Ortaokul;0 322 239 19 23;https://ekim.k12.tr/;ekim.k12.tr;Huzurevleri mah. 77039 Sok. No:1 Çukurova/ Adana
EKO EĞİTİM KURUMLARI ANAOKULU;İstanbul;Okul Öncesi;02125096262;https://www.ekokidsbahcesehir.com/;ekokidsbahcesehir.com;BAHÇEŞEHİR 2. KISIM MAH. YAMAÇ ÇIKMAZI SOK. YAMAÇ VİLLALARI SİTESİ NO:6
EKOLOJİK KÜLTÜR OKULLARI;Konya;Okul Öncesi;0 537 394 51 08;https://www.ekolojikkulturokullari.com/tr/;ekolojikkulturokullari.com;Buhara Mahallesi Açelya Sokak No:25 Selçuklu KONYA
ELİT GENÇLER ANADOLU LİSESİ;İstanbul;Lise;0 212 212 12 12;https://elitgencler.k12.tr/;elitgencler.k12.tr;Bahçelievler Mahallesi, Talat Paşa Cd No:17, 34180 Bahçelievler/İstanbul
ELİT GENÇLER KOLEJİ İLKOKULU;İstanbul;İlköğretim;02124415901;http://elitgencler.k12.tr;elitgencler.k12.tr;BAHÇELİEVLER MAHALLESİ, TALAT PAŞA CD NO:17, 34180 BAHÇELİEVLER/İSTANBUL
ELİT GENÇLER KOLEJİ ORTAOKULU;İstanbul;Ortaokul;02124415901;http://elitgencler.k12.tr;elitgencler.k12.tr;BAHÇELİEVLER MAHALLESİ, TALAT PAŞA CD NO:17, 34180 BAHÇELİEVLER/İSTANBUL
EMRE İLKOKULU;Ankara;İlköğretim;03124379277;https://emrekoleji.k12.tr/;emrekoleji.k12.tr;ABAY KUNANBAY CAD. BİLİR SOK. NO:41 ÇANKAYA/ANKARA
EMRE KOLEJİ ANAOKULU;Ankara;Okul Öncesi;0 312 437 92 77;https://emrekoleji.k12.tr/;emrekoleji.k12.tr;Abay Kunanbay Caddesi (Bilir Sokak) No:41 Kavaklıdere / ANKARA
EMRE ORTAOKULU;Ankara;Ortaokul;03124379277;https://emrekoleji.k12.tr/;emrekoleji.k12.tr;ABAY KUNANBAY CAD. BİLİR SOK. NO:41 ÇANKAYA/ANKARA
ERA KOLEJİ BAHÇELİEVLER KAMPÜSÜ;İstanbul;Lise;0 212 660 38 64;https://www.erakoleji.k12.tr/bahcelievler-kampusu-istanbul;erakoleji.k12.tr;Bahçelievler Mah. Hacer Hanım Sok. No:11
ERA KOLEJİ BAHÇEŞEHİR KAMPÜSÜ;İstanbul;Lise;0 212 949 05 05;https://www.erakoleji.k12.tr/bahcesehir-kampusu;erakoleji.k12.tr;Bahçeşehir 2. Kısım Mahallesi Sedef Sokak Blok no:31
ERA KOLEJİ BAŞAKŞEHİR KAMPÜSÜ;İstanbul;Lise;0 212 949 11 00;https://www.erakoleji.k12.tr/basaksehir-kampusu;erakoleji.k12.tr;Kayabaşı, Ulubatlı Hasan Cd NO: 9 D:1C
ERA KOLEJİ BEYKENT KAMPÜSÜ;İstanbul;Lise;0 212 855 56 56;https://www.erakoleji.k12.tr/beykent-sube;erakoleji.k12.tr;Adnan Kahveci Mah. Çalışlar Cad. No: 8 Gürpınar
ERA KOLEJİ ÇAMLICA KAMPÜSÜ;İstanbul;Lise;0 216 521 98 88;12345678;0.188.97.78;Kısıklı Mah. Sarıgazi Cad. No:65 Üsküdar
ERA KOLEJİ ÇEKMEKÖY KAMPÜSÜ;İstanbul;Lise;0 216 949 09 89;12345678;0.188.97.78;Merkez Durmuşoğlu cad. No.7 Çekmeköy
ERA KOLEJİ FLORYA KAMPÜSÜ;İstanbul;Lise;0 212 592 88 44;12345678;0.188.97.78;Beşyol 1.Akasya Sk. No:26/2 Florya
ERA KOLEJİ GAZİOSMANPAŞA KAMPÜSÜ;İstanbul;Lise;0 212 563 20 00;12345678;0.188.97.78;Merkez Mah. Eski Edirne Asfaltı No:44 A-B Blok Gaziosmanpaşa
ERA KOLEJİ GEBZE KAMPÜSÜ;Kocaeli;Ortaokul;0 262 949 03 33;12345678;0.188.97.78;Köşklüçeşme Mahallesi, 576/1 Sokak No 2, 41700 Gebze/Kocaeli
ERA KOLEJİ HALİÇ KAMPÜSÜ;İstanbul;Lise;0 212 824 49 69;12345678;0.188.97.78;Topçular Mah. Bahçıvan Sk. No:1, 34055 Eyüpsultan/İstanbul
ERA KOLEJİ KAĞITHANE KAMPÜSÜ;İstanbul;Lise;0 212 294 72 92;12345678;0.188.97.78;Merkez Mah. Sanayi Cad. No:1 A Blok Kağıthane
ERA KOLEJİ KARTAL KAMPÜSÜ;İstanbul;Lise;0 216 374 63 63;12345678;0.188.97.78;Esentepe  Mah. Milangaz Cad. Ş.Koray KarAca Sk. No:15 Kartal
ERA KOLEJİ KOCASİNAN KAMPÜSÜ;İstanbul;Lise;0 212 657 58 56;12345678;0.188.97.78;Kocasinan Merkez Mah. Mahmutbey Cad. No:377 Bahçelievler
ERA KOLEJİ MALTEPE KAMPÜSÜ;İstanbul;Lise;0 216 370 93 93;12345678;0.188.97.78;Zümrütevler Mah. Çilek sk. No:14 Maltepe
ERA KOLEJİ MERSİN KAMPÜSÜ;Mersin;Lise;0 324 502 68 66;12346;0.0.48.58;Hüseyin Okan Merkezci Mah.219 cd. No 71 A Blok Toroslar Mersin
ERA KOLEJİ PENDİK KAMPÜSÜ;İstanbul;Lise;0 216 511 21 21;123;0.0.0.123;Bahçelievler Mah. Ş.Fethi Cad. No:20 Pendik
ERA KOLEJİ PENDİK LİSE KAMPÜSÜ;İstanbul;Lise;0 216 584 61 62;12345678;0.188.97.78;Doğu Mah. Rümeysa Sk. No:4 Pendik
ERA KOLEJİ SANCAKTEPE KAMPÜSÜ;İstanbul;Lise;0 216 949 03 00;12345678;0.188.97.78;Eyüp Sultan, Sekmen Cd No:14, 34885 Sancaktepe/İst
ERA KOLEJİ ŞİŞLİ BOMONTİ KAMPÜSÜ;İstanbul;Lise;0 212 269 02 69;12345678;0.188.97.78;Merkez Mah. Feriköy Fırın sk. No:40/A Bomonti Şişli
ERASLAN ANADOLU LİSESİ;İzmir;Lise;02323259966;https://www.eraslan.k12.tr;eraslan.k12.tr;MAVİŞEHİR MAH. 2040 SK. NO: 142 İÇ KAPI NO: 1 KARŞIYAKA / İZMİR
ERASLAN ANAOKULU;İzmir;Okul Öncesi;02323259966;https://www.eraslan.k12.tr;eraslan.k12.tr;MAVİŞEHİR MAH. 2040 SK. NO: 142 İÇ KAPI NO: 1 KARŞIYAKA / İZMİR
ERASLAN İLKOKULU;İzmir;İlköğretim;02323259966;https://www.eraslan.k12.tr;eraslan.k12.tr;MAVİŞEHİR MAH. 2040 SK. NO: 142 İÇ KAPI NO: 1 KARŞIYAKA / İZMİR
ERASLAN ORTAOKULU;İzmir;Ortaokul;02323259966;https://www.eraslan.k12.tr;eraslan.k12.tr;MAVİŞEHİR MAH. 2040 SK. NO: 142 İÇ KAPI NO: 1 KARŞIYAKA / İZMİR
ERCİYES KOLEJİ ANADOLU LİSESİ;Kayseri;Lise;0 352 437 69 00;https://www.erciyeskoleji.com/;erciyeskoleji.com;HARMAN MAH. ŞHT. KOMANDOLAR CAD. NO:92-92/1-94
ERCİYES KOLEJİ İLKÖĞRETİM;Kayseri;İlköğretim;03524376900;www.erciyeskoleji.com;erciyeskoleji.com;HARMAN MAH. ŞHT. KOMANDOLAR CAD. NO:92-92/1-94
ERCİYES KOLEJİ ORTAOKULU;Kayseri;Ortaokul;03524376900;www.erciyeskoleji.com;erciyeskoleji.com;HARMAN MAH. ŞHT. KOMANDOLAR CAD. NO:92-92/1-94
ERDEM OKULLARI ANADOLU LİSESİ;İstanbul;Lise;02166400540;www.erdemokullari.com.tr;erdemokullari.com.tr;MERKEZ MAH. ÇAVUŞBAŞI CAD. BEYZADE ÇIKMAZI SOK. NO:8/A-B
ERDEM OKULLARI İLKOKULU;İstanbul;İlköğretim;02166400540;www.erdemokullari.com.tr;erdemokullari.com.tr;MERKEZ MAH. ÇAVUŞBAŞI CAD. BEYZADE ÇIKMAZI SOK. NO:8/A-B
ERDEM OKULLARI OKULÖNCESİ;İstanbul;Okul Öncesi;02166400540;www.erdemokullari.com.tr;erdemokullari.com.tr;MERKEZ MAH. ÇAVUŞBAŞI CAD. BEYZADE ÇIKMAZI SOK. NO:8/A-B
ERDEM OKULLARI ORTAOKULU;İstanbul;Ortaokul;02166400540;www.erdemokullari.com.tr;erdemokullari.com.tr;MERKEZ MAH. ÇAVUŞBAŞI CAD. BEYZADE ÇIKMAZI SOK. NO:8/A-B
EREN FEN VE TEKNOLOJİ LİSESİ;Bitlis;Lise;0 552 570 58 50;https://eren.k12.tr/;eren.k12.tr;Hersan, Fatiha Ykş. Sk. No:42, 13000 Bitlis Merkez/Bitlis
ERKAN ULU OKULLARI İLKOKULU;İstanbul;İlköğretim;02123478800;http://www.erkanulu.k12.tr/;erkanulu.k12.tr;LEVAZIM MAH. ÇAYIR SK. NO:15 ORTAKÖY BEŞİKTAŞ 34340 İSTANBUL
ERKAN ULU OKULLARI ORTAOKULU;İstanbul;İlköğretim;02123478800;http://www.erkanulu.k12.tr/;erkanulu.k12.tr;LEVAZIM MAH. ÇAYIR SK. NO:15 ORTAKÖY BEŞİKTAŞ 34340 İSTANBUL
ERSEV ANAOKULU ÜMRANİYE;İstanbul;Okul Öncesi;0 216 540 64 84;;;NATO YOLU CAD. METANET SOK NO:6 YUKARI DUDULLU/ISTANBUL (MODOKO B3 KAPİSİ KARSİSİ)
ERSEV İLKOKULLARI ÜMRANİYE;İstanbul;İlköğretim;0 216 540 64 84;erseokullari.com;erseokullari.com;NATO YOLU CAD. METANET SOK NO:6 YUKARI DUDULLU/ISTANBUL (MODOKO B3 KAPİSİ KARSİSİ)
ERSEV ORTAOKULLARI ÜMRANİYE;İstanbul;Ortaokul;0 216 540 64 84;erseokullari.com;erseokullari.com;NATO YOLU CAD. METANET SOK NO:6  YUKARI DUDULLU/ISTANBUL (MODOKO B3 KAPİSİ KARSİSİ)
ERYETİŞ REİS DENİZCİLİK MESLEK LİSESİ;İstanbul;Lise;02163906414;http://eryetisdenizcilik.k12.tr/;eryetisdenizcilik.k12.tr;BAHÇELİEVLER MAH. BARIŞ ÇIKMAZI NO:9 PENDİK/İST
ESKİŞEHİR ÇAĞDAŞ (ESBAV) ANAOKULU;Eskişehir;Okul Öncesi;0 222 335 34 94;https://www.ozelcagdas.k12.tr/;ozelcagdas.k12.tr;Ertuğrulgazi Mahallesi Görsem Sokak No:1 Tepebaşı / ESKİŞEHİR
