Sıra No;İl;OSB Adı;Durum;Telefon;E-Posta;Web Sitesi;Adres;Firma Listesi
111;Bursa;Yenice;İŞLETMEDE (FAALİYETTE);(224) 714-8110;info@yeniceosb.org.tr;www.yeniceosb.org.tr;Yeniceköy Mahallesi, Hasan Gemici Caddesi, No:125 İnegöl - Bursa;
112;Bursa;Yenişehir;İŞLETMEDE (FAALİYETTE);(224) 773-5200;info@yosab.org.tr;www.yosab.org.tr;Tabakhane Mah. Şişecam Cad. No:5 16900 Yenişehir - Bursa;
113;Çanakkale;Biga;İŞLETMEDE (FAALİYETTE);(286) 324-3824;iletisim@bigaosb.org.tr;www.bigaosb.org.tr;Biga OSB Mevkii, Kahve Cad. No:63, Balıklıçeşme Köyü, - Biga - Çanakkale;
114;Çanakkale;Çanakkale;İŞLETMEDE (FAALİYETTE);(286) 213-5565;info@canakkaleosb.org;www.canakkaleosb.org;Çanakkale- Bursa Karayolu 6.Km 1.Cadde No.1 - Pk.75 - Çanakkale;
115;Çanakkale;Çanakkale Ayvacık TDİ (Jeo.Kayn.Sera);PLANLAMA AŞAMASINDA;(286) 712-1029;info@osbuk.org.tr;www.canakkaleayvaciktdiosb.org.tr;Ayvacık Tarım İl Müdürlüğü. Fatih Mah. Edremit Cad. No:11 (17860) Ayvacık - Çanakkale;
116;Çanakkale;Ezine Gıda İhtisas;İŞLETMEDE (FAALİYETTE);(286) 618-5828;osbezine2017@gmail.com;www.canakkaleezinegiosb.org;Seferşah Mah. Adnan Menderes Cad. Mavi Plaza 17600 No:4 - Kat : 3 - Daire : 2 - Ezine - Çanakkale;
117;Çankırı;Çankırı korgun;İŞLETMEDE (FAALİYETTE);(376) 343-1061;korgun@korgunosb.org.tr;www.korgunosb.org.tr;Çankırı - Kastamonu Yolu 20. Km. Korgun - Çankırı;
118;Çankırı;Çankırı Orta;ALTYAPI HAZIRLANIYOR;(376) 615-1006;ortaosb@hotmail.com;www.ortaosb.org;Cem Sultan Mah. Cumhuriyet Cad. 42/2 (Belediye Binası) Orta - Çankırı;
119;Çankırı;Çankırı Yakınkent;İŞLETMEDE (FAALİYETTE);(376) 213-2289;info@cankiriyakinkentosb.org;www.cankiriyakinkentosb.org;Kırkevler Mahallesi Kastamonu Yolu 2.km Özel İdare Ek Hizmet Binası 4. Kat Merkez - Çankırı;
120;Çankırı;Çerkeş;İŞLETMEDE (FAALİYETTE);03767661012;cerkesosb@gmail.com;www.cerkesosb.org.tr;Çerkeş Belediye Başkanlığı Hizmet Binası Murat Kurum Cad. No:28 Çerkeş - Çankırı;
121;Çankırı;Kurşunlu Çavundur;PLANLAMA AŞAMASINDA;(376) 465-1317;kursunlubelediyesi@gmail.com;;Kurşunlu Belediye Başkanlığı Kurşunlu - Çankırı;
122;Çankırı;Şabanözü(Çankırı);İŞLETMEDE (FAALİYETTE);(376) 518-1101;sabanozuosb@hotmail.com;www.sabanozuosb.org;Yeni Osb Mah. Orta Yolu 1 Km. Osb, İlhan Gürsel Cad. (Eski 5.Cad.) No:2 Şabanözü - Çankırı;
123;Çorum;Çorum;İŞLETMEDE (FAALİYETTE);(364) 254-9029;corumosb@corumosb.org.tr;www.corumosb.org.tr;Çorum-Ankara Karayolu 12.Km 19040 Merkez - Çorum;
124;Çorum;Çorum Merkez 2.;PLANLAMA AŞAMASINDA;;;;Karakeçili Mah. Gazi Cad. No:1 Merkez - Çorum;
125;Çorum;Çorum Sungurlu;İŞLETMEDE (FAALİYETTE);(364) 311-8001;sungurlu-osb@hotmail.com;www.sungurluosb.org.tr;Sungurluoğlu Mah. Muhsin Yazıcıoğlu Cad. No:54 Sungurlu - Çorum;
126;Çorum;İskilip;PLANLAMA AŞAMASINDA;(364) 511-6062;iskilip@iskilip.bel.tr;www.iskiliposb.org.tr;Çorum Valililiği Ana Bina, Karakeçili Mah, Gazi Cd. No:1 (19030) Z16 Merkez - Çorum;
127;Çorum;Osmancık;İŞLETMEDE (FAALİYETTE);(364) 611-0090;bilgi@osmancikosb.org.tr;www.osmancikosb.org.tr;Osmancık OSB. Eymir Mah. 5. Cad. NO:4 Osmancık - Çorum;
128;Denizli;Çivril;KAMULAŞTIRMA YAPILIYOR;02582421004;info@civrilosb.org.tr;www.civrilosb.org.tr;Kayalar mahallesi, 6013 Sokak No:1 Merkezefendi - Denizli;
129;Denizli;Denizli;İŞLETMEDE (FAALİYETTE);(258) 269-1002;dosb@dosb.org.tr;www.dosb.org.tr;Denizli Osb Mahallesi, Yaşar Öncan Caddesi No: 1 Honaz - Denizli;YAPILDI
130;Denizli;Denizli Çardak;İŞLETMEDE (FAALİYETTE);(258) 262-0230;info@cardakosb.org.tr;www.cardakosb.org.tr;Çardak OSB Mahallesi, 1. Cadde, No:29 Çardak - Denizli;
131;Denizli;Denizli Deri İhtisas ve Karma;İŞLETMEDE (FAALİYETTE);(258) 263-4058;denizlideriosb@gmail.com;www.denizlideriosb.org.tr;Kaklık Mah. Ahi Evran Cad. No:1 Honaz - Denizli;
132;Denizli;Denizli Makine İhtisas;ALTYAPI HAZIRLANIYOR;(258) 242-1004;info@demiosb.org.tr;www.demiosb.org.tr;Saraylar Mahallesi, Gazi Mustafa Kemal Bulvarı No:76-2-3 Merkezefendi - Denizli;
133;Denizli;Denizli-Sarayköy TDİ  (Jeotermal);İŞLETMEDE (FAALİYETTE);(258) 241-5002;organizesera@hotmail.com;;Sarayköy Tdi (Sera) Osb, Denizli Valiliği, 15 Mayıs Mah. Gazi Blv. No:83-B Kat:2 No:42 Pamukkale - Denizli;
134;Diyarbakır;Diyarbakır;İŞLETMEDE (FAALİYETTE);(412) 345-0021;info@diyarbakirosb.org.tr;www.diyarbakirosb.org.tr;Diyarbakır-Ergani Karayolu 22.Km. Yaytaş Mah.Osb 1.Cad.No:1 Yenişehir - Diyarbakır;
135;Diyarbakır;Diyarbakır Karacadağ;İŞLETMEDE (FAALİYETTE);8502592221;info@karacadagosb.org;www.karacadagosb.org;Fırat Mah. Urfa Bulvarı No:142 Karacadağ Kalkınma Ajansı Hizmet Binası Kat:2 Kayapınar-DİYARBAKIR;
136;Diyarbakır;Diyarbakır TDİ (Besi-Süt);İŞLETMEDE (FAALİYETTE);4122550922;tdi_osb@hotmail.com;www.diyarbakirbesiosb.org.tr;Diyarbakır TDİOSB, Şanlıurfa yolu üzeri, 25. km. Övündüler Köyü Mevkii Bağlar - Diyarbakır;
137;Diyarbakır;Diyarbakır Tekstil İhtisas ve Karma;İŞLETMEDE (FAALİYETTE);4122383038;info@dtiosb.org;www.dtiosb.org;Dökmetaş mah. Textil İhtisas OSB 1. cad. No:7/3-G Yenişehir - Diyarbakır;
138;Diyarbakır;Silvan Gıda ve Tarımsal Sanayi İhtisas;KAMULAŞTIRMA YAPILIYOR;(444) 610-0;stmdiyarbakiril@sanayi.gov.tr;;Diyarbakır Sanayi İl Müdürlüğü, Urfa Yolu Üzeri 1.km Eski Mitsubishi Plaza Üstü Bağlar-Diyarbakır;
139;Düzce;Akçakoca Demir Çelik İhtisas;ALTYAPI HAZIRLANIYOR;(380) 618-9000;info@akcakocaosb.org.tr;www.akcakocaosb.org.tr;Akçakoca OSB, Güven Keskin Cad.,MZM Onur Boru Fabrikası Yanı, Döngelli Köyü Akçakoca - Düzce;
140;Düzce;Çilimli;ALTYAPI HAZIRLANIYOR;(380) 681-7474;info@cilimliosb.org.tr;www.cilimliosb.org.tr;Çilimli Osb, Söğütlü Köyü 804.Sokak No:9 Çilimli - Düzce;
141;Düzce;Düzce;İŞLETMEDE (FAALİYETTE);(380) 523-9682;info@duzceosb.org.tr;www.duzceosb.org.tr;Düzce OSB, İstiklal OSB 1 Mah. 8.Cadde, No:9, Merkez - Düzce;
142;Düzce;Düzce Gümüşova;İŞLETMEDE (FAALİYETTE);(380) 523-6464;info@dgosb.org.tr;www.dgosb.org.tr;Düzce Gümüşova OSB. , Elmacık yolu üzeri, 1.cadde - Gümüşova - DÜZCE;
143;Düzce;Düzce II.;İŞLETMEDE (FAALİYETTE);(380) 552-6000;info@duzce2osb.org.tr;www.duzce2osb.org.tr;Cumhuriyet Mahallesi 1. Cadde No:2 Beyköy - Düzce;
144;Edirne;Edirne;İŞLETMEDE (FAALİYETTE);(284) 213-6559;info@edirneosb.org.tr;www.edirneosb.org.tr;Edirne Osb, 1. Cad. No 5 Domurcalı Köyü, Süloğlu - Edirne;
145;Edirne;İpsala;ALTYAPI HAZIRLANIYOR;02845023422;info@ipsalaosb.org.tr;www.ipsalaosb.org.tr;Saraç İlyas Mah. Pazar Meydanı Sok. No:12/P İpsala - Edirne;
146;Edirne;Keşan;ALTYAPI HAZIRLANIYOR;2847141137;kesantso@tobb.org.tr;www.kesanosb.org.tr;Keşan TSO, Yukari Zaferiye Mahallesi Pasayigit Caddesi No : 58 22900 Keşan - Edirne;
147;Edirne;Uzunköprü;KAMULAŞTIRMA YAPILIYOR;(284) 513-1064;uzunkoprutso@tobb.org.tr;www.uzunkopruosb.org;Uzunköprü Tso - Cumhuriyet Meydanı No:17 Uzunköprü - Edirne;
148;Edirne;Uzunköprü Atatürk;PLANLAMA AŞAMASINDA;(284) 513-1064;uzunkoprutso@tobb.org.tr;www.uzataosb.org.tr;Rızaefendi Mah. Cumhuriyet Meydanı No:17 Uzunköprü-Edirne;
149;Elâzığ;Elazığ;İŞLETMEDE (FAALİYETTE);(424) 255-5022;info@elazigosb.org.tr;www.elazigosb.org.tr;Elazığ Osb Müdürlüğü - Sosyal Tesisler İdare Binası 23180 Yazıkonak - Elazığ;
150;Elâzığ;Elazığ Hayvan Ürünleri;İŞLETMEDE (FAALİYETTE);(424) 248-4701;elazigorganize@hotmail.com;www.elazightdiosb.com;Yenimahalle, Kalkan Sokak No:5 Daire 13 Merkez - Elazığ;
151;Elâzığ;Elazığ TDİ (Besi);ALTYAPI HAZIRLANIYOR;(424) 218-3500;elazigtdibesiosb@gmail.com;www.elazigbesiosb.org.tr;Elazığ Besi OSB, Cumhuriyet Mah.Korgeneral Hulusi Sayın Cad.No 117 Merkez-Elazığ;
152;Elâzığ;Elazığ Teknova;İŞLETMEDE (FAALİYETTE);(424) 247-5327;elazig2osb@gmail.com;www.elazigteknovaosb.org.tr;Elazığ Ticaret Odası, Cumhuriyet Mah. Korgeneral Hulusi Sayın Cad. No:117, Elazığ;
153;Elâzığ;Kovancılar;KAMULAŞTIRMA YAPILIYOR;04242475327;;;İl Özel İdaresi, Kovancılar OSB, Çaydaçıra Mah. Emsal Sokak No:9 Merkez - Elazığ;
154;Erzincan;Erzincan;İŞLETMEDE (FAALİYETTE);(446) 251-1001;info@erzincanosb.com;www.erzincanosb.com;Organize Sanayi Bölgesi 14. Cad. No:16 - Erzincan;
155;Erzincan;Erzincan TDİ (Besi);ALTYAPI HAZIRLANIYOR;(446) 251-1001;info@erzincanosb.com;;Organize Sanayi Bölgesi 14. Cad. No:16 - Erzincan;
156;Erzurum;Erzurum Merkez I.;İŞLETMEDE (FAALİYETTE);444-6721;info@erzurumosb.org;www.erzurumosb.org;Organize Sanayi Yolu, 25700 Gez Köyü Osb - Aziziye - Erzurum;
157;Erzurum;Erzurum Merkez II;İŞLETMEDE (FAALİYETTE);(530) 933-8525;erzurumosb2@gmail.com;www.erzurum2osb.org.tr;Erzurum Merkez 2. osb, .Ilıca Mahallesi 1. Sanayi Cad. No:23 Aziziye - Erzurum;
158;Erzurum;Oltu;İŞLETMEDE (FAALİYETTE);(442) 816-3990;oltutso@tobb.org.tr;;Oltu Osb, Osman Ayyıldız Caddesi No:9-1 Oltu - Erzurum;
159;Eskişehir;Eskişehir;İŞLETMEDE (FAALİYETTE);(222) 236-1080;info@eosb.org.tr;www.eosb.org.tr;İsmail Kanatlı Bulvarı (2. Cadde) No:15 26250 Oduzpazarı - Eskişehir;
160;Eskişehir;Eskişehir-Beylikova Besi;İŞLETMEDE (FAALİYETTE);(222) 531-3030;bbesiosb@bbesiosb.org.tr;www.bbesiosb.org.tr;Beylikoba Tdiosb, 1.Cad No:12, Beylikova - Eskişehir;
161;Eskişehir;Sivrihisar;ALTYAPI HAZIRLANIYOR;(222) 711-3820;info@sivrihisarosb.org.tr;;SİVRİHİSAR OSB, Yeniköy Mevki Eskişehir Yolu 7. Km Sivrihisar - Eskişehir;
162;Gaziantep;Gaziantep;İŞLETMEDE (FAALİYETTE);(342) 337-1101;gaosb@gaosb.org;www.gaosb.org;Gaziantep 1.Osb Bölge Müdürlüğü 83120 Nolu Cad. No:7 Başpınar Şehitkamil - Gaziantep;YAPILDI
163;Gaziantep;Gaziantep Ayakkabı Terlik ve Yan Sanayi İhtisas;ALTYAPI HAZIRLANIYOR;3422210900/133;bilgi@ayakkabiosb.org;;Değirmiçem Mahallesi İstasyon Caddesi No:43 Şehitkamil - Gaziantep;
164;Gaziantep;Gaziantep Besi;İŞLETMEDE (FAALİYETTE);(342) 443-0001;gbosb27@gmail.com;www.gbosb.org.tr;Gaziantep Besi Tdiosb, Çayırbaşı Mevkii, Oğuzeli - Gaziantep;
165;Gaziantep;Gaziantep Oğuzeli;İŞLETMEDE (FAALİYETTE);(342) 477-1757;info@oguzeliosb.org.tr;www.oguzeliosb.org.tr;Gaziantep Oğuzeli Osb, Körkün Mah, Ebulfeyz Elçibey Blv. No:2 Oğuzeli - Gaziantep;
166;Gaziantep;İslahiye;İŞLETMEDE (FAALİYETTE);(530) 643-2547;islahiyeosb@outlook.com.tr;www.islahiyeosb.org;Islahiye OSB, Güllühüyük Mahallesi OSB 2 Nolu Cad. OSB Bölge Müdürlüğü - islahiye - Gaziantep;
167;Gaziantep;Nizip;İŞLETMEDE (FAALİYETTE);(342) 554-2021;niziposb@hotmail.com;www.niziposb.org;Nizip Osb, Karkamış Yolu Üzeri 5.Km 27700 Nizip - Gaziantep;
168;Gaziantep;Nizip 2.;KAMULAŞTIRMA YAPILIYOR;5055399727;iletisim@nizip2osb.org;www.nizip2osb.org;Nizip 2.OSB, İstasyon Mahallesi, İstasyon Cad.No: 2 Nizip - Gaziantep;
169;Gaziantep;Nurdağı;PLANLAMA AŞAMASINDA;(342) 671-3973;nurdagi@icisleri.gov.tr;www.nurdagiosb.org.tr;Tayyip Erdoğan Bulvarı Hükümet Konağı No:44 Kat:3 27840 Nurdağı - Gaziantep;
170;Giresun;Giresun;İŞLETMEDE (FAALİYETTE);(454) 216-4645;giresunosb@ttmail.com;www.giresunosb.com;Kayadibi Mahallesi, Organize Sanayi Bölgesi, Esma Serhat Hanım Cad. No:4 Merkez - Giresun;
171;Giresun;Giresun 2.;İŞLETMEDE (FAALİYETTE);(454) 316-2828;grs2osb@gmail.com;www.g2osb.org.tr;Giresun 2 Osb. İhsaniye Mah. Fatih Cad. No:83-2 Bulancak - Giresun;
172;Giresun;Giresun 3.;KAMULAŞTIRMA YAPILIYOR;04546116400;test@test.org.tr;www.giresun3osb.org.tr;Giresun 3.OSB, Merkez Mah. Kemal Şahan Cad. No:2/16 Espiye - Giresun;
173;Giresun;Giresun 4.;KAMULAŞTIRMA YAPILIYOR;4545136720;serdarodemis1981@gmail.com;;Görele Belediyesi İmar Birimi, Kumyalı Mahallesi, Cumhuriyet Meydanı, No:2 Görele - Giresun;
174;Giresun;Giresun Şebinkarahisar Karma OSB;KAMULAŞTIRMA YAPILIYOR;(454) 711-4005;sebinkarahisarkarmaosb@gmail.com;www.sebinkarahisarosb.org.tr;Bülbül Mah. Halil Rıfat Paşa Cad. No:47 Şebinkarahisar - Giresun;
175;Gümüşhane;Gümüşhane;İŞLETMEDE (FAALİYETTE);(456) 213-5492;info@gumushaneosb.org.tr;www.gumushaneosb.org.tr;Yoncalı Osb Harmancık Mevkii 1. Sokak No: 2 - Gümüşhane;
176;Gümüşhane;Kelkit;KAMULAŞTIRMA YAPILIYOR;(456) 317-1003;cetinkaya291@hotmail.com;www.kelkitosb.org.tr;Hükümet Konağı Kat:1 No:18 Kelkit - Gümüşhane;
177;Hakkâri;Hakkari Yüksekova;ALTYAPI HAZIRLANIYOR;(438) 211-6227;stmhakkariil@sanayi.gov.tr;www.hakkariyuksekovaosb.org.tr;Sanayi İl Müdürlüğü, Bulak Mah.İstiklal Cad.Hükümet Konağı No:17 Kat:2 - Merkez - Hakkari;
178;Hatay;Antakya;İŞLETMEDE (FAALİYETTE);(326) 451-2444;bilgi@antakyaosb.org.tr;www.antakyaosb.org.tr;Antakya OSB, Çakallı Mah. Antakya OSB 10. Cad. No:1 Belen - HATAY;
179;Hatay;Hatay Altınözü Enek;PLANLAMA AŞAMASINDA;(326) 214-0330;test@test.org.tr;;Kışlasaray Mah. Fevzi Çakmak Cad. (Hatay YİKOB) Binası) No:17 Antakya/Hatay;
180;Hatay;Hatay Altınözü Enek (Süt) TDİ;PLANLAMA AŞAMASINDA;(326) 214-0330;ekremozer72@gmail.com;;T.C. Hatay Valiliği - Kışlasaray Mah. Vilayet Cad. Hükümet Konağı 31100 Antakya - Hatay;
181;Hatay;Hatay Erzin;İŞLETMEDE (FAALİYETTE);(326) 214-0330;meryem_guc@hotmail.com;www.erzinosb.org;T.C. Hatay Valiliği - Kışlasaray Mah. Vilayet Cad. Hükümet Konağı 31100 Antakya - Hatay;
182;Hatay;Hatay Hassa;PLANLAMA AŞAMASINDA;(326) 214-0330;ekremozer72@gmail.com;;T.C. Hatay Valiliği - Kışlasaray Mah. Vilayet Cad. Hükümet Konağı 31100 Antakya - Hatay;
183;Hatay;Hatay İskenderun II.;İŞLETMEDE (FAALİYETTE);(326) 214-0330;ekremozer72@gmail.com;;T.C. Hatay Valiliği - Kışlasaray Mah. Vilayet Cad. Hükümet Konağı 31100 Antakya - Hatay;
184;Hatay;Hatay Kırıkhan;ALTYAPI HAZIRLANIYOR;(326) 214-0330;ekremozer72@gmail.com;;T.C. Hatay Valiliği - Kışlasaray Mah. Vilayet Cad. Hükümet Konağı 31100 Antakya - Hatay;
185;Hatay;Hatay Payas;İŞLETMEDE (FAALİYETTE);(326) 755-8058;hataypayasosb@gmail.com;www.payasosb.org.tr;Payas Organize Sanayi Bölgesi, Sanayi Cad. No:17 Payas - Hatay;
186;Hatay;İskenderun;İŞLETMEDE (FAALİYETTE);(326) 656-2121;bilgi@iskenderunosb.org.tr;www.iskenderunosb.org.tr;İskenderun OSB, Sarıseki Mah. Vali Utku Acun Mah. No:1/1 - İskenderun - Hatay;
187;Iğdır;Iğdır;İŞLETMEDE (FAALİYETTE);(476) 227-8308;igdirosb@gmail.com;www.igdirosb.org.tr;Iğdır Organize Sanayi Bölgesi 2. Cadde No:2 Çalpala Köyü/ IĞDIR;
188;Isparta;Isparta Deri İhtisas ve Karma;İŞLETMEDE (FAALİYETTE);(246) 242-3020;ispartaderiosb@hotmail.com;www.ispartaderikarmaosb.com.tr;Vatan osb Mahallesi 301 Cad. No:1-1 Pk:23 Merkez - Isparta;
189;Isparta;Isparta Süleyman Demirel;İŞLETMEDE (FAALİYETTE);(246) 556-5345;organizesanayi@hotmail.com;www.isdosb.com.tr;Güneykent Beldesi, Baladız Mahallesi Mevkii, 102 Cd No 4 Gönen - Isparta;
190;Isparta;Isparta-Yalvaç;PLANLAMA AŞAMASINDA;(246) 441-5035;info@yalvacosb.org.tr;www.yalvacosb.org.tr;Pazaryukarı Mah. Yeşil Çınar Blv. No:19 Belediye Sarayı Kat 2 Yalvaç - Isparta;
191;İstanbul;Beylikdüzü;İŞLETMEDE (FAALİYETTE);(212) 876-3170;yonetim@ibosb.com;www.ibosb.com;İstanbul Beylikdüzü Osb Mah. Hürriyet Bulvarı 34520 No:2-A Beylikdüzü - İstanbul;
192;İstanbul;Birlik;İŞLETMEDE (FAALİYETTE);(216) 593-0820;info@birlikosb.org.tr;www.birlikosb.org.tr;Aydınlı - Birlik Osb Mah. 1 Nolu Cadde No: 26 34953 Tuzla - İstanbul;
193;İstanbul;Biyoteknoloji İhtisas;ALTYAPI HAZIRLANIYOR;2166293035;info@biyosad.org.tr;www.biosb.org.tr;Biyoteknoloji İhtisas OSB, Aydınlı-Birlik OSB Mah. 1 No’lu Cadde No:1/7 Tuzla - İstanbul;
194;İstanbul;İstanbul Anadolu Yakası;İŞLETMEDE (FAALİYETTE);(216) 593-0000;info@iayosb.com;www.iayosb.com;Aydınlı İstanbul Ay Osb Mahallesi, 5. Sok. No : 2 Tuzla - İstanbul;
195;İstanbul;İstanbul Deri;İŞLETMEDE (FAALİYETTE);(216) 394-1480;info@ideriosb.org.tr;www.ideriosb.org.tr;Kumpas Cad. No : 19 Aydınlı - Orhanlı Mevkii 34957 Tuzla - İstanbul;
196;İstanbul;İstanbul Dudullu;İŞLETMEDE (FAALİYETTE);(216) 365-7403;info@dudulluosb.org.tr;www.dudulluosb.org.tr;Dudullu Organize Sanayi Bölgesi, 3.Cadde No:18-2 34776 Ümraniye - İstanbul;
197;İstanbul;İstanbul İkitelli;İŞLETMEDE (FAALİYETTE);444-3672;bolgemudurlugu@iosb.org.tr;www.iosb.org.tr;İstanbul İkitelli Osb Mh. Süleyman Demirel Bulvarı No:16 Başakşehir - İstanbul;
198;İstanbul;İstanbul Tuzla;İŞLETMEDE (FAALİYETTE);(216) 593-1641;itosb@itosb.org.tr;www.itosb.org.tr;Recep Bilal Hancı Caddesi No:2 Tuzla - İstanbul;YAPILDI
199;İstanbul;İstanbul Tuzla Kimya Sanayicileri;İŞLETMEDE (FAALİYETTE);(216) 593-0300;info@kosb.com.tr;www.kosb.com.tr;Aydınlı-Kosb Mah. Tuzla Kimya Sanayicileri Osb, Atom Cad. No:2 Tuzla - İstanbul;
200;İzmir;Aliağa Kimya İhtisas ve Karma;İŞLETMEDE (FAALİYETTE);(232) 621-5050;info@alosbi.org.tr;www.alosbi.org.tr;ALİAĞA OSB - ÇORAKLAR MAH. 5028 SOK. NO:6 ALOSBİ ALİAĞA - İZMİR;
201;İzmir;Bağyurdu (BAYOSB);İŞLETMEDE (FAALİYETTE);(232) 880-7032;info@bayosb.org;www.bayosb.org;Halilbeyli Osb Mahallesi, İzmir-Ankara Caddesi No:5, Kemalpaşa - İzmir;
202;İzmir;Bergama;İŞLETMEDE (FAALİYETTE);(232) 631-5005;bosbi@bosbi.org.tr;www.bosbi.org.tr;Bergama OSB Mahallesi, Atatürk Cad. No:2 Bergama - İzmir;
203;İzmir;Buca Ege;İŞLETMEDE (FAALİYETTE);(232) 440-5727;info@begos.org.tr;www.begos.org.tr;Buca Ege Osb, Adatepe Mah. 2-20 Sk., No:22 Buca - İzmir;
204;İzmir;Dikili TDİ (Jeo.Kayn.Sera);ALTYAPI HAZIRLANIYOR;(232) 402-7070;info@dikilitdiosb.org.tr;www.dikilitdiosb.org.tr;İzmir Ticaret Odası, Atatürk Caddesi No: 190 K:5 Alsancak - İZMİR;
205;İzmir;İTOB;İŞLETMEDE (FAALİYETTE);(232) 799-0019;info@itob.org.tr;www.itob.org.tr;İtob Osb Müdürlüğü, 10030 Sokak. No:5 Tekeli Menderes - İzmir;
206;İzmir;İzmir Aliağa Bağyurdu ( ÖZEL );PLANLAMA AŞAMASINDA;(224) 999-1200;matli@matli.com.tr;www.aliagabagyurduosb.org.tr;MATLI A.Ş. Panayır Mah. 602.sok No:14 Matlı Plaza Osmangazi - Bursa;
207;İzmir;İzmir Atatürk;İŞLETMEDE (FAALİYETTE);(232) 376-7176;iaosb@iaosb.org.tr;www.iaosb.org.tr;M. Kemal Atatürk Bulvarı No : 42 35620 Çiğli - İzmir;YAPILDI
208;İzmir;İzmir Bayındır TDİ(Sera);ALTYAPI HAZIRLANIYOR;02325817077;info@bayindirtdiosb.org.tr;www.bayindirtdiosb.org.tr;Bayındır TDİOSB, Mithatpaşa Mah. Hükümet önü caddesi. No:7/8 Bayındır - İZMİR;
209;İzmir;İzmir Kemalpaşa;İŞLETMEDE (FAALİYETTE);(232) 877-2236;info@kosbi.org.tr;www.kosbi.org.tr;Kemalpaşa OSB Mah. Gazi Bulvarı No:189 Pk:35730 Kemalpaşa - İzmir;
210;İzmir;İzmir Kınık Bitkisel Üretim (Tohum,Fide,Tıbbi ve Aromatik Bitkiler vb.) TDİ;PLANLAMA AŞAMASINDA;02326873449;izmirtdiosb@gmail.com;kiniktdiosb.org.tr/;Kınık OSB Mah. Adnan Ebiz Sok. No:2/1 35990 Kınık - İzmir;
211;İzmir;İzmir Pancar;İŞLETMEDE (FAALİYETTE);(232) 864-2280;iposb@iposb.com.tr;www.iposb.com.tr;Fevzi Çakmak Mah. Bekir Saydam Cad. No:65 Pancar – Torbalı - İzmir;
212;İzmir;Kınık;İŞLETMEDE (FAALİYETTE);(232) 687-3330;info@kinikosb.org.tr;www.kinikosb.org.tr;Kınık Osb Müdürlüğü, Fatih Mah. Atatürk Cad. No:89 Kat:4-12 Kınık - İzmir;
213;İzmir;Menemen Plastik İhtisas;İŞLETMEDE (FAALİYETTE);(232) 832-3091;impiosb@impiosb.org.tr;www.impiosb.org.tr;Atatürk Plastik Osb Mah. Atatürk Blv. No:1 (35660) Menemen - İzmir;
214;İzmir;Ödemiş;İŞLETMEDE (FAALİYETTE);(232) 544-8080;bilgi@odemisosb.org.tr;www.odemisosb.org.tr;"ÖDEMİŞ OSB ; Kaymakçı Mh.,Ödemiş Osb caddesi No:6 Ödemiş - İZMİR";
215;İzmir;Tire;İŞLETMEDE (FAALİYETTE);(232) 513-5010;info@tosbi.org.tr;www.tosbi.org.tr;İbni Melek Osb Mh. - Tosbi Yol 1. Sok No: 17 35900 Tire - İzmir;
216;İzmir;Torbalı Karma ve Mobilya;İŞLETMEDE (FAALİYETTE);(232) 446-5608;info@torbaliosb.org.tr;www.torbaliosb.org.tr;Torbalı Organize Sanayi Bölgesi, Yeniköy Osb Mah, 501 Sokak No:4 (Yeniköy Ahmetli Yolu) Torbalı - İzmir;
217;Kahramanmaraş;Afşin;PLANLAMA AŞAMASINDA;(344) 511-4660;afsinosb@afsin.bel.tr;;Efsus Tutan Mah. A. Nazım Kaynak 4. sokak. No:5 Afşin - Kahramanmaraş;
218;Kahramanmaraş;Elbistan;İŞLETMEDE (FAALİYETTE);(344) 413-1331;muhasebe.yunus@gmail.com;www.elbistanosb.org.tr;Çiçek OSB Mh. 5.cd No:3, (Elbistan İlçe Merkezine yaklaşık 5 km uzaklıktadır. Elbistan –Nurhak karayoluna cephelidir. );
219;Kahramanmaraş;Erkenez;İŞLETMEDE (FAALİYETTE);03442344546;finans@erkenezosb.org;www.erkenezosb.org;Erkenez OSB, Vadi Mah. Batı Çevre Yolu Bulvarı No:130/1A Onikişubat - Kahramanmaraş;
220;Kahramanmaraş;Kahramanmaraş;İŞLETMEDE (FAALİYETTE);(344) 257-9482;info@kmosb.org;www.kmosb.org;Organize Sanayi Bölgesi 5. Cadde No:9 46050 Onikişubat - Kahramanmaraş;
221;Kahramanmaraş;Kahramanmaraş Elbistan TDİ (Besi);PLANLAMA AŞAMASINDA;3444151000;info@elbistantdibosb.com;;"Elbistan TSO; Güneşli Mah. Karabağ Cad. No:12 46300 Elbistan - Kahramanmaraş";
222;Kahramanmaraş;Kahramanmaraş Gıda İhtisas;PLANLAMA AŞAMASINDA;(344) 228-4600;orer@msn.com;www.kagiosb.org.tr;İsmetpaşa Mah. Azerbaycan Bulv. No: 25 Dulkadiroğlu - Kahramanmaraş;
223;Kahramanmaraş;Kahramanmaraş Tomsuklu;ALTYAPI HAZIRLANIYOR;(344) 221-6464;info@ktiosb.org;www.tomsukluosb.org;Ticaret Borsası Binası, Barbaros Mah., Batı Çevre Yolu 2.km No:80 Onikişubat - Kahramanmaraş;
224;Kahramanmaraş;Türkoğlu;İŞLETMEDE (FAALİYETTE);(344) 618-1785;info@turkogluosb.org;www.turkogluosb.org;Adana Yolu 26 km. Osb Mah. 1.Cadde No:2 Türkoğlu - Kahramanmaraş;
