Firma Adı;Parsel Durumu;Ada/Bölge;Sektör;Telefon;E-Posta;Web Sitesi;Domain;Adres
Atara Makine Otom.san. Ve Tic.ltd.şti.;Tahsisli;5;Değirmen Makinaları;3323450206;muhasebe@atara.com.tr;https://atara.com.tr/tr;atara.com.tr;Büyükkayacık Osb Mah, 513 Nolu Sokak, No: 9
Atarlar Tarım Ürünleri Lisanslı Depoculuk A.ş.;Tahsisli;4;Diğer;;;;;Büyükkayacık Osb Mah, 418 Nolu Sokak, No: 3
Atasoy Otom.Madeni Eşya Ve Mobilya San.Tic.Ltd.Şti.;Tahsisli;3;Otomotiv Yedek Parça;3322391270;mkamilatasoy@atasoyotomotiv.com.tr;www.atasoyotomotiv.com;atasoyotomotiv.com;Büyükkayacık Osb Mah, 13 Nolu Sokak, No: 27
Atç Tuz Tarım İnş. Hayv. Nakl. San. Ve Tic. Ltd. Şti.;Kiracı;2;Temizlik Ürünleri;5558089744;info@atckimya.com;www.atckimya.com;atckimya.com;Büyükkayacık Osb Mah, İkipınar Sokak, No: 11
Ateşpar Motorlu Araçlar San.Dış Tic.Ltd Şti.;Tahsisli;2;Tarım Makinaları;3322356423;muhasebe@atespar.com.tr;;;Büyükkayacık Osb Mah, Evrenköy Caddesi, No: 32
Atila İskender;Tahsisli;2;Diğer;;;;;Büyükkayacık Osb Mah, Lalehan Caddesi, No: 43
Atlas Yem Makinaları San. Ve Tic.ltd.şti.;Ön Tahsisli;6;Makina;;1muhasebe@atlasdegirmen.com;;;
Ats Motor Parçaları San. Ve Tic.a.ş.;Ön Tahsisli;6;Otomotiv Yedek Parça;5424865241;1ayhan.sarimese@atsmotor.com;;;
Ava Metalürji San.tic.ltd.şti.;Kiracı;2;Döküm;3325017474;bilgi@avametalurji.com.tr;www.avametalurji.com;avametalurji.com;Büyükkayacık Osb Mah, Reisköy Caddesi, No: 1
Axano Tarım Makinaları San. Ve Tic.Ltd.Şti.;Kiracı;2;Tarım Makinaları;3323454088;muhasebe.axano@gmail.com;www.axano.com.tr;axano.com.tr;Büyükkayacık Osb Mah, Güneştepe Sokak, No: 9
Ayan Tohumculuk Tarım Ürünleri San. Ve Tic.ltd.şti.;Tahsisli;5;Yem ve Tohumculuk;332 342 15 94;ayantohumculuk@hotmail.com;;;Ortakonak Osb Mah, 501 Nolu Sokak, No: 6
Ayd Nex Fren Teknolojileri San. Ve Tic.a.ş.;Tahsisli;5;Otomotiv Yedek Parça;;;;;Büyükkayacık Osb Mah, 517 Nolu Sokak, No: 3
Ayd Otomotiv Endüstri San. Ve Tic.a.ş.;Tahsisli;3;Otomotiv Yedek Parça;4444293;info@aydtr.com;www.aydtr.com;aydtr.com;Büyükkayacık Osb Mah, Vali İhsan Dede Caddesi, No: 7
Ayd Otomotiv Endüstri San. Ve Tic.a.ş.;Tahsisli;6;Otomotiv Yedek Parça;4444293;info@aydtr.com;www.aydtr.com;aydtr.com;
Aydeniz Dorse Karasör Otomotiv Nakliye San. Ve Tic.ltd.şti.;Tahsisli;3;Dorse - Damper - Treyler;5324263940;1aydenizdorse@hotmail.com;;;Büyükkayacık Osb Mah, 7 Nolu Sokak, No: 23
Aydeniz Dorse Karasör Otomotiv Nakliye San. Ve Tic.ltd.şti.;Ön Tahsisli;6;Dorse - Damper - Treyler;5324263940;1aydenizdorse@hotmail.com;;;
Aydın İlave Dingil Attariye Otom.San.Tic.Ltd.Şti.;Tahsisli;3;Otomotiv Yedek Parça;3322391061;aydin@aydinaxle.com;www.aydinaxle.com;aydinaxle.com;Büyükkayacık Osb Mah, T.Ziyaeddin Akbulut Caddesi, No: 32
Aydınalp Un Sanayi Tic.ltd.şti.;Ön Tahsisli;6;Gıda;;;;;
Aydınsan Firen Cırcırları Ve Otomotiv Yedek Parçaları İmalatı Paz. Ve Satışı San. Ve Tic. Ltd. Şti.;Tahsisli;3;Otomotiv Yedek Parça;3322390915;muhasebe@aydinsan.com;www.aydinsan.com;aydinsan.com;Büyükkayacık Osb Mah, 8 Nolu Sokak, No: 26
Ayhanusta Otom.san.ve Tic.a.ş.;Kiracı;3;Otomotiv Yedek Parça;3322484822;muhasebe@grasspart.com;www.ayhanustaotomotiv.com;ayhanustaotomotiv.com;Büyükkayacık Osb Mah, T.Ziyaeddin Akbulut Caddesi, No: 23
Ayku İdeal Kalite Otom.San.Ve Tic.Ltd.Şti.;Tahsisli;2;Otomotiv Yedek Parça;3322392012;finans@idealquality.com;www.idealquality.com;idealquality.com;Büyükkayacık Osb Mah, Işıktepe Sokak, No: 18
Aykut Amb.San.Ve Tic.A.Ş.;Tahsisli;3;Ambalaj ve Paketleme;3322392215;muhasebe@aykutambalaj.com.tr;;;Büyükkayacık Osb Mah, 9 Nolu Sokak, No: 21
Aytok Makina İnşaat Plastik Gıda Maddeleri Sanayi Ve Ticaret Limited Şirketi;Kiracı;4;Diğer;;;;;Büyükkayacık Osb Mah, 408 Nolu Sokak, No: 4
Az Gayrimenkul İnşaat İmalat San. Ve Tic.ltd.şti.;Tahsisli;6;Asansör ve Ekipmanları;5077182381;1muhasebe@hidoks.com.tr;;;
Azak Isı Değiştiricileri San.tic.ltd.şti.;Tahsisli;3;Isıtma ve Soğutma Sistemleri;3322481470;info@azak.com.tr;www.azak.com.tr;azak.com.tr;Büyükkayacık Osb Mah, 13 Nolu Sokak, No: 25
Azdöksan Döküm Makina Otom San. Ve Tic.ltd.şti.;Tahsisli;6;Döküm;3322491803;azdoksan@hotmail.com;www.azdoksan.com.tr;azdoksan.com.tr;Büyükkayacık Osb Mah, 628 Nolu Sokak, No: 3
Azim Gödeneli Döküm San.Ve Tic.A.Ş.;Tahsisli;2;Döküm;3322390843;info@azimgodeneli.com.tr;www.azimgodeneli.com.tr;azimgodeneli.com.tr;Büyükkayacık Osb Mah, Yaylacık Caddesi, No: 27
Babaoğlu Prefabrik İnşaat San. Ve Tic.Ltd.Şti.;Tahsisli;6;Yapı - İnşaat Malzemeleri;3322486262;info@babaogluprefabrik.com;https://babaogluprefabrik.com;babaogluprefabrik.com;Büyükkayacık Osb Mah, 618 Nolu Sokak, No: 7
Babaoğlu Prefabrik İnşaat San. Ve Tic.Ltd.Şti.;Tahsisli;3;Yapı - İnşaat Malzemeleri;3322486262;info@babaogluprefabrik.com;https://babaogluprefabrik.com;babaogluprefabrik.com;Büyükkayacık Osb Mah, 3 Nolu Sokak, No: 18
Bagen Yedek Parça Otom. Mak.san. Ve Tic.a.ş.;Tahsisli;3;Otomotiv Yedek Parça;;;;;Büyükkayacık Osb Mah, 8 Nolu Sokak, No: 3
Bagen Yedek Parça Otom. Mak.san. Ve Tic.a.ş.;Tahsisli;3;Otomotiv Yedek Parça;;;;;Büyükkayacık Osb Mah, Evrenköy Caddesi, No: 11
Bardakçılar Gıda Mad.san.tic.a.ş.;Tahsisli;3;Plastik;;bardakci59@gmail.com;;;Büyükkayacık Osb Mah, 20 Nolu Sokak, No: 17
Barutcular Kauçuk Ve Lastik Mam. Geri Dönüşüm San. Tic. Ltd. Şti.;Tahsisli;5;Kauçuk ve Lastik;3322492204;ali@barutcular.com.tr;www.barutcular.com.tr;barutcular.com.tr;Büyükkayacık Osb Mah, 517 Nolu Sokak, No: 1
Başak Ten.kutu Met.of.amb.gıda San.tic.a.ş.;Tahsisli;3;İmalat;3322391182;fatih@basakambalaj.com;www.basakambalaj.com;basakambalaj.com;Büyükkayacık Osb Mah, 2 Nolu Sokak, No: 3
Başaran Gödeneli Metalurji Otomasyon Zirai Aletler Otomotiv Sanayi Ve Ticaret Limited Şirketi;Tahsisli;3;Döküm;3323421046;bilgi@basarangodeneli.com;www.basarangodeneli.com;basarangodeneli.com;Büyükkayacık Osb Mah, T.Ziyaeddin Akbulut Caddesi, No: 34
Başaran Hidrolik Hır.Otom.İth.İhr.San.Tic.Ltd.Şti.;Tahsisli;3;Hidrolik;3322481564;info@basaranhidrolik.com;https://basaranhidrolik.com;basaranhidrolik.com;Büyükkayacık Osb Mah, Kuddusi Caddesi, No: 12
Başaran Motor Rektefiye San. Ve Tic.ltd.şti.;Tahsisli;6;Otomotiv Yedek Parça;3322515565;bmy@bmy.com.tr;www.bmy.com.tr;bmy.com.tr;Büyükkayacık Osb Mah, 600 Nolu Cadde, No: 7
Başaran Motor Rektefiye San. Ve Tic.ltd.şti.;Kiracı;3;Otomotiv Yedek Parça;3322515565;bmy@bmy.com.tr;www.bmy.com.tr;bmy.com.tr;Büyükkayacık Osb Mah, 15 Nolu Sokak, No: 3
Başpınar Kalıp Plastik Endüstriyel Otomotiv Hayvancılık San. Ve Tic.Ltd.Şti.;Tahsisli;5;Plastik;3323423075;info@baspinar.com.tr;https://baspinar.com.tr;baspinar.com.tr;Aşağıpınarbaşı Osb Mah, 524 Nolu Sokak, No: 6
Bautech Plastik Otom.inş.san. Ve Tic.ltd.şti.;Tahsisli;5;Plastik;;;;;Büyükkayacık Osb Mah, 513 Nolu Sokak, No: 8
Bayal Nakliyat Plas.otom.inş.ve Dış Tic.a.ş.;Tahsisli;4;Diğer;4444279;mahsum@medilaundry.com;;;Büyükkayacık Osb Mah, 408 Nolu Sokak, No: 3
Bayrakçıoğlu Metal-ismail Bayrakçı;Tahsisli;4;Metal;;;;;Büyükkayacık Osb Mah, 422 Nolu Sokak, No: 13
Befa Boya Kimya İnşaat San. Ve Tic.ltd.şti.;Tahsisli;6;Plastik;;1bilgi@befaboya.com.tr;;;Büyükkayacık Osb Mah, 620 Nolu Sokak, No: 9
Beksen Bekiroğulları Sentetik Çuval İplik San.Tic.A.Ş.;Tahsisli;2;Diğer;;;;;Büyükkayacık Osb Mah, Güneştepe Sokak, No: 3
Berkon Makine Nakliyat Otomotiv Kalıp Metal Sanayi Ve Ticaret Limited Şirketi;Ön Tahsisli;6;Otomotiv Yedek Parça;3323423951;info@berkonotomotiv.com;www.berkonmakine.com;berkonmakine.com;
Besa Endüstri Otomotiv Ltd.şti.;Tahsisli;6;Otomotiv Yedek Parça;;1bilgi@besatr.com;;;
Besco Otom.mak.san.tic.ltd.şti.;Tahsisli;3;Otomotiv Yedek Parça;3322514770;muhasebe@cheeft.com;https://www.cheeft.com;cheeft.com;Büyükkayacık Osb Mah, 18 Nolu Sokak, No: 5
Besta Art Dekorasyon Mobilya A.ş.;Tahsisli;6;Mobilya ve Ahşap Ürünleri;;1umit@bestaart.com;;;Büyükkayacık Osb Mah, 621 Nolu Sokak, No: 7
Besta Art Mobilya Üretim Pazarlama San. Ve Tic.ltd.şti.;Kiracı;2;Mobilya ve Ahşap Ürünleri;;;;;Büyükkayacık Osb Mah, Kırım Caddesi, No: 23
Betokav Beton Mamülleri İnşaat Makine Plastik San. Ve Tic.A.Ş.;Tahsisli;5;Yapı - İnşaat Malzemeleri;3322496029;betokav@betokav.com;www.betokav.com;betokav.com;Büyükkayacık Osb Mah, Kuddusi Caddesi, No: 31
Betokav Beton Mamülleri İnşaat Makine Plastik San. Ve Tic.A.Ş.;Tahsisli;3;Yapı - İnşaat Malzemeleri;3322496029;betokav@betokav.com;www.betokav.com;betokav.com;Büyükkayacık Osb Mah, Kuddusi Caddesi, No: 27
Betokav Beton Mamülleri İnşaat Makine Plastik San. Ve Tic.A.Ş.;Ön Tahsisli;6;Yapı - İnşaat Malzemeleri;3322496029;betokav@betokav.com;www.betokav.com;betokav.com;
Bey Boru İmalat San. Ve Tic.ltd.şti.;Kiracı;2;İmalat;3322392550;beyborukonya@gmail.com;www.beyboru.com;beyboru.com;Büyükkayacık Osb Mah, Işıktepe Sokak, No: 5
Beyaz Köşk Day.Tük.Ml.Otom.San.Ve Tic.Ltd.Şti.;Tahsisli;4;Mobilya ve Ahşap Ürünleri;3323460991;siparis@yitas.com.tr;www.yitas.com.tr;yitas.com.tr;Büyükkayacık Osb Mah, 101. Cadde, No: 23
Bigfarm Tavukçuluk Ekip.mak.san.tic.ltd.şti.;Tahsisli;6;Makina;3325014292;info@bigfarmpoultry.com.tr;www.bigfarmpoultry.com.tr;bigfarmpoultry.com.tr;Büyükkayacık Osb Mah, 602 Nolu Sokak, No: 1
Bildem Plastik San.Ve Tic.Ltd.Şti.;Tahsisli;5;Plastik;3322392399;bildem@bildemplastik.com.tr;www.bildemplastik.com.tr;bildemplastik.com.tr;Büyükkayacık Osb Mah, 519 Nolu Sokak, No: 4
Biltarım Hayv.gıda Nakliyat İnş.san.tic.ltd.şti.;Tahsisli;5;Gübre;;sukru_887@windowslive.com;;;Büyükkayacık Osb Mah, 502 Nolu Sokak, No: 5
Bim Birleşik Mağazalar Anonim Şirketi;Tahsisli;5;Diğer;3322391540;yunus.gunay@bim.com.tr;;;Büyükkayacık Osb Mah, 503 Nolu Sokak, No: 6
Biokent Geri Dönüşüm Nakliyat Mak.otom. Ve Dış Tic.ltd.şti.;Kiracı;5;Geri Dönüşüm;3323460408;mertfaydasicok@biokent.com.tr;www.biokent.com.tr;biokent.com.tr;Büyükkayacık Osb Mah, 512 Nolu Sokak, No: 3
Biomet Geri Dönüşüm Nak.mak.otom.dış.tic.a.ş.;Ön Tahsisli;6;Geri Dönüşüm;;yavuz@biometal.com.tr;www.biometal.com.tr;biometal.com.tr;
Biomet Geri Dönüşüm Nak.mak.otom.dış.tic.a.ş.;Kiracı;2;Geri Dönüşüm;;yavuz@biometal.com.tr;www.biometal.com.tr;biometal.com.tr;Büyükkayacık Osb Mah, Kocadere Sokak, No: 4
Biotek Tohumculuk Tarım Ürün.San.Ve Tic.A.Ş.;Tahsisli;3;Yem ve Tohumculuk;4440078;info@biotektohum.com.tr;https://biotektohum.com.tr;biotektohum.com.tr;Büyükkayacık Osb Mah, 12 Nolu Sokak, No: 32
Birleşim Tarım Mak.San.Ve Tic.Ltd.Şti.;Tahsisli;3;Tarım Makinaları;3322391606;info@birlesimtarim.com;www.birlesimtarim.com;birlesimtarim.com;Büyükkayacık Osb Mah, 5 Nolu Sokak, No: 7
Bizcanlı Redüktör San.Ve Tic A.Ş.;Tahsisli;2;Otomotiv Yedek Parça;3322391667;muhasebe@bizcanli.com;;;Büyükkayacık Osb Mah, Reisköy Caddesi, No: 5
Bkc Plastik Geri Dönüşüm San. Ve Tic. Ltd. Şti.;Kiracı;3;Plastik;;;;;Büyükkayacık Osb Mah, 4 Nolu Sokak, No: 7
Bkv Vana Mak.inş.tes.san.ve Tic.ltd.şti.;Kiracı;2;Hidrolik;;;;;Büyükkayacık Osb Mah, Lalehan Caddesi, No: 9
Bm Hidrolik Metal Mühendislik Ltd.şti.;Tahsisli;6;Hidrolik;3322373472;muhasebe@birpom.com.tr;;;
Bolluca Tekstil Temizlik Ve Kimya San.tic.ltd.şti.;Ön Tahsisli;6;Temizlik Ürünleri;3322391020;bilgi@secendingil.com.tr;www.bolluca.com.tr;bolluca.com.tr;
Bozkırlı Makine Metal Döküm Otomotiv San. Ve Tic.ltd.şti.;Ön Tahsisli;6;Döküm;;1bilgi@bozkirlidokum.com;;;
Bozkırlı Makine Metal Döküm Otomotiv San. Ve Tic.ltd.şti.;Kiracı;3;Döküm;;1bilgi@bozkirlidokum.com;;;Büyükkayacık Osb Mah, 7 Nolu Sokak, No: 20
Bozkırlılar Gıda Ve İhtiyaç Mad. Tic. Ltd. Şti.;Ön Tahsisli;6;Ambalaj ve Paketleme;5419350359;finans@bozkirlilarmismar.com;;;
Bozyiğitler Mak.San.Tic.Ltd.Şti.;Tahsisli;6;Hidrolik;3323452502;bilgi@bozyigitler.com.tr;www.bozyigitler.com.tr;bozyigitler.com.tr;
Bozyiğitler Mak.San.Tic.Ltd.Şti.;Tahsisli;4;Hidrolik;3323452502;bilgi@bozyigitler.com.tr;www.bozyigitler.com.tr;bozyigitler.com.tr;Büyükkayacık Osb Mah, 405 Nolu Sokak, No: 16
Brn Petro Kimya San. Ve Tic.ltd.şti.;Kiracı;3;Diğer;3322391954;finans@acioz.com.tr;;;Büyükkayacık Osb Mah, 7 Nolu Sokak, No: 21
Brotmas Makina Gıda San.ve Tic.ltd.şti.;Kiracı;2;Makina;5495024210;muhasebe@brotmas.com;;;Büyükkayacık Osb Mah, Reisköy Caddesi, No: 2
Bulvar Tarım Ürünleri Müh. End. Gıda Ve Nakl. San.tic. Ltd. Şti.;Tahsisli;5;Gıda;;;;;Büyükkayacık Osb Mah, 502 Nolu Sokak, No: 4
Bumeks Dişli Otom.iç Ve Dış Tic.ltd.şti.;Tahsisli;4;Otomotiv Yedek Parça;3323450913;bilgi@bumeks.com.tr;www.bumeks.com.tr;bumeks.com.tr;Büyükkayacık Osb Mah, 407 Nolu Sokak, No: 4
Butkon Asansör Müh.İnş.Doğalgaz Gıda San.Ve Tic. A.Ş.;Ön Tahsisli;6;Asansör ve Ekipmanları;3323426650;muhasebe@butkon.com;;;
Butkon Asansör Müh.İnş.Doğalgaz Gıda San.Ve Tic. A.Ş.;Tahsisli;5;Asansör ve Ekipmanları;3323426650;muhasebe@butkon.com;;;Büyükkayacık Osb Mah, 513 Nolu Sokak, No: 13
Buzçelik Termik Cihazlar San. A.ş.;Tahsisli;5;Isıtma ve Soğutma Sistemleri;3323451415;finans@buzcelik.com;www.buzcelik.com;buzcelik.com;Aşağıpınarbaşı Osb Mah, 521 Nolu Sokak, No: 1/1
Büyükeker Bijon San.Ve Tic.A.Ş.;Tahsisli;3;Otomotiv Yedek Parça;3322391420;muhasebe@ekerbijon.com.tr;;;Büyükkayacık Osb Mah, 9 Nolu Sokak, No: 29
Büyükkaplanlar Konya Demir Çelik San. Tic. Ltd.Şti.;Tahsisli;5;Metal;;;;;Büyükkayacık Osb Mah, 506 Nolu Sokak, No: 6
Büyüktemiz Mak.Otom.Yedek Parça San.Ve Tic.Ltd.Şti.;Tahsisli;2;Otomotiv Yedek Parça;3322335651;ali@titem.com;www.titem.com;titem.com;Büyükkayacık Osb Mah, Işıktepe Sokak, No: 7
Camplaza Cam İnşaat San. Ve Tic.A.Ş.;Ön Tahsisli;6;Yapı - İnşaat Malzemeleri;3323465050;eelmas@camplaza.com.tr;www.camplaza.com.tr;camplaza.com.tr;
Camplaza Cam İnşaat San. Ve Tic.A.Ş.;Tahsisli;5;Yapı - İnşaat Malzemeleri;3323465050;eelmas@camplaza.com.tr;www.camplaza.com.tr;camplaza.com.tr;Büyükkayacık Osb Mah, Kuddusi Caddesi , No: 48
Can Durmaz Otom.kim.toprak San.ve Tic.a.ş.;Tahsisli;2;Kauçuk ve Lastik;3322463500;info@candurmaz.com;;;Büyükkayacık Osb Mah, Güzelkonak Sokak, No: 14
Can Karot Plastik San.iç Ve Dış Tic.ltd.şti.;Tahsisli;5;Plastik;3323460616;cankarotgeridonusum@gmail.com;;;Büyükkayacık Osb Mah, 513 Nolu Sokak, No: 1
Canbilenler Döküm.Mak.San.Ve Tic.Ltd.Şti.;Tahsisli;3;Döküm;3323421070;canbilenlerdokum@canbilenler.com;www.canbilenler.com;canbilenler.com;Büyükkayacık Osb Mah, 4 Nolu Sokak, No: 5
Candem Gübre Anonim Şirketi;Tahsisli;2;Kimya;3323420001;muhasebe@candem.com.tr;www.candem.com.tr;candem.com.tr;Büyükkayacık Osb Mah, Lalehan Caddesi, No: 57
Cansit Ofis Mobilyaları San.Ve Tic.Ltd.Şti.;Tahsisli;2;Mobilya ve Ahşap Ürünleri;3323425751;info@cansit.com.tr;www.cansit.com.tr;cansit.com.tr;Büyükkayacık Osb Mah, İkipınar Sokak, No: 5
Cbn Lojistik Depolama Ve Dağıtım A.ş.;Kiracı;5;Ambalaj ve Paketleme;;;;;Büyükkayacık Osb Mah, 503 Nolu Sokak, No: 19
Cehase Hidrolik Sanayi A.ş.;Ön Tahsisli;6;Hidrolik;3382241388;muhasebe@chs-group.com;www.chs-group.com;chs-group.com;
Cengiz Ünder;Tahsisli;6;Yapı - İnşaat Malzemeleri;5455621717;cengiz.under@icloud.com;;;Büyükkayacık Osb Mah, 625 Nolu Sokak, No: 11
Cer-dök-san Ceranoğlu Döküm Otomotiv Pazarlama San Ve Tic Ltd Şti;Tahsisli;2;Diğer;3323463286;info@cerdoksan.com;www.cerdoksan.com;cerdoksan.com;Büyükkayacık Osb Mah, Güneştepe Sokak, No: 5
Cerkon Metalurji San.Ve Tic.Ltd.Şti.;Tahsisli;3;Döküm;3322390077;cerkon@hotmail.com;www.cerkon.com.tr;cerkon.com.tr;Büyükkayacık Osb Mah, 20 Nolu Sokak, No: 30
Ceylan Kompozit Sanayi Ve Ticaret Anonim Şirketi;Kiracı;3;Plastik;3322391578;muhasebe@ceylankompozit.com;;;Büyükkayacık Osb Mah, 3 Nolu Sokak, No: 7
Cion Pul Bağlantı Elemanları San. Ve Tic.ltd.şti.;Tahsisli;6;İmalat;3323452222;muhasebe@koraks.com.tr;;;
Cnr Belediye Hizmet Araçları Ve Araç Üstü Ekipmanları Sanayi Ticaret Limited Şirketi;Kiracı;5;Diğer;3322511973;bilgi@cinaritfaiye.com;www.cinaritfaiye.com;cinaritfaiye.com;Büyükkayacık Osb Mah, 513 Nolu Sokak, No: 10
Cnr Belediye Hizmet Araçları Ve Araç Üstü Ekipmanları Sanayi Ticaret Limited Şirketi;Tahsisli;5;Diğer;3322511973;bilgi@cinaritfaiye.com;www.cinaritfaiye.com;cinaritfaiye.com;Büyükkayacık Osb Mah, 513 Nolu Sokak, No: 19
Conta-San Conta San.Ve Tic.Ltd.Şti.;Kiracı;2;Otomotiv Yedek Parça;3322390030;;www.powergaskets.com;powergaskets.com;Büyükkayacık Osb Mah, Kırım Caddesi, No: 13
Coster Aerosol Valf Sanayi A.ş.;Tahsisli;5;Kimya;3322235200;aharmankaya.avs@fareva.com;;;Büyükkayacık Osb Mah, 505 Nolu Sokak, No: 7
Cropline Kimya A.ş.;Kiracı;4;Kimya;;;;;Büyükkayacık Osb Mah, 102. Cadde, No: 14
Cuprivit Kimya San.ve Tic.ltd.şti.;Kiracı;2;Kimya;;muhasebe@cuprivit.com;https://cuprivit.com/tr;cuprivit.com;Büyükkayacık Osb Mah, İkipınar Sokak, No: 24
Çağ Sentetik Ambalaj Gıda San. Ve Tic.a.ş.;Tahsisli;3;Gıda;;;;;Büyükkayacık Osb Mah, 3 Nolu Sokak, No: 6
Çağ-dök-san Çağlayan Dök.mak.otom San.ltd.şti.;Tahsisli;3;Döküm;3322392535;bilgi@cagdoksan.com.tr;www.cagdoksan.com.tr;cagdoksan.com.tr;Büyükkayacık Osb Mah, Kuddusi Caddesi, No: 24
Çağdaş Plast Plastik Ambalaj Kalıp San. Ve Tic. Ltd. Şti.;Tahsisli;6;Plastik;5333877391;1cagdasplastik@hotmail.com;;;
Çağlayan Plastik Ambalaj İnşaat Mobilya San. Ve Tic.A.Ş.;Tahsisli;3;Plastik;3322375111;caglayan@caglayanplastik.com;https://caglayanplastik.com/tr;caglayanplastik.com;Büyükkayacık Osb Mah, 4 Nolu Sokak, No: 7
Çağlayan Soğutma A.ş.;Tahsisli;3;Isıtma ve Soğutma Sistemleri;4447380;muhasebe@caglayansogutma.com;www.caglayansogutma.com.tr;caglayansogutma.com.tr;Büyükkayacık Osb Mah, 13 Nolu Sokak, No: 23
Çallı Gıda  A.Ş.;Tahsisli;2;Gıda;3322391107;calliseker@calligida.com;www.calligida.com.tr;calligida.com.tr;Büyükkayacık Osb Mah, İkipınar Sokak, No: 3
Çatlıoğulları Tekstil San.tic.ltd.şti.;Ön Tahsisli;6;Tekstil;;1muhasebe@myform.com.tr;;;
Çayırova Otomotiv San. Ve Tic.a.ş.;Ön Tahsisli;6;Dorse - Damper - Treyler;4442971;rbg@cayirova.com.tr;www.cayirova.com.tr;cayirova.com.tr;Büyükkayacık Osb Mah, 615 Nolu Sokak, No: 
Çayırova Otomotiv San. Ve Tic.a.ş.;Kiracı;3;Dorse - Damper - Treyler;4442971;rbg@cayirova.com.tr;www.cayirova.com.tr;cayirova.com.tr;Büyükkayacık Osb Mah, 3 Nolu Sokak, No: 3
Çelebiler Hidrolik Mak.ve Oto San.tic.ltd.şti.;Tahsisli;3;Hidrolik;;;;;Büyükkayacık Osb Mah, 19 Nolu Sokak, No: 10
Çelik Kauçuk Ve Plastik Hortum San. Ve Tic.Ltd.Şti.;Ön Tahsisli;6;Plastik;3322390068;info@celikhortum.com.tr;https://celikhortum.com.tr;celikhortum.com.tr;
Çelik Kauçuk Ve Plastik Hortum San. Ve Tic.Ltd.Şti.;Tahsisli;2;Plastik;3322390068;info@celikhortum.com.tr;https://celikhortum.com.tr;celikhortum.com.tr;Büyükkayacık Osb Mah, Reisköy Caddesi, No: 8
Çelikel Tarım Mak.San. Ve Tic.A.Ş.;Tahsisli;6;Tarım Makinaları;3323451502;a.tuzla@celikel.eu;www.celikel.eu;celikel.eu;
Çelikel Tarım Mak.San. Ve Tic.A.Ş.;Kiracı;3;Tarım Makinaları;3323451502;a.tuzla@celikel.eu;www.celikel.eu;celikel.eu;Büyükkayacık Osb Mah, Vali İhsan Dede Caddesi, No: 2
Çeliksaç Ziraat Makinaları Sanayi Mustafa Cem Büyükdoğan Kollektif Şirketi;Tahsisli;2;Tarım Makinaları;3322390409;celiksac@hotmail.com;www.celiksac.com.tr;celiksac.com.tr;Büyükkayacık Osb Mah, Evrenköy Caddesi, No: 6
Çelikşah Otom. Maden. Lpg. Gaz. San. Ve Tic. Ltd. Şti.;Kiracı;2;Metal;3322513328;info@yeng.com.tr;;;Büyükkayacık Osb Mah, Yaylacık Caddesi, No: 25
Çelkon Çelik Konst.San.Ve Tic.Ltd.Şti.;Tahsisli;4;Yapı - İnşaat Malzemeleri;3323450086;muhasebe@celkon.com.tr;www.celkon.com.tr;celkon.com.tr;Büyükkayacık Osb Mah, 101. Cadde, No: 16
Çetik Isıtma Soğutma Sistemleri İnşaat Gıda Ve Otomotiv Plastik San.Tic.Ltd.Şti.;Tahsisli;2;Isıtma ve Soğutma Sistemleri;;bilgi@cetikisisan.com.tr;www.çetikısı.com.tr;xn--etiks-xra63cb.com.tr;Büyükkayacık Osb Mah, Reisköy Caddesi, No: 7
Çetinkayalar Tar.mak.gıda Ve İnş.san.tic.ltd.şti.;Tahsisli;4;Tarım Makinaları;3322489238;info@cetinkayalartarim.com;www.cetinkayalartarim.com;cetinkayalartarim.com;Büyükkayacık Osb Mah, 413 Nolu Sokak, No: 5
Çevikbaş Matbaacılık Ve Amb.san.a.ş.;Tahsisli;3;Plastik;3322392461;cevikbas@cevikbas.com;www.cevikbas.com.tr;cevikbas.com.tr;Büyükkayacık Osb Mah, Kuddusi Caddesi, No: 36
Çevikbaş Matbaacılık Ve Amb.san.a.ş.;Tahsisli;3;Plastik;3322392461;cevikbas@cevikbas.com;www.cevikbas.com.tr;cevikbas.com.tr;Büyükkayacık Osb Mah, 20 Nolu Sokak, No: 27
Çevikler Un Fabrikası San. Ve Tic.a.ş.;Tahsisli;5;Gıda;3323427424;bilgi@ceviklerun.com;www.ceviklerun.com;ceviklerun.com;Büyükkayacık Osb Mah, 500 Nolu Sokak, No: 9
Çifci Plastik Metal Sondaj Boru İnşaat San. Ve Tic.ltd.şti.;Tahsisli;6;Plastik;;1info@cifciplastik.com;;;Büyükkayacık Osb Mah, 618 Nolu Sokak, No: 10
Çin Yuncheng Gravür Baskı Silindirleri Klişe Amb.ve Basım San.tic.ltd.şti.;Tahsisli;3;Diğer;;cinyunchengmuhasebe@gmail.com;;;Büyükkayacık Osb Mah, Kuddusi Caddesi, No: 32
Çobanoğlu Otomotiv San. Ve Tic.ltd.şti.;Ön Tahsisli;6;Makina;;osman@cbo.com.tr;WWW.CBO.COM.TR;cbo.com.tr;
Çobanoğlu Otomotiv San. Ve Tic.ltd.şti.;Tahsisli;4;Makina;;osman@cbo.com.tr;WWW.CBO.COM.TR;cbo.com.tr;Büyükkayacık Osb Mah, 406 Nolu Sokak, No: 14
