Firma Adı;Şehir;İlçe;Sektör;Telefon;Faks;E-Posta;Web Sitesi;Domain;Adres
DEBB UNİCA TEKSTİL SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 442 24 40;4424050;info@debbunica.com; https://debbunica.com/;debbunica.com;M.KEMAL ATATÜRK BUL. NO.22 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DEFNE HIZVER / GÜL HIZVER / İPEK ERMAN;İZMİR;ÇİĞLİ;;DEFNE HIZVER;05322755199;ghizver@gmail.com;;;10.002 SOKAK NO.16 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DEKA YÜZEY TEKNOLOJİLERİ MAKİNE İMALAT SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 328 06 99;3281900;muhasebe@deka.com.tr;http://www.deka.com.tr;deka.com.tr;10.038 SOKAK NO.1 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DELTA PROSES OTOMASYON KONTROL ELEKTRONİK SİSTEMLERİ SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Sanayide kullanilan islem kontrol amaçli teçhizatl;(232) 433 29 10;4332912;delta@deltaproses.com;www.deltaproses.com;deltaproses.com;10.042 SOKAK NO.6 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DEMİR ÇELİK KONSTRÜKSİYON SAN.VE TİC.KOLL.ŞTİ.;İZMİR;ÇİĞLİ;Magazalar için tezgah, banko, vitrin, raf, çekmece;(232) 483 89 54;4838954;info@dckraf.com.tr;;;10.000 SOKAK NO.24  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DEMİROĞLU HAZIR YEMEK DAYANIKLI TÜKETİM MAL.GIDA TEKS. DERİ ÜR.SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 325 14 14;3251418;info@demirogluyemek.com;http://www.demirogluyemek.com;demirogluyemek.com;10.021 SOKAK NO.29  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DEMSA DENIZCILIK MAK.SAN.VE TIC.LTD.STI.;İZMİR;ÇİĞLİ;Gemilerin ve teknelerin bakim ve onarimi (yüzen ya;(232) 446 17 60;4461764;mensaizmir@gmail.com;http://;;10.016 SOKAK NO.42 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DEMSAÇ ÇELİK SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 376 84 00;3767072;info@demsac.com.tr;http://www.demsac.com.tr;demsac.com.tr;10.044 SOKAK NO.2  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DEMSAÇ DEMİR SAÇ PROFİL LOJİSTİK SAN.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Açik profillerin, nervürlü levhalarin ve sandviç p;(232) 376 70 71;3768402;info@demsac.com.tr;www.demsac.com.tr;demsac.com.tr;10.044 SOKAK NO.2  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DEMSAÇ DEMİR SAÇ PROFİL LOJİSTİK SAN.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Açik profillerin, nervürlü levhalarin ve sandviç p;(232) 376 70 71;3768402;info@demsac.com.tr;www.demsac.com.tr;demsac.com.tr;10.022 SOKAK NO.18   ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DEPOTRİON ÖZEL SAĞLIK HİZMETLERİ VE MALZEMELERİ DEPOLAMA LOJİSTİK SAN.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Sogutulmus hava ve sogutulmus su üretim ve dagitim;;;info@depotrion.com;http://www.depotrion.com;depotrion.com;10.026 SOKAK NO.18  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DERELİ PAZARLAMA SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;;;;;;10.038 SOKAK NO.12 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DERYA YALÇIN / DİLEK YALÇIN;İZMİR;ÇİĞLİ;;(232) 376 89 12;3768912;deryayallcin@gmail.com;;;10.023 SOKAK NO.3  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DESMA MODA TEKSTİL SAN.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;;;desmatekstil@hotmail.com;;;10.001 SOKAK NO.19 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
Dİ-PAŞ DİRİNLER PAZARLAMA MAK.SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Metal isleme makinelerinin imalati;(232) 376 74 00;3768550;dipas@dipas.net;http://www.dipas.net;dipas.net;M.KEMAL ATATÜRK BLV. NO.51 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DİKERSAN GIDA FERMANTASYON TEKSTİL PASİF JİMNASTİK ALET VE HİZM. SAN. VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Tuzlu su, sirke, sirkeli su, yag veya diger koruyu;(232) 458 47 26;4337493;info@egeasalmetal.com.tr;www.egeasalmetal.com;egeasalmetal.com;M.KEMAL ATATÜRK BUL. NO.26 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DİLEK DEDELER / DEMET HÜLAGÜ;İZMİR;ÇİĞLİ;;;;masifdizayn@mail.com;http://;;10.016  SOKAK NO.2  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DİRİNLER AĞIR SANAYİ MAKİNALARI İŞLEME VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 376 87 87;3768567;muhasebe@dirinlerdasmi.com;http://www.dirinlerdasmi.com;dirinlerdasmi.com;10.036 SOKAK NO.10/1 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DİRİNLER DÖKÜM SANAYİ VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Demir döküm (yari mamul demir ürünlerin dökümü, gr;(232) 376 87 87;3768567;finansman@dirinlerdokum.com;http://www.dirinlerdokum.com;dirinlerdokum.com;10.036 SOKAK NO.10 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DİRİNLER DÖKÜM SANAYİ VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 376 87 87;3768567;info@dirinlerdokum.com;http://www.dirinlerdokum.com;dirinlerdokum.com;M.KEMAL ATATÜRK BUL. NO.47 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DİRİNLER DÖKÜM SANAYİ VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Demir döküm (yari mamul demir ürünlerin dökümü, gr;(232) 376 87 87;3768567;info@dirinlerdokum.com;www.dirinlerdokum.com;dirinlerdokum.com;M.KEMAL ATATÜRK BUL. NO.57 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DİRİNLER DÖKÜM SANAYİ VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Demir döküm (yari mamul demir ürünlerin dökümü, gr;(232) 376 87 87;3768567;muhasebe@dirinlerdokum.com;http://www.dirinlerdokum.com;dirinlerdokum.com;10.036 SOKAK NO.4 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DİRİNLER MAKİNA SAN.VE TİC.A.Ş;İZMİR;ÇİĞLİ;Metal isleme makinelerinin imalati;(232) 376 72 00;3767206;dirinler@dirinler.com.tr;http://www.dirinler.com.tr;dirinler.com.tr;10.036 SOKAK NO.7 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DİRİNLER MAKİNA SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Metal islemek için kullanilan diger takim tezgahla;(232) 376 72 00;3767206;finansman@dirinler.com.tr;http://www.dirinler.com.tr;dirinler.com.tr;10.036 SOKAK NO.5 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DİRİNLER SANAYİ MAKİNALARI ENDÜSTRİ VE TİCARET A.Ş.;İZMİR;ÇİĞLİ;Baska yerde siniflandirilmamis diger özel amaçli m;(232) 376 72 00;3767206;dirinler@dirinler.com.tr;www.dirinler.com.tr;dirinler.com.tr;10.036 SOKAK NO.5/1 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DİRİNLER TEKNİK MAKİNA MODEL İMALAT SAN. VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 325 81 81;3258282;info@tekentek.com;http://www.tekentek.com;tekentek.com;M.KEMAL ATATÜRK BUL. NO.47 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DİRİNLER TEKNİK MAKİNA MODEL İMALAT SAN.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 376 87 87;3768567;muhasebe@dirinlermodel.com;http://www.dirinlermodel.com;dirinlermodel.com;M.KEMAL ATATÜRK BUL. NO.55 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DİRİNLER TEKNİK MAKİNA MODEL İMALAT SAN.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Ahsap ve diger malzemelerden kalip ve döküm modeli;(232) 376 87 87;3768567;muhasebe@dirinlermodel.com;http://www.dirinlermodel.com;dirinlermodel.com;10.036 SOKAK NO.4/1 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DİTAS MAKİNA METAL AMBALAJ GIDA TARIM HAYVANCILIK İNŞAAT TEKSTİL SAN.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Diger dis giyim esyalari imalati;(232) 376 87 50;3768752;info@ditastekstil.com.tr;;;M.KEMAL ATATÜRK BUL.NO:36 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DMRR GAYRİMENKUL SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 09 69;3282070;muhasebe@fbtextile.com;http://;;10.002 SOKAK NO:13  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DMRR GAYRİMENKUL SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 09 69;3282070;muhasebe@fbtextile.com;http://;;10.013 SOKAK NO.12 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DMRR GAYRİMENKUL SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 09 69;3282070;muhasebe@fbtextile.com;http://;;10.011 SOKAK NO.6 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DMRR GAYRİMENKUL SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 09 69;3282070;muhasebe@fbtextile.com;http://;;10.014 SOKAK NO.13  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DMRR GAYRİMENKUL SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 09 69;3282070;muhasebe@fbtextile.com;http://;;10.011 SOKAK NO.4 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DOGO TASARIM SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Plastik, cam, metal, agaç ve seramik üstüne baski ;(232) 431 05 31;4310552;info@dogostore.com;http://www.dogostore.com;dogostore.com;10.014 SOKAK NO:1 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DOĞAN ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.;İZMİR;ÇİĞLİ;Pulluk, saban, tirmik, diskaro, skarifikatör, kült;(232) 376 79 81;3280135;dogsantr@hotmail.com;http://www.dogsantarim.com;dogsantarim.com;10.021 SOKAK NO.23  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DOĞUŞ VANA VE DÖKÜM SANAYİ TİCARET A.Ş.;İZMİR;ÇİĞLİ;Diger musluk ve valf/vana imalati;(236) 213 11 25;(236) 213 11 35;infodogus@dogusvana.com.tr;www.dogusvana.com.tr;dogusvana.com.tr;10.000 SOKAK NO.18 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DOMİNYAY YAY VE MAK.SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 328 09 58;3280960;info@dominyay.com.tr;www.dominyay.com.tr;dominyay.com.tr;10.050 SOKAK NO.5  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DOST CAM SANAYİ VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 376 78 86;3767783;dostcam@dostcam.com.tr;http://www.dostcam.com;dostcam.com;10.008 SOKAK NO.14 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DOST CAM SANAYİ VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 376 78 86;3767783;dostcam@dostcam.com.tr;www.dostcam.com.tr;dostcam.com.tr;10.008 SOKAK NO.14 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DUMAGROW KİMYA TARIM SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Kimyasal gübre ve azot bilesiklerinin imalati;;;info@dumagrow.com;http://www.dumagrow.com;dumagrow.com;10.007 SOKAK NO.26 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DUPAKS MOTORLU ARAÇLAR SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Motorlu kara tasitlari için elektrik ve elektronik;;;atinc@dupaks.com;http://www.dupaks.com;dupaks.com;10.016 SOKAK NO.34 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DURMAN AMBALAJ TURİZM SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 376 76 89;;durmanambalaj@hotmail.com;http://www.durmanambalaj.com;durmanambalaj.com;10.016 SOKAK NO.66  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DUYAR RULMAN HIRDAVAT VE YEDEK PARÇA İMALAT SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 433 69 38;4594144;info@duyarrulman.com;http://www.duyarrulman.com;duyarrulman.com;M.KEMAL ATATÜRK BUL.NO:12  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
DYO BOYA FABRİKALARI SANAYİ VE TİCARET A.Ş.;İZMİR;ÇİĞLİ;Boya ve vernikler, polyester, akrilik ve vinil pol;(232) 328 08 80;3768055;info@dyo.com.tr;www.dyo.com.tr;dyo.com.tr;10.003 SOKAK NO:2 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EAE ELEKTRİK ASANSÖR ENDÜSTRİSİ İNŞAAT SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(212) 866 20 00;02128862417;info@eae.com.tr;http://www.eae.com.tr;eae.com.tr;10039 SOKAK NO:21 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EBM PAPST FAN SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 20 90;3280270;info@tr.ebmpapst.com;http://www.ebmpapst.com.tr;ebmpapst.com.tr;10.007 SOKAK NO.6  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EFİK CEMAL NOYANER;İZMİR;ÇİĞLİ;;(232) 328 03 28;3280326;;;;10.016 SOKAK NO:68 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EFİK CEMAL NOYANER;İZMİR;ÇİĞLİ;;(232) 328 03 28;3280326;;http://;;10.024 SOKAK NO.5 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EFİK CEMAL NOYANER;İZMİR;ÇİĞLİ;;(232) 328 03 28;3280326;;;;10.025 SOKAK NO: 8  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EFİK CEMAL NOYANER;İZMİR;ÇİĞLİ;;(232) 328 03 28;3280326;;http://;;10.016 SOKAK NO.82  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EFO ELEKTRİK MALZ.SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 376 83 05;;efo@efoelektrik.com;www.efoelektrik.com;efoelektrik.com;10.046 SOKAK NO:10  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EGE ASAL METAL METAL ÜRÜNLERİ TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Metallerin makinede islenmesi ve sekil verilmesi;(232) 458 47 27;4580545;info@egeasalmetal.com.tr;http://www.egeasalmetal.com.tr;egeasalmetal.com.tr;10.002 SOKAK NO.40 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EGE DÖKÜMCÜLÜK SANAYİ VE TİCARET A.Ş.;İZMİR;ÇİĞLİ;;(216) 311 13 86;02163112163;info@egedokumsanayi.com.tr;www.egedokumsanayi.com tr;egedokumsanayi.com;10.008 SOKAK NO.14 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EGE LS TIBBİ ÜRÜNLER DANIŞMANLIK REKLAMCILIK SAN. TİC. LTD. ŞTİ.;İZMİR;ÇİĞLİ;;(232) 502 11 72;5021179;coskunolh@yahoo.com;http://www.egels.com;egels.com;10.021 SOKAK NO:27  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EGE ÖRGÜ TRİKO A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 20 66;3282067;muhasebe@egeorgu.com;http://www.egeorgu.com;egeorgu.com;M.KEMAL ATATÜRK BUL. NO.3/3 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EGE RASPA MAKİNA SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 621 54 40;6215460;info@egeraspa.com;http://www.egeraspa.com;egeraspa.com;10.040 SOKAK NO:8 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EGE RASPA MAKİNA SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 621 54 40;6215460;info@egeraspa.com.tr;http://www.egeraspa.com;egeraspa.com;10.040 SOKAK NO:10 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EGE TEKNİK POMPA MAKİNA YEDEK PARÇA İMALAT TAAH.SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Elektrikli sinyalizasyon, güvenlik veya trafik kon;;;info@egeteknikbariyer.com;http://;;10.026 SOKAK NO:17  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EGE TEKSTİL SANAYİ VE TİCARET LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 376 80 10;3768011;egetekstil@egetekstil.com.tr;www.egetekstil.com.tr;egetekstil.com.tr;10.002 SOKAK NO.11 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EGE TURİSTİK TESİSLERİ LUNAPARK İNŞAAT MAKİNA ELEKTRONİK SANAYİ VE TİC. A.Ş.;İZMİR;ÇİĞLİ;Metalden diger tank, rezervuar ve konteynerler ima;;;ergin.egeas@gmail.com;;;10.035 SOKAK NO.3 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EGEPLAST EGE PLASTİK TİC.VE SAN.A.Ş.;İZMİR;ÇİĞLİ;;(232) 376 86 31;3768962;info@egeplast.com.tr;http://www.egeplast.com.tr;egeplast.com.tr;10.003 SOKAK NO:8 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EGEPLAST EGE PLASTİK TİC.VE SAN.A.Ş.;İZMİR;ÇİĞLİ;;(232) 376 86 31;3768962;info@egeplast.com.tr;http://www.egeplast.com.tr;egeplast.com.tr;10.003 SOKAK NO:6 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EKMEL ÜÇER;İZMİR;ÇİĞLİ;Tibbi ve disçilik ile ilgili araç ve gereçlerin im;(232) 376 73 50;3767351;ucerekmel3@hotmail.com;;;10.046 SOKAK NO:8  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EKMEL ÜÇER;İZMİR;ÇİĞLİ;;(232) 376 76 91;3767351;ucerekmel3@hotmail.com;;;10.041 SOKAK NO:6   ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EKMEL ÜÇER;İZMİR;ÇİĞLİ;Ekmek, taze pastane ürünleri ve taze kek imalati;(232) 328 33 18;;ucerekmel3@hotmail.com;;;10.027 SOKAK NO.7 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EKSİM PLASTİK POLİMER PAZ.SAN.VE DIŞ TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 34 70;3283460;mv@eksimplastik.com;http://www.eksimplastik.com;eksimplastik.com;10.001 SOKAK NO.22 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ELEKTRAL ELEKTROMEKANİK SAN VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Diyotlarin, transistörlerin, diyaklarin, triyaklar;(232) 376 73 00;3767030;elektral@elektral.com.tr;http://www.elektral.com.tr;elektral.com.tr;M.KEMAL ATATÜRK BUL. NO.25 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ELEKTRAL ELEKTROMEKANİK SAN VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Diyotlarin, transistörlerin, diyaklarin, triyaklar;(232) 376 73 00;3767030;elektral@elektral.com.tr;www.elektral.com.tr;elektral.com.tr;M.KEMAL ATATÜRK BUL. NO.23 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ELEKTRAMAR ELEKTROMEKANİK END.VE DIŞ TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Diyotlarin, transistörlerin, diyaklarin, triyaklar;(232) 376 73 00;3767030;elektral@elektral.com.tr;;;M.KEMAL ATATÜRK BUL. NO.23 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ELEKTRAMAR ELEKTROMEKANİK END.VE DIŞ TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Diyotlarin, transistörlerin, diyaklarin, triyaklar;(232) 376 73 00;3767030;elektral@elektral.com.tr;http://;;M.KEMAL ATATÜRK BUL. NO.25 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ELİF SÜZENE NAKIŞ BASKI TEKSTİL SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 325 30 00;3253500;desen@elifnakis.com;http://;;10.026 SOKAK NO.30 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ELMA EV ALETLERI SAN. VE TİC. A.Ş.;İZMİR;ÇİĞLİ;Mutfakta kullanilan elektrikli küçük ev aletlerini;(232) 376 78 78;3767733;info@elmaev.com;www.elmaev.com;elmaev.com;10.001 SOKAK NO:14 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ELSA DİKİM TEKSTİL İNŞAAT GIDA SAN. VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 328 36 23;;muhasebe@elsa-tekstil.com;;;10.038 SOKAK NO:10  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ELTAŞ TRANSFORMATÖR SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 398 15 00;3767764;info@eltas.com.tr;http://www.eltas.com.tr;eltas.com.tr;10.046 SOKAK NO.4  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EMA ENERJİ ENDÜSTRİ MAK.İNŞ.SAN.VETİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 02 98;3280299;info@emagrup.com;www.emagrup.com;emagrup.com;10.016 SOKAK NO:24 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EMA TECH BOYAMA SİSTEMLERİ SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 449 85 05;4498501;info@ema-tech.net;http://www.ema-tech.net;ema-tech.net;10.007 SOKAK NO.24 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EMTAŞ TEKSTİL İNŞ.TAAHH.GIDA TURİZM HAYVANCILIK SAN.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;;;emtastekstil@hotmail.com;http://;;10.001 SOKAK NO:20/1 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ENDELSAN ENDÜSTRIYEL ELEKTRONIK SAN.VE TIC.LTD.STI;İZMİR;ÇİĞLİ;Endüstriyel islem kontrol ekipmanlarinin kurulum h;(232) 373 72 76;3391150;info@endelsan.com;www.endelsan.com;endelsan.com;10.016 SOKAK NO.60 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ENDO ENDÜSTRİYEL DONANIM VE OTOMASYON SİSTEMLERİ SAN.TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 433 85 15;4338881;info@endo.com.tr;http://www.endo.com.tr;endo.com.tr;10.042 SOKAK NO. 10 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ENDO ENDÜSTRİYEL DONANIM VE OTOMASYON SİSTEMLERİ SAN.TİC.A.Ş.;İZMİR;ÇİĞLİ;Baska yerde siniflandirilmamis diger özel amaçli m;(232) 433 85 15;4338881;info@endo.com.tr;http://www.endo.com.tr;endo.com.tr;10.053 SOKAK NO:9 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ENEKO HAVALANDIRMA VE ISI EKONOMİSİ SİSTEM TEKNOLOJİLERİ MAKİNE SAN. VE TİC. A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 20 80;3282022;muhasebe@eneko.com.tr;http://www.eneko.com.tr;eneko.com.tr;10.049 SOKAK NO.4  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ENGİN KAĞITÇIOĞLU / NECMİ KAĞITÇIOĞLU;İZMİR;ÇİĞLİ;;(232) 328 10 15;3281609;info@muzafferkagitcioglu.com;www.muzafferkagitcioglu.com.tr;muzafferkagitcioglu.com.tr;10.013 SOKAK NO.4 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ENGİNAR YEMEK SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 386 41 91;;enginaryemek@gmail.com;http://www.enginaryemek.com;enginaryemek.com;10.041 SOKAK NO:12  ATATÜRK ORGANİZE SANAYİ  BÖLGESİ
ENGİNAR YEMEK SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 386 41 91;;enginaryemek@gmail.com;http://www.enginaryemek.com;enginaryemek.com;10.041 SOKAK NO.12  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ENİZ OVAÇAM;İZMİR;ÇİĞLİ;;(232) 376 72 50;3767255;ustunel@ustunel.com.tr;http://www.ustunel.com.tr;ustunel.com.tr;10.002 SOKAK NO.20 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ENKO KONTROL SİSTEMLERİ A.Ş.;İZMİR;ÇİĞLİ;;(232) 376 78 06;3767792;info@enkoelektronik.com;http://www.enkoelektronik.com;enkoelektronik.com;M.KEMAL ATATÜRK BLV.NO.64 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ENS FERMUAR TEKSTİL SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 376 76 35;3767637;info@enisfermuar.com;http://;;10.015 SOKAK NO.11/1 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ENSMET ELEKTRİK VE PLASTİK MALZEMELERİ SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 25 73;3282575;info@ensmet.com;http://www.ensmet.com;ensmet.com;10.002 SOKAK NO.42 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ENTEA BİLGİ TEKNOLOJİLERİ MAKİNE OTOMASYON SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Baska yerde siniflandirilmamis diger özel amaçli m;;;info@entea.com.tr;http://www.entea.com.tr;entea.com.tr;10.038 SOKAK NO:10/2 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
EPSİLON ÇELİK MAKİNA İMALAT SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Yer alti kullanimi için sürekli hareketli elevatör;;;e.sap@epsilon-project.com;http://www.epsilon-project.com;epsilon-project.com;10.040 SOKAK NO:8 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ERCİYES DEMİR SANAYİ VE TİCARET A.Ş.;İZMİR;ÇİĞLİ;Açik profillerin, nervürlü levhalarin ve sandviç p;(232) 376 78 40;3767842;info@erciyesdemir.com.tr;www.erciyesdemir.com.tr;erciyesdemir.com.tr;M.KEMAL ATATÜRK BUL. NO.16  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
