Firma Adı;Sektör;Telefon;Web Sitesi;Domain;Adres
ÇUKUROVA BOMBE VE MAKİNA SAN. TİC. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (532)798-8360;http://www.cukurovabombe.com;cukurovabombe.com;Acidereosb Mahallesi 23 Nisan Caddesi No: 6
ÇUKUROVA POLİSTREN MADEN HURDA AKARYAKIT İNŞ. TURZ. SAN. VE TİC. LTD. ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)428-2951;http://www.cukurovapolistren.com;cukurovapolistren.com;Acidereosb Mahallesi Fuzuli Caddesi No: 4
ÇUKUROVA SİLO İŞLETMECİLİĞİ VE MAK. SAN. İNŞ. TİC. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-5460;https://www.cukurovasilo.com;cukurovasilo.com;Acidereosb Mahallesi Oğuz Kağan Köksal Caddesi No: 7
DAVULCU BOYA TİC.LTD.ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-4161;http://www.davulcuboya.com;davulcuboya.com;Acidereosb Mahallesi Sümbül Sokak No: 3
DAVUT PANEL VE SAC SAN.TİC. A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)550-5001;http://www.davutpanel.com.tr;davutpanel.com.tr;Acidereosb Mahallesi Baklali Caddesi No: 22
DCT TARIM DIŞ TİCARET ANONİM ŞİRKETİ;Başka Yerde Sınıflandırılmamış Makina ve Ekipman İmalatı;+90 (322)311-4048;http://www.dcttarim.com.tr;dcttarim.com.tr;Acidereosb Mahallesi Cumhuriyet Bulvari No: 6
DELLA GIDA SAN. VE TİC. A. Ş.;Gıda Ürünleri İmalatı, İçeceklerin İmalatı;+90(850)221-1200;https://www.dydodrinco.com.tr/;dydodrinco.com.tr;Acıdere OSB, Celal Bayar Cd. No:15, 01410 Sarıçam/Adana
Dem Çatı İnşaat Hafr. San. ve Tic. Ltd. Şti.;Fabrikasyon Metal Ürünleri İmalatı;;https://www.deminsaatadana.com/;deminsaatadana.com;Acıdereosb Mahallesi Ordu Caddesi No:1 Adana Sarıçam
DEMİRAĞLAR ORM.ÜRN.SAN VE TİC.LTD.ŞTİ.;Ağaç, Ağaç Ürünleri ve Mantar Ürünleri İmalatı;+90 (322)394-4444;http://www.demiraglar.com.tr;demiraglar.com.tr;Acidereosb Mahallesi Ceyhan Caddesi No: 14
DENLİ DİPÇİK KERESTE TURİZM TİC.A.Ş.;Ağaç, Ağaç Ürünleri ve Mantar Ürünleri İmalatı;+90 (322)394-3788;http://www.denli.ch;denli.ch;Acidereosb Mahallesi Çukurova Caddesi No: 5
DENTAŞ AMBALAJ VE KAĞIT SAN. A.Ş.;Kağıt ve Kağıt Ürünlerinin İmalatı;+90 (322)394-4710;http://www.dentas.com.tr;dentas.com.tr;Acidereosb Mahallesi Yunus Emre Caddesi No: 4
Dexcon Yapı İnşaat ve Sanayi A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90(546)806 8800;https://dexcon.com.tr/;dexcon.com.tr;Acıdereosb Mahallesi Dökümcüler Caddesi No:7/A Adana Sarıçam
DİNÇKAN MAKİNA İNŞAAT TURİZM VE TEKSTİL LİMİTED ŞİRKET;Tekstil Ürünlerinin İmalatı;+90 (322)394-4772;http://www.dinckan.com;dinckan.com;Acidereosb Mahallesi Süleyman Demirel Bulvari No: 3
DİSTON ALÜMİNYUM SANAYİ TİCARET LİMİTED ŞİRKETİ;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)394-5320;https://distonaluminyum.com/;distonaluminyum.com;Acidereosb Mahallesi Süleyman Demirel Bulvari No: 17
DOĞAN MAKİNA VE TRAKTÖR YEDEK PARÇA İML. VE İTH. İHR. PAZ. VE TİC. LTD. ŞTİ.;Başka Yerde Sınıflandırılmamış Makina ve Ekipman İmalatı;+90 (322)321-6405;https://www.doganmakinasan.com/;doganmakinasan.com;Acidereosb Mahallesi Oğuz Kağan Köksal Caddesi No: 17
DOĞANAY GIDA TARIM VE HAYVANCILIK SAN.VE TİC. A.Ş;İçeceklerin İmalatı;+90 (322)394-3777;http://www.doganaygida.com.tr;doganaygida.com.tr;Acidereosb Mahallesi Süleyman Demirel Bulvari No: 13
DRK TÜTÜN SANAYİ VE TİCARET LİMİTED ŞİRKETİ;Tütün Ürünleri İmalatı;+90 (322)394-4728;http://www.drktutun.com;drktutun.com;Acıdere OSB, Yaşar Doğu Cd., 01790 Sarıçam/Adana
DÜNYA POLİSTREN GRUP  SAN.VE TİC. LTD.ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)394-4910;http://www.dunyadekor.com.tr;dunyadekor.com.tr;Acidereosb Mahallesi Süleyman Demirel Bulvari No: 26
Ekol Boru ve Ekipm. İml. Sıhhi Tes. Ürün. Boya İnş. İnş. Malz. İth. İhr. San. ve Tic. Paz. Ltd. Şti;Kauçuk ve Plastik Ürünlerin İmalatı;+90 322 225 96 31;https://www.ekolboru.com/;ekolboru.com;Acıdereosb Mahallesi Dökümcüler Caddesi No: 11/1 Adana Sarıçam
EKSOY KİMYA SAN.VE TİC. A.Ş.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-3995;http://www.eksoy.com;eksoy.com;Acidereosb Mahallesi Zübeyde Hanim Caddesi No: 4
ELİTAŞ GRUP PLASTİK SAN. TİC. LTD. ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)328-8888;https://elitasgrup.com/;elitasgrup.com;Acidereosb Mahallesi Abdullah Gül Bulvari No: 4
ELZ MAKİNE NAKLİYE İNŞ. SAN. VE TİC. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;0322 259 0303;https://www.elz.com.tr/;elz.com.tr;Acıdere OSB, Baklalı Cad. No:14, 01410 Sarıçam/Adana
EMS PLASTİK BORU SIH. TES. MALZ. GÜNEŞ ENER. İML. İNŞ. İTH. SAN. VE TİC. PAZ. LTD. ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)394-5494;http://www.emsplastic.com.tr;emsplastic.com.tr;Acidereosb Mahallesi Inönü Bulvari No: 30
EMSAN ELEKTRİK PROJE TAAH.VE TİC A.Ş.;Elektrikli Teçhizat İmalatı;+90 (322)394-3738;http://www.emsanelk.com.tr;emsanelk.com.tr;Acidereosb Mahallesi Çanakkale Caddesi No: 12
EPAŞ DÖKÜM VE PLASTİK SANAYİ TİCARET A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-3909;http://www.epasdokum.com.tr;epasdokum.com.tr;Acidereosb Mahallesi Çiğdem Sokak No: 4
ERLER BOYA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-3444;https://saselboya.com/;saselboya.com;Acidereosb Mahallesi Menekşe Sokak No: 11
Ersatlas Plastik San. Tic. Ltd. Şti.;Kauçuk ve Plastik Ürünlerin İmalatı;;https://www.sinanatlasplastik.com/;sinanatlasplastik.com;Acıdereosb Mahallesi Anafartalar Caddesi No: 7 Adana Sarıçam
ERSOPLAST PLASTİK SANAYİ VE TİCARET ANONİM ŞİRKETİ;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)341-4141;http://www.ersoplast.com;ersoplast.com;Acidereosb Mahallesi Atatürk Bulvari No: 43
ERTAR KİMYA TARIM ÜRÜNLERİ VE ALETLERİ İMALAT PAZARLAMA SANAYİ VE TİCARET LİMİTED ŞİRKETi;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-4903;http://www.ertarkimya.com;ertarkimya.com;Acidereosb Mahallesi Zafer Caddesi No: 8
ESEN PLASTİK SANAYİ TİCARET ANONİM ŞİRKETİ;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (505)190-4231;http://www.esenctp.com;esenctp.com;Acidereosb Mahallesi Atatürk Bulvari No: 55
ESKA GERİ DÖNÜŞÜM SAN. ve TİC. LTD. ŞTİ.;Kağıt ve Kağıt Ürünlerinin İmalatı;+90 532 113 41 44;https://www.eskageridonusum.com/;eskageridonusum.com;Acıdereosb Mah. Süleyman Demirel Blv. No: 28 Sarıçam / ADANA
EVREN GIDA SAN.VE TİC.LTD.ŞTİ.;Gıda Ürünleri İmalatı;+90 (322)394-5151;http://www.evrengida.com;evrengida.com;Acidereosb Mahallesi Toros Caddesi No: 19
EXPEL İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ;Kimyasalların ve Kimyasal Ürünlerin İmalatı;444-1993;http://www.expel.com.tr;expel.com.tr;Acidereosb Mahallesi Zafer Caddesi No: 10
EZER TEKSTİL İML. SAN. TİC. LTD. ŞTİ.;Tekstil Ürünlerinin İmalatı;+90 (322)394-3450;http://www.ezertekstil.com.tr;ezertekstil.com.tr;Acidereosb Mahallesi Süleyman Demirel Bulvari No: 32
F.K.F. TEKSTİL SAN.VE TİC.LTD.ŞTİ.;Tekstil Ürünlerinin İmalatı;+90 (322)503-0001;http://www.fkf.com.tr;fkf.com.tr;Acidereosb Mahallesi Hilal Caddesi No: 4
FARADAY PETROL KİMYA A. Ş.;Diğer İmalatlar;+90 (322)502-2595;https://lubrix.com.tr/;lubrix.com.tr;Acidereosb Mahallesi Anafartalar Caddesi No: 15
FİLPA AMBALAJ VE DIŞ TİC. A. Ş.;Kauçuk ve Plastik Ürünlerin İmalatı;;https://www.filpa.com.tr/;filpa.com.tr;
FİXA YAPI KİMYASALLARI SAN.VE TİC.LTD.ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-4242;http://www.fixa.com.tr;fixa.com.tr;Acidereosb Mahallesi Süleyman Demirel Bulvari No: 30
FORM STYROPOR YATILIM AMB. SAN. VE TİC. LTD. ŞTİ.;Diğer İmalatlar;+90 352 322 0030;https://www.formpor.com/;formpor.com;
FURTEKS ENERJİ İNŞAAT TEKSTİL ÜRÜNLERİ SAN. VE TİC. LTD. ŞTİ.;Tekstil Ürünlerinin İmalatı;+90 (322)394-4787;http://www.furteksdokuma.com.tr;furteksdokuma.com.tr;Acidereosb Mahallesi Çinar Caddesi No: 3
GALMETSAN GALVANİZLİ METALLER ÇELİK KONS. SAN.VE TİC. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-4686;http://www.galmetsan.com.tr;galmetsan.com.tr;Acidereosb Mahallesi Zafer Caddesi No: 14
GAP ÇAY GIDA SANAYİ İTHALAT İHRACAT PAZARLAMA TİCARET LİMİTED ŞİRKETİ;İçeceklerin İmalatı;+90 (322)394-4624;http://www.gapcay.com;gapcay.com;Acidereosb Mahallesi Cumhuriyet Bulvari No: 24
GARANTİ BANKASI A.Ş.;Diğer İmalatlar;+90 (322)355-5350;http://www.garanti.com.tr;garanti.com.tr;Acidereosb Mahallesi Turgut Özal Bulvari No: 11
GE-TA TARIM VE GIDA SAN. TİC. A.Ş.;İçeceklerin İmalatı;+90 (322)394-4741;http://www.exotic.com.tr;exotic.com.tr;Acidereosb Mahallesi Ordu Caddesi No: 11
GEMSA BOYA SAN.VE TİC.LTD.ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-3776;http://www.gemsaboya.com.tr;gemsaboya.com.tr;Acidereosb Mahallesi Ismet Atli Caddesi No: 22
GENTA MAK. İNŞ. TURZ. VE HAY. SAN. TİC. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-3714;http://www.gentamakina.com;gentamakina.com;Acidereosb Mahallesi Taşköprü Caddesi No: 7
GER MÜHENDİSLİK İMALAT VE TİCARET ANONİM ŞİRKETİ;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-5420;http://www.germuhendislik.com.tr;germuhendislik.com.tr;Acidereosb Mahallesi Anafartalar Caddesi No: 8
GERMAKSAN MAKİNA SANAYİ VE TİCARET ANONİM ŞİRKETİ;Başka Yerde Sınıflandırılmamış Makina ve Ekipman İmalatı;+90 (322)346-4225;http://www.germaksan.com.tr;germaksan.com.tr;Acidereosb Mahallesi Toros Caddesi No: 27
GİZEM ZEYTİNCİLİK GIDA İTH. İHR. SAN. TİC. A.Ş.;Gıda Ürünleri İmalatı;+90 (322)502-1166;http://www.gizemzeytin.com;gizemzeytin.com;Acidereosb Mahallesi Hilal Caddesi No: 8
GİZİR AHŞAP İNŞ. TURİZM SAN. TİC. A.Ş.;Ağaç, Ağaç Ürünleri ve Mantar Ürünleri İmalatı;+90 (322)394-4340;https://www.gizir.com/;gizir.com;Acidereosb Mahallesi Çanakkale Caddesi No: 16
GÖKNUR PLASTİK AMBALAJ KİMYA SANAYİ VE TİCARET ANONİM ŞİRKETİ;Kauçuk ve Plastik Ürünlerin İmalatı;+90 322 429 1053;https://goknurplastik.com.tr;goknurplastik.com.tr;Acidereosb Mahallesi Ismet Atli Caddesi No: 10
GPS PLASTİK LOJİSTİK PAZ. SAN. VE TİC. A.Ş.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)394-4935;http://www.fgplast.com;fgplast.com;Acidereosb Mahallesi Oğuz Kağan Köksal Caddesi No: 14
GREENBRIER VAGON SAN. VE TİC. LTD. ŞTİ.;Diğer Ulaşım Araçlarının İmalatı;0322 503 53 33;https://www.greenbrier-europe.com/tr;greenbrier-europe.com;Acıdere OSB Mahallesi, Toroslar Cad. No:15
Gülezler Metal Sanayi İnşaat Nakliyat Ticaret Limited Şirketi;Fabrikasyon Metal Ürünleri İmalatı;+90(322)429-3131;https://gulezler.com;gulezler.com;Onur Mahallesi 4. Cadde No: 9/A Adana Seyhan
GÜNEY ÇELİK HASIR VE DEMİR MAMÜLLERİ SANAYİ TİCARET ANONİM ŞİRKETİ;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-5030;http://www.guneycelik.com.tr;guneycelik.com.tr;Acidereosb Mahallesi Süleyman Demirel Bulvari No: 2
GÜNEY ODAK ENERJİ İNŞ.SAN.VE TİC.LTD.ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)429-5555;http://www.guneyodak.com.tr;guneyodak.com.tr;Acidereosb Mahallesi Süleyman Demirel Bulvari No: 44
GÜR-SU PLASTİK SAN. VE TİC.LTD.ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)394-3415;http://www.gursupvcboru.com;gursupvcboru.com;Acidereosb Mahallesi Sanayi Caddesi No: 8
GÜR-TUĞ ÇELİK KONS.END.ÜRN.İNŞ.ELK.SAN.TİC.LTD.ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-5416;http://www.gurtug.com;gurtug.com;Acidereosb Mahallesi Menekşe Sokak No: 13
GÜRSOY YEM GIDA VE HAYVANCILIK SANAYİ TİCARET ANONİM ŞİRKETİ;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;+90 (322)394-3393;http://www.torosyem.com.tr;torosyem.com.tr;Acidereosb Mahallesi Cumhuriyet Bulvari No: 5
GÜVEN TEKSTİL SAN.VE TİC.LTD.ŞTİ.;Tekstil Ürünlerinin İmalatı;+90 (322)394-3528;http://www.guventekstil.com.tr;guventekstil.com.tr;Acidereosb Mahallesi Sabanci Caddesi No: 3
HALK HİJYENİK ÜRÜNLER DET.SAN.VE TİC.A.Ş.;Kağıt ve Kağıt Ürünlerinin İmalatı;+90 (322)394-4980;http://www.halkhijyenik.com.tr;halkhijyenik.com.tr;Acidereosb Mahallesi Baklali Caddesi No: 19
HAS TÜTÜNCÜLÜK VE MAKARON SAN.TİC.LTD.ŞTİ.;Tütün Ürünleri İmalatı;+90 (322)394-4728;http://www.hastobacco.com;hastobacco.com;Acidereosb Mahallesi Cumhuriyet Bulvari No: 22
HEKTAŞ TİCARET TÜRK ANONİM ŞİRKETİ;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;+90 (322)394-3315;http://www.hektas.com.tr;hektas.com.tr;Acidereosb Mahallesi 5 Ocak Caddesi No: 6
HİSAR YAPI MALZ.SAN.VE TİC.LTD.ŞTİ.;Mobilya İmalatı;+90 (322)394-4046;http://www.hisaryapi.com;hisaryapi.com;Acidereosb Mahallesi Vatan Caddesi No: 7
HRT ULUSLARARASI İTH. İHR. İNŞ. TAR. HAYV. GIDA SAN. VE TİC. A.Ş.;Gıda Ürünleri İmalatı;;http://www.hrtfood.com;hrtfood.com;Acidereosb Mahallesi Baklali Caddesi No: 20
Ids Enerji Mühendislik Danışmanlık Proje Yatırım Taah. San. ve Tic. Ltd. Şti.;Elektrikli Teçhizat İmalatı;+90(322)503-0222;https://idsenerji.com;idsenerji.com;Acıdereosb Mahallesi Şehit Ömer Halisdemir No:38 Adana Sarıçam
IMGI İNTERNATIONAL MARBLE GRA. İND. SAN. TİC. LTD. ŞTİ.;Diğer İmalatlar;+90 (322)394-4620;http://www.imgimermer.com;imgimermer.com;Acidereosb Mahallesi D-400 Karayolu Üzeri No: 37
ISLAND DENIM TEKSTİL A. Ş.;Tekstil Ürünlerinin İmalatı;+90 (322)394-3969;http://www.island-denim.com;island-denim.com;Acidereosb Mahallesi Çukurova Caddesi No: 18
İLHAN PLASTİK SAN.VE TİC.LTD.ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)394-3990;http://www.ilhanplastik.com.tr;ilhanplastik.com.tr;Acidereosb Mahallesi Ordu Caddesi No: 5
İLSAN TEKSTİL SAN. VE TİC. A. Ş.;Tekstil Ürünlerinin İmalatı;+90 (324)651-4421;https://www.ilsantex.com;ilsantex.com;Acidereosb Mahallesi Çanakkale Caddesi No: 14
İMKO BETON ANONİM ŞİRKETİ;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;+90 (322)394-3002;http://www.imkobeton.com;imkobeton.com;Acidereosb Mahallesi Atatürk Bulvari No: 33
İNDİGO TÜNEL TEKSTİL SAN. TİC. A. Ş.;Tekstil Ürünlerinin İmalatı;;http://www.indigotunel.com;indigotunel.com;Acidereosb Mahallesi Ceyhan Caddesi No: 9
İNPA RAF SİSTEMLERİ SAN. VE TİC. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)351-7143;http://www.inparaf.com;inparaf.com;Kuruköprü Mahallesi Bakimyurdu Caddesi No: 15
İntegral İnşaat Tes. ve San. Ltd. Şti.;Elektrikli Teçhizat İmalatı;+90(322)352-0893;https://www.integralmgs.com/;integralmgs.com;Yenidoğan Mahallesi Demirciler Sitesi 2104 Sokak No: 22 Adana Yüreğir
İNTERGLASS OTO CAM OTOM.SAN.LTD.ŞTİ.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;+90 (322)394-3728;http://www.interglass.com.tr;interglass.com.tr;Acidereosb Mahallesi Magarsus Caddesi No: 2
KAAN CIVATA TEKNİK HIRDAVAT İTH. İHR. SAN. VE TİC. LTD. ŞTİ.;Diğer İmalatlar;+90 532 559 2280;https://kaanhirdavat.com/;kaanhirdavat.com;Acıdereosb Mahallesi Turgut Özal Bulvarı No: 6 Z-11 Sarıçam / Adana
Kadıteks Tekstil San. ve Tic. A. Ş.;Tekstil Ürünlerinin İmalatı;+90(322)394-3334;https://kaditeks.com.tr/;kaditeks.com.tr;Acıdereosb Mahallesi Karacaoğlan Caddesi No: 6 Adana Sarıçam
KAHYALAR TEKSTİL TİC. VE PAZ.LTD.ŞTİ.;Mobilya İmalatı;+90 (322)550-5555;http://www.lesahome.com.tr;lesahome.com.tr;Acidereosb Mahallesi Celal Bayar Bulvari No: 42
KAMAS GALVANİZ KAPLAMA SAN.VE TİC. LTD.ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-4015;http://www.kamasgalvaniz.com.tr;kamasgalvaniz.com.tr;Acidereosb Mahallesi Ordu Caddesi No: 8
KARINCA TEKSTİL SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ;Tekstil Ürünlerinin İmalatı;+90 (212)231-2003;http://www.karincatekstil.com;karincatekstil.com;Acidereosb Mahallesi Vatan Caddesi No: 9
Karmis Tekstil San. ve Tic. A. Ş.;Tekstil Ürünlerinin İmalatı;+90(322)394-4597;https://karmistekstil.com.tr/;karmistekstil.com.tr;Acıdereosb Mahallesi Atatürk Bulvarı No: 3 Adana Sarıçam
KARSU AMBALAJ PLASTİK VE TEKSTİL A. Ş.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 322 394 3745;https://www.ursa.com.tr/;ursa.com.tr;Acıdereosb Mahallesi Sabancı Caddesi No: 6  Sarıçam / Adana
KARTEKS TEKSTİL SAN.VE TİC.A.Ş.;Tekstil Ürünlerinin İmalatı;+90 (322)394-4597;https://karteks.com.tr/;karteks.com.tr;Acidereosb Mahallesi Atatürk Bulvari No: 3
KASTAMONU ENTEGRE AĞAÇ SAN.VE TİC.A.Ş.;Ağaç, Ağaç Ürünleri ve Mantar Ürünleri İmalatı;+90 (322)394-5308;http://www.keas.com.tr;keas.com.tr;Acidereosb Mahallesi Celal Bayar Bulvari No: 21
Kayalar Tekstil Konfeksiyon Plastik Amb. İthalat İhracat San. ve Tic. Ltd. Şti.;Tekstil Ürünlerinin İmalatı;+90(322)346-8030;https://bigazzi.com.tr/;bigazzi.com.tr;Acıdereosb Mahallesi Vatan Caddesi 8 Adana Sarıçam
KESKİN KURUMSAL PLASTİK SAN. VE TİC. LTD. ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)394-4542;https://www.keskinkurumsal.com/;keskinkurumsal.com;Acidereosb Mahallesi Cumhuriyet Bulvari No: 20
KIRMIZIDAM GIDA ORG.TARIM VE TURZ.TİC.LTD.ŞTİ.;Gıda Ürünleri İmalatı;+90 (322)394-3939;http://www.kirmizidam.com.tr;kirmizidam.com.tr;Acidereosb Mahallesi Yunus Emre Caddesi No: 6
Kızılay Doğal Gıda Üretim Anonim Şirketi;İçeceklerin İmalatı;;https://www.kizilay.org.tr/;kizilay.org.tr;Acıdereosb Mahallesi Sabancı Caddesi No: 1 Adana Sarıçam
KİLİKYA ŞALGAM İÇECEK SAN.VE TİC. A.Ş.;İçeceklerin İmalatı;+90 (322)550-5050;https://kilikya.com.tr/;kilikya.com.tr;Acidereosb Mahallesi Suluca Caddesi No: 2
KİMSOY BOYA SAN.VE TİC.A.Ş.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-3885;https://www.kimsoy.com/;kimsoy.com;Acidereosb Mahallesi Vatan Caddesi No: 11
Kimteks İplik Enerji San. ve Tic. A.Ş.;Tekstil Ürünlerinin İmalatı;+90(322)394-3049;https://kimtex.com/;kimtex.com;Acıdereosb Mahallesi Turgut Özal Bulvarı No: 3 Adana Sarıçam
KİMTEKS TEKSTİL İNŞ.TİC. VE SAN. A.Ş.;Tekstil Ürünlerinin İmalatı;+90 (322)394-3049;http://www.kimtex.com;kimtex.com;Acidereosb Mahallesi Turgut Özal Bulvari No: 3
KOLİSAN OLUKLU MUKAVVA KUTU VE AMB.SAN.LTD.ŞTİ.;Kağıt ve Kağıt Ürünlerinin İmalatı;+90 (322)394-5152;http://www.kolisan.com.tr;kolisan.com.tr;Acidereosb Mahallesi Inönü Bulvari No: 10
KONEKS BOYA VE KİMYA MAD.MADENİ YAĞ İNŞ.PLS.TURZ.SEY.SAN.TİC.LTD.ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)444-2058;http://www.koneksboya.com;koneksboya.com;Acidereosb Mahallesi 5 Ocak Caddesi No: 8
KONİL HALI İÇ VE DIŞ TİCARET LİMİTED ŞİRKETİ;Kağıt ve Kağıt Ürünlerinin İmalatı;+90 (324)337-4630;http://www.konilhali.com;konilhali.com;Acidereosb Mahallesi Anafartalar Caddesi No: 15
KORAY KİMYA SAN. VE TİC. A. Ş;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (288)443-9390;http://www.koraykimya.com;koraykimya.com;Acidereosb Mahallesi Turgut Özal Bulvari No: 14
KULA YAĞ VE EMEK YEM SANAYİ TİCARET A.Ş.;Gıda Ürünleri İmalatı;+90 (266) 249-6800;https://www.kulayag.com.tr/;kulayag.com.tr;Acidereosb Mahallesi Abdullah Gül Bulvari No: 24
Kyb Kimyasal Tekstil Plastik San. ve Tic. A. Ş.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90(322)394-3838;https://bigazzi.com.tr/;bigazzi.com.tr;Acıdereosb Mahallesi Süleyman Demirel Bulvarı No: 6 Adana Sarıçam
KYK YAPI KİMYASALLARI SAN. VE TİC.A.Ş.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;+90 (322)394-5242;http://www.kyk.com.tr;kyk.com.tr;Acidereosb Mahallesi Zübeyde Hanim Caddesi No: 7
LARA CAM VE PVC ALM.PRO.İTH.İHR.İML.SAN.TİC.LTD.ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-4960;http://www.larasolar.com;larasolar.com;Acidereosb Mahallesi Ceyhan Caddesi No: 6
Lider Solar Tekstil Enerji San. ve Tic. A. Ş.;Elektrikli Teçhizat İmalatı;+90(322)454-0310;https://www.lidersolarenerji.com/;lidersolarenerji.com;Acıdereosb Mahallesi İnönü Bulvarı 11 Adana Sarıçam
Limkon Gıda San.Ve Tic.A.Ş.;İçeceklerin İmalatı;+90(322)394-4777;https://limkon.com/;limkon.com;Acıdereosb Mahallesi D-400 Karayolu 39 Adana Sarıçam
LİNK PANO İMALAT MÜHENDİSLİK SAN. VE TİC. LTD. ŞTİ.;Elektrikli Teçhizat İmalatı;+90 535 454 57 05;https://www.linkpano.com.tr/;linkpano.com.tr;Acıdereosb Mahallesi Baklalı Caddesi 17  Sarıçam / Adana
MAGMETT DIŞ TİC. A. Ş.;Fabrikasyon Metal Ürünleri İmalatı;0212 246 93 37;https://www.magmett.com;magmett.com;Acıdereosb Mahallesi Cumhuriyet Bulvarı 13 Adana Sarıçam
MAKİNSAN TREYLER SAN. VE TİC. A. Ş.;Motorlu Kara Taşıtı, Treyler (Römork) ve Yarı Treylerin İmalatı;+90 (322)394-3958;http://www.makinsantrailer.com.tr;makinsantrailer.com.tr;Acidereosb Mahallesi Istiklal Caddesi No: 17
MAKSER PVC MAKİNA SAN. VE TİC. LTD. ŞTİ.;Başka Yerde Sınıflandırılmamış Makina ve Ekipman İmalatı;+90 (322)346-4319;http://www.makserpress.com.tr;makserpress.com.tr;Acidereosb Mahallesi Menekşe Sokak No: 20
Marlateks Teknoloji Teks. Mak. ve Kim. San. Tic. A. Ş.;Diğer İmalatlar;+90(212)549-0892;http://marlateks.com/;marlateks.com;Acıdereosb Mahallesi 19 Mayıs Caddesi 6 Adana Sarıçam
Mavi Granül Plastik ve Geri Dönüşüm Sanayi Ticaret Limited Şirketi;Kauçuk ve Plastik Ürünlerin İmalatı;+90(322)502-7417;https://kolisan.com.tr/;kolisan.com.tr;Acıdereosb Mahallesi İnönü Bulvarı 9 Adana Sarıçam
MAVLAY İNŞAAT MOB.DEK.İTH.İHR.SAN.VE TİC.LTD.ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-3297;http://www.mekaline.com.tr;mekaline.com.tr;Acidereosb Mahallesi Atatürk Bulvari No: 41
MAY-AGRO SAN.VE TİC.A.Ş.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;+90 (322)394-4145;http://www.may.com.tr;may.com.tr;Acidereosb Mahallesi Atatürk Bulvari No: 23
MAZLUM MANGTAY ÇELİK BORU SANAYİ VE TİCARET A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)346-0074;http://www.mazlumboru.com.tr;mazlumboru.com.tr;Acidereosb Mahallesi Istiklal Caddesi No: 10
